timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
488127.39,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0
490142.80,0,253952,62,10818,712141806,1,2461283,0,62,5,5,2976,127,0,558,100364,0,6,4228,10,96386289,1118,1,0,4,3520,13320663,7,53153304,9,19,4,3930,558,0,0,6059105,425068,256061715,0,558,556,0,3,1,14,14,4103,3,255962427,227130241,8952238,13511594,13511594,1,3,1,702602920,73389,73389,14,14,14,13511598,12,1,3,86769,102608,304553,2187,255962427,100364,5754782,1768
492159.96,0,253952,62,22254,1464495276,1,3788221,0,140,5,5,2976,183,0,567,194634,0,6,8697,10,99188713,1136,1,0,4,3520,27542685,7,110106236,9,19,4,3930,567,0,0,12487908,734579,493891666,0,567,565,0,3,1,14,14,4103,3,493558963,463906709,17004698,27983811,27983811,1,3,1,1455158204,73389,73389,14,14,14,27983815,12,1,3,89713,199226,419032,4123,493558963,194634,12069341,1798
494171.00,0,253952,62,33423,2201136402,1,5251557,0,211,5,5,2976,278,0,576,285774,0,6,13131,10,103485867,1154,1,0,4,3520,41508236,7,165968296,9,19,4,3930,576,0,0,18742320,1084198,731804959,0,576,570,0,3,1,14,14,4103,3,732008796,695874488,25053912,42148162,42148162,1,3,1,2190852488,73389,73389,14,14,14,42131782,12,1,3,95669,292691,534681,6149,732008796,285774,18208336,1825
496181.30,0,253952,62,44446,2926755902,1,6728229,0,269,5,5,2976,329,0,594,374702,0,6,17448,10,107970240,1190,1,0,4,3520,55243540,7,220909560,9,19,4,3930,594,0,0,25064799,1356783,952614699,0,594,594,0,3,1,14,14,4103,3,952096521,924305147,33110198,56097806,56097806,1,3,1,2917085944,73389,73389,14,14,14,56097810,12,1,3,98115,383754,643479,7941,952096521,374702,24422245,1883
498186.82,0,253952,62,54135,3565547062,3,9226322,0,298,5,5,2976,411,5,594,437078,0,6,21272,10,110528232,1190,1,0,4,3520,67317482,7,269205512,9,19,4,3930,594,0,0,29686192,1381916,1160276682,0,594,594,0,3,1,14,14,4103,3,1159699649,1125686942,40253019,68359898,68359898,1,3,1,3554714728,73389,73389,14,14,14,68359902,12,1,3,100764,447782,727523,9701,1159699649,437078,28959788,1883
500191.90,0,253952,62,63709,4196367206,4,10645672,0,335,7,7,2976,450,5,594,497127,0,6,24994,10,112024416,1190,1,0,4,3520,79217167,7,316868668,9,21,4,3930,594,0,0,34181062,1383953,1365005030,0,594,594,0,3,1,14,14,4103,3,1364636330,1324897348,46161722,80429700,80446084,1,3,1,4181492464,73389,73389,14,14,14,80413320,12,1,3,107607,509403,810365,11361,1364636330,497127,33371988,1883
502207.80,1,253952,62,73601,4847834742,5,12103770,0,371,9,9,2976,539,6,612,566449,0,6,28904,10,116011614,1226,1,0,4,3520,91496742,7,365930712,9,23,4,3930,612,0,0,39187356,1426261,1573705061,0,612,611,0,3,1,14,14,4103,3,1573015397,1530601740,52675769,92933678,92933678,1,3,1,4831699320,73389,73389,14,14,14,92917298,12,1,3,114038,580522,911305,13141,1573015397,566449,38277527,1944
504226.94,1,253952,62,84543,5568356398,5,13872995,0,456,9,9,2976,590,6,621,654625,0,6,33210,10,119054028,1244,1,0,4,3520,105220867,7,420883468,9,23,4,3930,621,0,0,45539562,1731686,1804371227,0,621,620,0,3,1,14,14,4103,3,1803168250,1757451148,61055175,106787177,106787177,1,3,1,5552933236,73389,73389,14,14,14,106787181,12,1,3,116739,670951,1011100,15009,1803168250,654625,44530163,1984
506240.34,1,253952,62,95678,6301967494,5,15180895,0,550,9,9,2976,680,16,630,746066,0,6,37610,10,122736108,1262,1,0,4,3520,119106819,7,476362544,9,23,4,3930,630,0,0,52107591,2008872,2039339551,0,630,628,0,3,1,14,14,4103,3,2037668936,1988621921,69189279,120888151,120888151,1,3,1,6285331916,73389,73389,14,14,14,120871771,12,1,3,121497,764705,1131952,17001,2037668936,746066,50977574,2015
508257.69,2,253952,62,106922,7042968784,5,16299748,0,655,9,9,2976,732,21,630,839972,0,6,42004,10,124920054,1262,1,0,4,3520,133101180,7,532340004,9,23,4,3930,630,0,0,58800439,2280311,2271979417,0,630,628,0,3,1,14,14,4103,3,2270482653,2222245670,77237559,135097780,135114164,1,3,1,7025084592,73389,73389,14,14,14,135097784,12,1,3,125075,860914,1249725,18893,2270482653,839972,57552882,2015
510263.27,2,253952,62,116252,7657894672,7,18689041,0,679,9,9,2976,796,21,630,899147,0,6,45657,10,126826482,1262,1,0,4,3520,144741518,7,578966072,9,23,4,3930,630,0,0,63188649,2287376,2470730681,0,630,628,0,3,1,14,14,4103,3,2468381843,2416179639,84020305,146903279,146903279,1,3,1,7638970540,73389,73389,14,14,14,146903283,12,1,3,130760,921585,1320657,20539,2468381843,899147,61870349,2015
512275.09,2,253952,62,127123,8375343918,7,19306497,0,756,12,12,2976,874,22,630,997138,0,6,49971,11,127116066,1262,1,0,4,3520,158341351,7,633365404,10,26,4,3945,630,0,0,69674975,2531043,2701925347,0,630,628,0,3,1,14,14,4103,3,2699627140,2642377900,91353845,160696831,160696831,1,3,1,8356235244,73389,73389,14,14,14,160696835,12,1,3,143947,1021801,1466604,22468,2699627140,997138,68209950,2015
514280.80,2,253952,62,138149,9100477714,7,21646692,0,858,12,12,2976,944,22,639,1091181,0,6,54305,11,128615227,1280,1,0,4,3520,172095707,7,688318232,10,26,4,3945,639,0,0,76749564,2935079,2930642022,0,639,635,0,3,1,14,14,4103,3,2927966267,2870853782,101159448,174630535,174630535,1,3,1,9080787852,73389,73389,14,14,14,174630539,12,1,3,147188,1118166,1552123,24366,2927966267,1091181,75200254,2047
516293.12,3,253952,62,149356,9838969710,8,24160328,0,963,12,12,2976,1010,22,639,1185860,0,6,58705,11,128615227,1280,1,0,4,3520,186072923,7,744291692,10,26,4,3945,639,0,0,83815855,3267835,3163154517,0,639,635,0,3,1,14,14,4103,3,3161814761,3103183589,111034745,188823780,188840164,1,3,1,9818836592,73389,73389,14,14,14,188823784,12,1,3,153383,1215199,1661190,26293,3161814761,1185860,82157715,2047
518306.99,4,253952,62,160801,10594072818,8,24886466,0,1064,12,12,2976,1082,22,639,1287482,0,6,63229,11,128928943,1280,1,0,4,3520,200399211,7,801532212,10,26,4,3945,639,0,0,90884971,3559682,3403160877,0,639,635,0,3,1,14,14,4103,3,3400671843,3341078798,119069159,203338228,203370996,1,3,1,10573587888,73389,73389,14,14,14,203338232,12,1,3,158369,1319246,1785185,28271,3400671843,1287482,89103073,2047
520320.53,7,253952,62,173309,11417573764,8,26876324,0,1143,13,13,2976,1165,22,639,1399988,0,6,68137,11,128953075,1280,1,0,4,3520,215978895,7,863850920,10,27,4,3945,639,0,0,98493098,3836434,3664856901,0,639,635,0,3,1,14,14,4103,3,3662104952,3600822984,128675869,219155648,219155648,1,3,1,11396093728,73389,73389,14,14,14,219155652,12,1,3,166659,1436853,1908719,30439,3662104952,1399988,96587930,2047
522325.72,8,253952,62,184810,12175960776,9,29515058,0,1202,13,13,2976,1238,22,639,1485910,0,6,72626,11,129242659,1280,1,0,4,3520,230277719,7,921046300,10,27,4,3945,639,0,0,104646107,4174932,3903939032,0,639,635,0,3,1,14,14,4103,3,3900934346,3839472056,137732679,233737791,233737791,1,3,1,12154365164,73389,73389,14,14,14,233737795,12,1,3,177064,1524901,2022688,32414,3900934346,1485910,102627207,2047
524331.83,9,253952,62,195660,12890573780,10,31963416,0,1260,14,14,2976,1307,22,639,1559957,0,6,76941,11,129242659,1280,1,0,4,3520,243902420,7,975545104,10,28,4,3945,639,0,0,110210872,4225378,4131445568,0,639,635,0,3,1,14,14,4103,3,4128511582,4064626552,145856583,247476602,247476602,1,3,1,12868783336,73389,73389,14,14,14,247476606,12,1,3,184117,1600814,2126669,34306,4128511582,1559957,108088209,2047
526343.47,9,253952,62,208860,13760282324,10,33484824,0,1339,15,15,2976,1396,22,639,1676080,0,6,82135,11,129242659,1280,1,0,4,3520,260380303,7,1041456540,10,29,4,3945,639,0,0,118271517,4437481,4410898781,0,639,635,0,3,1,14,14,4103,3,4407044160,4338832473,155631081,264172281,264188665,1,3,1,13736958644,73389,73389,14,14,14,264172285,12,1,3,186701,1719735,2270641,36622,4407044160,1676080,116005157,2047
528354.00,10,253952,62,222105,14632174380,10,35274978,0,1419,15,15,2976,1481,24,648,1792549,0,6,87343,11,130740967,1298,1,0,4,3520,276874413,7,1107433060,10,29,4,3945,648,0,0,126370477,4676015,4690598757,0,648,644,0,3,1,14,14,4103,3,4686479421,4613532698,165726360,280935655,280935655,1,3,1,14608654092,73389,73389,14,14,14,280935659,12,1,3,192001,1839060,2410650,38938,4686479421,1792549,123964379,2079
