timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
986997.01,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
989000.49,1,253952,62,24332,1602066674,0,0,0,3,40,40,6525,118,675,113352,9,9,2660,55,107,140034434,1352,1,0,54,54,17,14,230,675,0,0,0,2182756,358,519279045,0,666,113,9,2,1,14,14,298,0,1,522976048,472110089,2411042,36058076,36058076,1,2,1,0,1586555344,73389,73389,14,14,14,36058076,5,3,443298,115404,688844,4009,522976048,113352,1494064,1179
991003.88,1,253952,62,46422,3057720474,3,3000244,0,3,40,40,6525,121,675,188785,9,9,8849,55,107,140565338,1352,1,0,54,54,17,14,230,675,0,0,0,6202128,595,946354087,0,666,113,9,2,1,14,14,298,0,1,948566832,897676205,11914595,69138138,69138138,1,2,1,0,3042078072,73389,73389,14,14,14,69138138,5,3,453140,192914,803103,7256,948566832,188785,5399353,1179
993007.07,1,253952,62,68632,4521238594,3,3000244,0,3,40,40,6525,125,675,264059,9,9,15128,55,107,141361694,1352,1,0,54,54,17,14,230,675,0,0,0,10201599,644,1373295032,0,666,113,9,2,1,14,14,298,0,1,1376123696,1325519671,17882713,102390232,102406616,1,2,1,0,4505170208,73389,73389,14,14,14,102390232,5,3,457045,270107,926493,10518,1376123696,264059,9275608,1179
995031.27,1,253952,62,85838,5654956406,36,37617458,0,78,40,40,6525,128,675,375770,9,9,19987,55,107,141627146,1352,1,0,54,54,17,14,230,675,0,0,0,14432762,539835,1702714993,0,666,113,9,2,1,14,14,298,0,1,1707211568,1656910957,220711766,128169951,128169951,1,2,1,0,5638756948,73389,73389,14,14,14,128153567,5,3,479066,384429,1110307,13044,1707211568,375770,13323224,1179
997041.71,1,253952,62,100662,6631505658,38,41771456,0,128,43,43,6525,130,675,501919,9,9,24139,55,107,141892598,1352,1,0,54,57,17,14,230,675,0,0,0,18649747,1581547,1989368405,0,666,113,9,2,1,14,14,298,0,1,1992555312,1942413275,230530305,150362018,150362018,1,2,1,0,6615207896,73389,73389,14,14,14,150345634,5,3,482055,512912,1256507,15221,1992555312,501919,17394140,1179
999050.19,1,253952,62,114348,7533740394,38,45411751,0,165,44,44,6525,132,675,637130,9,9,27980,55,107,142423502,1352,1,0,54,58,17,14,230,675,0,0,0,22613327,2992236,2253860732,0,666,113,9,2,1,14,14,298,0,1,2256272176,2206168689,240358394,170864374,170864374,1,2,1,0,7518032456,73389,73389,14,14,14,170864374,5,3,490843,650344,1429387,17233,2256272176,637130,21184968,1179
1001058.03,1,253952,62,128721,8480467458,40,49918958,0,214,45,45,6525,135,675,747160,9,9,32074,55,107,142688954,1352,1,0,54,59,17,14,230,675,0,0,0,26584325,4229122,2532523702,0,666,113,9,2,1,14,14,298,0,1,2532703024,2482894104,250917410,192370472,192386856,1,2,1,0,8464300768,73389,73389,14,14,14,192370472,5,3,495490,762494,1557993,19342,2532703024,747160,25027489,1179
1003062.66,1,253952,62,139487,9190009814,43,54450384,0,252,45,45,6525,136,675,810004,9,9,35057,55,107,142942340,1352,1,0,54,59,17,14,230,675,0,0,0,29203821,4431620,2740752461,0,666,113,9,2,1,14,14,298,0,1,2739927856,2690310875,258379380,208509095,208509095,1,2,1,0,9174400180,73389,73389,14,14,14,208509095,5,3,497115,827939,1629086,20923,2739927856,810004,27575976,1179
1005067.05,1,253952,62,149821,9870975166,43,56097826,0,321,45,45,6525,138,675,862998,9,9,37985,55,107,143207792,1352,1,0,54,59,17,14,230,675,0,0,0,31509187,4447792,2938888668,0,666,113,9,2,1,14,14,298,0,1,2938895152,2889389939,262360190,223986325,223986325,1,2,1,0,9855398300,73389,73389,14,14,14,223986325,5,3,497136,882234,1695858,22441,2938895152,862998,29814652,1179
