timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
431878.23,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
433891.87,1,253952,62,9559,629354464,0,503080,62,5,5,4671,117,0,558,77327,0,8,3729,18,10,95795055,1118,1,4,1034,11723740,8,46894960,17,19,2,12,269,558,4576415,136259,226727151,558,321,0,3,1,14,14,1542,3,227329093,201167157,5196639,11908121,11924505,1,3,1,618370356,73389,73389,14,14,14,11891741,7,3,81635,79035,209898,1944,227329093,77327,4366690,1283
435904.47,1,253952,62,21806,1435400600,1,2964161,152,6,6,4671,178,0,558,201793,0,8,8527,19,10,97339503,1118,1,4,1034,27045178,8,107987004,18,20,2,12,286,558,11469762,726600,484897006,558,321,0,3,1,14,14,1542,3,484720674,454630294,15128535,27432788,27432788,1,3,1,1426505008,73389,73389,14,14,14,27432792,7,3,89008,206122,349131,4042,484720674,201793,11121048,1283
437917.12,5,253952,62,34407,2264646480,1,5162284,248,6,6,4671,281,0,567,329827,0,8,13511,19,10,101638111,1136,1,4,1034,42730886,8,170923544,18,20,2,12,286,567,18613721,1121661,749856621,567,330,0,3,1,14,14,1542,3,750077188,715931569,24829577,43358863,43375247,1,3,1,2254660908,73389,73389,14,14,14,43358867,7,3,95355,336985,518634,6288,750077188,329827,18095758,1314
439928.39,10,253952,62,47172,3106872474,1,7614096,331,6,6,4671,345,0,567,458466,0,8,18527,19,10,106355917,1136,1,4,1034,58715872,8,234863488,18,20,2,12,286,567,25969961,1539658,1011331337,567,330,0,3,1,14,14,1542,3,1010893845,980839887,35015325,59572929,59572929,1,3,1,3097792340,73389,73389,14,14,14,59572933,7,3,101624,468457,682363,8417,1010893845,458466,25288534,1314
441933.83,10,253952,62,57178,3766088632,4,11046414,380,6,6,4671,409,0,567,526128,0,8,22442,19,10,108551929,1136,1,4,1034,71146748,8,284586992,18,20,2,12,286,567,30488043,1555902,1222722048,567,330,0,3,1,14,14,1542,3,1221581034,1188504059,42987357,72246780,72246780,1,3,1,3756832592,73389,73389,14,14,14,72246784,7,3,105839,537854,759195,10161,1221581034,526128,29729977,1314
443939.05,12,253952,62,68190,4491825240,4,11572066,440,8,8,4671,485,0,567,612409,0,8,26767,19,10,111363307,1136,1,4,1034,84881983,8,339463236,18,22,2,12,286,567,35951389,1691475,1448489271,567,330,0,3,1,14,14,1542,3,1447657016,1417017736,49103413,86194265,86194265,1,3,1,4482101812,73389,73389,14,14,14,86194269,7,3,116659,626148,908046,12044,1447657016,612409,35044685,1314
445945.85,18,253952,62,77116,5078995588,6,14104503,501,10,10,4671,542,0,567,669104,0,8,30302,19,10,112292389,1136,1,4,1034,96029296,8,384052456,18,24,2,12,286,567,39919874,1710889,1630386395,567,330,0,3,1,14,14,1542,3,1629280592,1602216927,55619684,97467728,97484112,1,3,1,5068321888,73389,73389,14,14,14,97467732,7,3,129304,684293,1003922,13558,1629280592,669104,38917461,1314
447956.27,21,253952,62,89060,5865304976,6,15088490,594,10,10,4671,624,1,567,799634,0,8,35025,19,10,114235015,1136,1,4,1034,110996704,8,443986816,18,24,2,12,286,567,46562683,2133112,1879285725,567,330,0,3,1,14,14,1542,3,1877656194,1849639072,63643628,112599179,112613404,1,3,1,5855157340,73389,73389,14,14,14,112599183,7,3,134409,817427,1156824,15626,1877656194,799634,45407608,1314
449962.75,23,253952,62,100848,6643695354,7,17056616,689,11,11,4671,696,1,567,924121,0,8,39674,19,10,115103767,1136,1,4,1034,125753487,8,502949440,18,25,2,12,286,567,53289083,2510176,2123519039,567,330,0,3,1,14,14,1542,3,2122012075,2094409648,72693422,127582286,127598670,1,3,1,6634278904,73389,73389,14,14,14,127582290,7,3,140906,944577,1311284,17644,2122012075,924121,51979802,1314
451967.29,23,253952,62,109509,7214150226,9,19838190,764,11,11,4671,750,1,576,977512,0,8,43014,19,10,116602928,1154,1,4,1034,136469408,8,545877632,18,25,2,12,286,576,56987114,2510597,2303517879,576,335,0,3,1,14,14,1542,3,2302005287,2274119400,79170585,138548327,138548327,1,3,1,7204513036,73389,73389,14,14,14,138548331,7,3,162312,999330,1407243,19138,2302005287,977512,55582045,1335
