event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,5292459,6483215,1190756,Total time spent analyzing index of patch parts
ArenaAllocBytes,553123840,868745216,315621376,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,135040,212096,77056,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,1652233,1652233,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,54,54,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,3,3,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,54,54,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,449094,638405,189311,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,386,483,97,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,243779,243779,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,923760903,1451196180,527435277,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,60869152196928,95623261203850,34754109006922,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,42974,129038,86064,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,77213363323,538038352070,460824988747,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,2235066,13140199,10905133,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,42974,129038,86064,Total number of CPU slots acquired
ConcurrencyControlUpscales,42974,129038,86064,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,77819135774,630086343048,552267207274,Total time a query was waiting on resource requests for CPU slots.
ConcurrentQuerySlotsAcquired,1055,2259,1204,Total number of query slots acquired
ConcurrentQueryWaitMicroseconds,45042,156942,111900,Total time a query was waiting for a query slots
ContextLock,3623955,5714327,2090372,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,10691380,11421200,729820,Context lock wait time in microseconds
CreatedReadBufferOrdinary,1257192,1978191,720999,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,13337184729,20269072304,6931887575,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,10,10,0,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,19944235,42771350,22827115,Number of dequeues invoked at all FairPolicyNodes
FileOpen,1919,2163,244,Number of files opened.
FilteringMarksWithPrimaryKeyMicroseconds,12841,19627,6786,Time spent filtering parts by PK.
FunctionExecute,312515832,491274141,178758309,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,13034,13967,933,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,543064749,562466222,19401473,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,109973,140155,30182,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,13623742,14344526,720784,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolShrinks,11296,12229,933,"Counts the total number of times the global thread pool has shrunk by removing threads. This occurs when the number of idle threads exceeds max_thread_pool_free_size, indicating adjustments in the global thread pool size in response to decreased thread utilization."
GlobalThreadPoolThreadCreationMicroseconds,77563689,79396105,1832416,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,537,901,364,Number of created server HTTP connections
HTTPServerConnectionsExpired,8,25,17,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,2110,3314,1204,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,4,5,1,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,2106,3294,1188,Number of reused server HTTP connections
HardPageFaults,578,578,0,"The number of hard page faults in query execution threads. High values indicate either that you forgot to turn off swap on your server, or eviction of memory pages of the ClickHouse binary during very high memory pressure, or successful usage of the 'mmap' read method for the tables data."
IOBufferAllocBytes,289039164611,454550276870,165511112259,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,2536072,3990533,1454461,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,2115,3320,1205,"Same as Query, but only counts initial queries (see is_initial_query)."
InterfaceHTTPReceiveBytes,2260465,3585785,1325320,Number of bytes received through HTTP interfaces
InterfaceHTTPSendBytes,2424422,3791379,1366957,Number of bytes sent through HTTP interfaces
JoinBuildTableRowCount,4216,6644,2428,Total number of rows in the build table for a JOIN operation.
JoinOptimizeMicroseconds,15690087,17988154,2298067,Total time spent executing JOIN plan optimizations.
JoinProbeTableRowCount,623545713846,982646518689,359100804843,Total number of rows in the probe table for a JOIN operation.
JoinReorderMicroseconds,10595,16437,5842,Total time spent executing JOIN reordering algorithm.
JoinResultRowCount,2494182855384,3930586074756,1436403219372,Total number of rows in the result of a JOIN operation.
LoadedDataParts,15,15,0,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,1835091,1835091,0,Microseconds spent by MergeTree tables for loading data parts during initialization.
LoadedMarksCount,807301,807301,0,Number of marks loaded (total across columns).
LoadedMarksFiles,22,22,0,Number of mark files loaded.
LoadedMarksMemoryBytes,3652160,3652160,0,Size of in-memory representations of loaded marks.
LocalThreadPoolBusyMicroseconds,19451775035329,21325402289084,1873627253755,Total time threads have spent executing the actual work.
LocalThreadPoolExpansions,107269,136246,28977,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolJobWaitTimeMicroseconds,40213762368,42365303550,2151541182,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolJobs,151331376,237647696,86316320,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolLockWaitMicroseconds,99610199941,108638309794,9028109853,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolShrinks,107121,136098,28977,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,329471572,355685289,26213717,Total time local thread pools have spent waiting to borrow a thread from the global pool.
