event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,250867,5292459,5041592,Total time spent analyzing index of patch parts
ArenaAllocBytes,276561920,553123840,276561920,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,67520,135040,67520,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,1652233,1652233,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,54,54,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,3,3,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,54,54,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,249091,449094,200003,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,244,386,142,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,243779,243779,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,462365523,923760903,461395380,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,30466988127496,60869152196928,30402164069432,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,42974,42974,0,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,77213363323,77213363323,0,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,2235066,2235066,0,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,42974,42974,0,Total number of CPU slots acquired
ConcurrencyControlUpscales,42974,42974,0,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,77819135774,77819135774,0,Total time a query was waiting on resource requests for CPU slots.
ConcurrentQuerySlotsAcquired,1055,1055,0,Total number of query slots acquired
ConcurrentQueryWaitMicroseconds,45042,45042,0,Total time a query was waiting for a query slots
ContextLock,1818576,3623901,1805325,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,50869,10691380,10640511,Context lock wait time in microseconds
CreatedReadBufferOrdinary,629937,1257192,627255,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,5874839403,13337160953,7462321550,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,10,10,0,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,19944235,19944235,0,Number of dequeues invoked at all FairPolicyNodes
FileOpen,1135,1919,784,Number of files opened.
FilteringMarksWithPrimaryKeyMicroseconds,4889,12841,7952,Time spent filtering parts by PK.
FunctionExecute,156257916,312515832,156257916,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,1451,13034,11583,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,11460904,543064697,531603793,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,33629,109968,76339,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,393462,13623738,13230276,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolShrinks,0,11296,11296,"Counts the total number of times the global thread pool has shrunk by removing threads. This occurs when the number of idle threads exceeds max_thread_pool_free_size, indicating adjustments in the global thread pool size in response to decreased thread utilization."
GlobalThreadPoolThreadCreationMicroseconds,451134,77563689,77112555,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,230,536,306,Number of created server HTTP connections
HTTPServerConnectionsExpired,3,7,4,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,1055,2110,1055,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,2,3,1,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,1054,2106,1052,Number of reused server HTTP connections
HardPageFaults,578,578,0,"The number of hard page faults in query execution threads. High values indicate either that you forgot to turn off swap on your server, or eviction of memory pages of the ClickHouse binary during very high memory pressure, or successful usage of the 'mmap' read method for the tables data."
IOBufferAllocBytes,144753443658,289032872777,144279429119,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,1270638,2536066,1265428,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,1058,2114,1056,"Same as Query, but only counts initial queries (see is_initial_query)."
InterfaceHTTPReceiveBytes,1159633,2260216,1100583,Number of bytes received through HTTP interfaces
InterfaceHTTPSendBytes,1207390,2406591,1199201,Number of bytes sent through HTTP interfaces
JoinBuildTableRowCount,2108,4216,2108,Total number of rows in the build table for a JOIN operation.
JoinOptimizeMicroseconds,984889,15690087,14705198,Total time spent executing JOIN plan optimizations.
JoinProbeTableRowCount,311772856923,623545713846,311772856923,Total number of rows in the probe table for a JOIN operation.
JoinReorderMicroseconds,4863,10595,5732,Total time spent executing JOIN reordering algorithm.
JoinResultRowCount,1247091427692,2494182855384,1247091427692,Total number of rows in the result of a JOIN operation.
LoadedDataParts,15,15,0,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,1835091,1835091,0,Microseconds spent by MergeTree tables for loading data parts during initialization.
LoadedMarksCount,807301,807301,0,Number of marks loaded (total across columns).
LoadedMarksFiles,22,22,0,Number of mark files loaded.
LoadedMarksMemoryBytes,3652160,3652160,0,Size of in-memory representations of loaded marks.
LocalThreadPoolBusyMicroseconds,830412838773,19451775035113,18621362196340,Total time threads have spent executing the actual work.
LocalThreadPoolExpansions,31982,107265,75283,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolJobWaitTimeMicroseconds,1534608578,40213762262,38679153684,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolJobs,76744142,151331372,74587230,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolLockWaitMicroseconds,1043997642,99610199940,98566202298,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolShrinks,31855,107117,75262,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,9210398,329471559,320261161,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LogDebug,1,1,0,Number of log messages with level Debug
LogInfo,49,49,0,Number of log messages with level Info
LogWarning,3,3,0,Number of log messages with level Warning
LoggerElapsedNanoseconds,12439166,12439166,0,Cumulative time spend in logging
MainConfigLoads,1,1,0,Number of times the main configuration was reloaded.
MarkCacheHits,629726,1256981,627255,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,22,22,0,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
MemoryAllocatorPurge,1,1,0,Total number of times memory allocator purge was requested
MemoryAllocatorPurgeTimeMicroseconds,12756,12756,0,Total time spent for memory allocator purge
MemoryWorkerRun,71355,143933,72578,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,97325816,216469921,119144105,Total time spent by MemoryWorker for background work
MergerMutatorPartsInRangesForMergeCount,674,768,94,Amount of candidate parts for merge
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,1088,1397,309,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorRangesForMergeCount,494,563,69,Amount of candidate ranges for merge
MergerMutatorSelectPartsForMergeElapsedMicroseconds,3072,3738,666,Time spent to select parts from ranges which can be merged.
MergerMutatorsGetPartsForMergeElapsedMicroseconds,15548,17276,1728,Time spent to take data parts snapshot to build ranges from them.
MergingSortedMilliseconds,448653,1010530,561877,Total time spent while merging sorted columns
NetworkReceiveBytes,1159633,2260216,1100583,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveElapsedMicroseconds,34219,70978,36759,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,1207390,2406591,1199201,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,200725,434874,234149,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
OSCPUVirtualTimeMicroseconds,201307032974,420339503796,219032470822,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSCPUWaitMicroseconds,47602812180,2075831880118,2028229067938,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
