event,value,description
RecomputeWeight,879,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,3955543,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,878,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,246,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,246,"Same as Query, but only for SELECT queries."
InitialQuery,246,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,609,Count queries with all subqueries
SelectQueriesWithSubqueries,609,Count SELECT queries with all subqueries
FailedQuery,7,"Number of total failed queries, both internal and user queries."
FailedSelectQuery,7,"Same as FailedQuery, but only for SELECT queries."
QueryTimeMicroseconds,17445974912,Total time of all queries.
SelectQueryTimeMicroseconds,17445974912,Total time of SELECT queries.
FileOpen,374,Number of files opened.
Seek,13744,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,230468,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,1919769851281,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,61,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,1871208827868,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,93360389,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,6151865408944,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,144755,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,281,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,255946,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,292096,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,32826555772,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,15616,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,63963136,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,31009414,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
MarkCacheHits,144851,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,22,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,477,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,499,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,145062,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,1202410698,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,10,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,15109,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,36228,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,274447,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,216084,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,1755,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,632789,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,41618,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,6910,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,5135891,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,6075,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,5211,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
