event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,0,50821,50821,Total time spent analyzing index of patch parts
ArenaAllocBytes,0,63963136,63963136,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,0,15616,15616,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,2593408,2593408,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,53,67,14,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,3,17,14,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,53,67,14,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,812,148589,147777,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,8,208,200,Time spent resetting task for Common executor.
CompileExpressionsBytes,0,16384,16384,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,0,81705,81705,Total time spent for compilation of expressions to LLVM code.
CompileFunction,0,2,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,78,93360389,93360311,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,3618724,6151865408944,6151861790220,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,0,10081,10081,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,0,24151208845,24151208845,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,0,595874,595874,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,0,10414,10414,Total number of CPU slots acquired
ConcurrencyControlUpscales,0,10414,10414,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,0,24517039389,24517039389,Total time a query was waiting on resource requests for CPU slots.
ConcurrentQuerySlotsAcquired,0,251,251,Total number of query slots acquired
