event,value,description
RecomputeWeight,712,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,2910345,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,318,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,2622,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,2622,"Same as Query, but only for SELECT queries."
InitialQuery,2622,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,2875,Count queries with all subqueries
SelectQueriesWithSubqueries,2875,Count SELECT queries with all subqueries
QueryTimeMicroseconds,8082272341,Total time of all queries.
SelectQueryTimeMicroseconds,8082272341,Total time of SELECT queries.
FileOpen,2329,Number of files opened.
Seek,51168,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,379743,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,1487363765397,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,60,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,1434436154324,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,70804242,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,4664557863761,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,212428,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,2212,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,161738,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,470046,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,58674659796,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,9858,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,40378368,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,24656232,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
MarkCacheHits,214028,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,154,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,2174,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,2278,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,214660,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,547800501,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,10,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,23151,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,924844,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,880523,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,8825687,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,1081,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,196536,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,149969,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,20194,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,4115206,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,16984,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,16936,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,1513304,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,586394,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,20517,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,75209235336,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,3879586,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,5928,Total time spent analyzing index of patch parts
CompileFunction,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,59649,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,16384,Number of bytes used for expressions compilation.
JoinBuildTableRowCount,376,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,55610338806,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,222441355224,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,690,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,201675,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,703826,Total time spent executing query plan optimizations.
SelectedParts,2226,Number of data parts selected to read from a MergeTree table.
SelectedPartsTotal,2226,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,2226,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedMarks,11668851,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,11668851,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
SelectedRows,95406065647,Number of rows SELECTed from all tables.
SelectedBytes,4649242043476,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,95406026418,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,95406026418,Number of rows read from MergeTree tables (in total) by prewhere readers.
LoadedDataParts,37,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,19156,Microseconds spent by MergeTree tables for loading data parts during initialization.
FilteringMarksWithPrimaryKeyMicroseconds,5217,Time spent filtering parts by PK.
WaitMarksLoadMicroseconds,1605993,Time spent loading marks
LoadedMarksFiles,154,Number of mark files loaded.
LoadedMarksCount,807433,Number of marks loaded (total across columns).
LoadedMarksMemoryBytes,3662208,Size of in-memory representations of loaded marks.
MergingSortedMilliseconds,32425,Total time spent while merging sorted columns
CommonBackgroundExecutorTaskExecuteStepMicroseconds,18411,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,171,Time spent resetting task for Common executor.
ContextLock,525667,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,14165,Context lock wait time in microseconds
RWLockAcquiredReadLocks,3173,Number of times a read lock was acquired (in a heavy RWLock).
RWLockReadersWaitMilliseconds,8,Total time spent waiting for a read lock to be acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,16032,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,1,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,299,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,24468,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,63,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,44391,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,91357844273,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,28529871444,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,803882195,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
SoftPageFaults,95902183,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
OSCPUWaitMicroseconds,1335252030,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSCPUVirtualTimeMicroseconds,29332662878,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSReadChars,1487537404785,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,20968,"Number of bytes written to filesystem, including page cache, as well as network and other files."
ThreadPoolReaderPageCacheHit,12002040,Number of times the read inside ThreadPoolReader was done from the page cache.
ThreadPoolReaderPageCacheHitBytes,1486486984285,Number of bytes read inside ThreadPoolReader when it was done from the page cache.
ThreadPoolReaderPageCacheHitElapsedMicroseconds,526294889,Time spent reading data from page cache in ThreadPoolReader.
SynchronousReadWaitMicroseconds,538322843,Time spent in waiting for synchronous reads in asynchronous local read.
MainConfigLoads,1,Number of times the main configuration was reloaded.
ServerStartupMilliseconds,90,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,15476,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,2242,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorSelectPartsForMergeElapsedMicroseconds,3783,Time spent to select parts from ranges which can be merged.
MergerMutatorRangesForMergeCount,347,Amount of candidate ranges for merge
MergerMutatorPartsInRangesForMergeCount,1598,Amount of candidate parts for merge
AsyncLoaderWaitMicroseconds,150,Total time a query was waiting for async loader jobs.
LogDebug,1,Number of log messages with level Debug
LogInfo,48,Number of log messages with level Info
LogWarning,2,Number of log messages with level Warning
LoggerElapsedNanoseconds,1149228,Cumulative time spend in logging
InterfaceHTTPSendBytes,8825687,Number of bytes sent through HTTP interfaces
InterfaceHTTPReceiveBytes,880523,Number of bytes received through HTTP interfaces
HTTPServerConnectionsCreated,2556,Number of created server HTTP connections
HTTPServerConnectionsReused,136,Number of reused server HTTP connections
