event,value,description
RecomputeWeight,626,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,2442560,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,272,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,1937,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,1937,"Same as Query, but only for SELECT queries."
InitialQuery,1937,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,2153,Count queries with all subqueries
SelectQueriesWithSubqueries,2153,Count SELECT queries with all subqueries
QueryTimeMicroseconds,6814820956,Total time of all queries.
SelectQueryTimeMicroseconds,6814820956,Total time of SELECT queries.
FileOpen,2066,Number of files opened.
Seek,49474,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,365918,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,1271215539746,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,60,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,1226062506896,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,60532133,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,3987832779201,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,184665,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,1949,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,135827,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,403201,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,48737615434,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,8432,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,34537472,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,21057936,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
MarkCacheHits,186002,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,154,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,1852,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,1956,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,186634,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,458688753,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,10,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,16574,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,574972,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,664968,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,6469520,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,962,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,146354,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,120484,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,16041,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,3532397,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,13516,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,13468,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,950007,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,498909,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,16288,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,64309832845,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,3151088,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,4899,Total time spent analyzing index of patch parts
CompileFunction,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,59649,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,16384,Number of bytes used for expressions compilation.
JoinBuildTableRowCount,320,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,47327947920,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,189311791680,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,574,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,160752,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,528361,Total time spent executing query plan optimizations.
SelectedParts,1904,Number of data parts selected to read from a MergeTree table.
SelectedPartsTotal,1904,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,1904,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedMarks,9980904,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,9980904,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
SelectedRows,81605181626,Number of rows SELECTed from all tables.
SelectedBytes,3974751427649,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,81605154672,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,81605154672,Number of rows read from MergeTree tables (in total) by prewhere readers.
LoadedDataParts,37,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,19156,Microseconds spent by MergeTree tables for loading data parts during initialization.
FilteringMarksWithPrimaryKeyMicroseconds,4519,Time spent filtering parts by PK.
WaitMarksLoadMicroseconds,1508017,Time spent loading marks
LoadedMarksFiles,154,Number of mark files loaded.
LoadedMarksCount,807433,Number of marks loaded (total across columns).
LoadedMarksMemoryBytes,3662208,Size of in-memory representations of loaded marks.
MergingSortedMilliseconds,26067,Total time spent while merging sorted columns
CommonBackgroundExecutorTaskExecuteStepMicroseconds,18411,Time spent in executeStep() for Common executor tasks.
