event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,5928,6556,628,Total time spent analyzing index of patch parts
ArenaAllocBytes,40378368,46219264,5840896,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,9858,11284,1426,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,150,150,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,18411,18651,240,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,171,177,6,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,59649,59649,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,70804242,81078069,10273827,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,4664557863761,5341395418509,676837554748,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,7235,8109,874,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,10267291790,11751002098,1483710308,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptionResumes,266969,311231,44262,Total number of CPU preemption resumed
ConcurrencyControlPreemptions,270751,315331,44580,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,7235,8109,874,Total number of CPU slots acquired
ConcurrencyControlUpscales,7235,8109,874,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,8062340974,9516866994,1454526020,Total time a query was waiting on resource requests for CPU slots.
ContextLock,525710,634885,109175,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,14165,17690,3525,Context lock wait time in microseconds
CreatedReadBufferOrdinary,214660,246007,31347,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,547800501,623368240,75567739,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,10,10,0,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,2910345,3335918,425573,Number of dequeues invoked at all FairPolicyNodes
FileOpen,2329,2665,336,Number of files opened.
FilterTransformPassedBytes,91584355,124049120,32464765,Number of bytes that passed the filter in the query
FilterTransformPassedRows,2427,3175,748,Number of rows that passed the filter in the query
FilteringMarksWithPrimaryKeyMicroseconds,5217,5795,578,Time spent filtering parts by PK.
FunctionExecute,24656232,28254724,3598492,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
