event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,362392,369554,7162,Total time spent analyzing index of patch parts
ArenaAllocBytes,86896640,92401664,5505024,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,21075,22419,1344,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,1500178,1500178,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,234,270,36,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,183,219,36,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,234,270,36,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,216313,216313,0,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,201,201,0,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,68934,68934,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,132312604,137945989,5633385,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,8718498048320,9089698846410,371200798090,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,10363,10933,570,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,25827739175,27829154449,2001415274,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,649059,703935,54876,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,10735,11303,568,Total number of CPU slots acquired
ConcurrencyControlUpscales,10735,11303,568,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,27593851978,30390197265,2796345287,Total time a query was waiting on resource requests for CPU slots.
ConcurrentQuerySlotsAcquired,258,283,25,Total number of query slots acquired
ConcurrentQueryWaitMicroseconds,8429820,9139048,709228,Total time a query was waiting for a query slots
ContextLock,486720,512678,25958,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,294316,301077,6761,Context lock wait time in microseconds
CreatedReadBufferOrdinary,195714,208782,13068,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,1956083154,2036601762,80518608,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,16,16,0,Total time spent waiting for write syscall. This include writes to page cache.
FailedQuery,9,11,2,"Number of total failed queries, both internal and user queries."
FailedSelectQuery,9,11,2,"Same as FailedQuery, but only for SELECT queries."
FairPolicyDequeue,4274713,4541926,267213,Number of dequeues invoked at all FairPolicyNodes
FileOpen,444,449,5,Number of files opened.
FileSync,1,1,0,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,1277,1277,0,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
FilterTransformPassedBytes,1804310,1804310,0,Number of bytes that passed the filter in the query
FilterTransformPassedRows,26463,26463,0,Number of rows that passed the filter in the query
FilteringMarksWithPrimaryKeyMicroseconds,2161,2257,96,Time spent filtering parts by PK.
FunctionExecute,43833314,45764413,1931099,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,4836,4836,0,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
