1 1.0000
2 2.0446
3 3.0590
4 4.0698
5 5.0701
6 6.0878
7 7.0805
8 8.0867
9 9.0982
10 10.0783
11 11.0756
12 11.8494
13 12.8089
14 13.7500
15 14.6977
16 15.6374
17 16.5981
18 17.5337
19 18.4724
20 19.3478
21 20.3164
22 21.1903
23 22.0496
24 22.8230
25 23.6013
26 24.6681
27 25.3559
28 26.2693
29 26.9680
30 27.9774
31 28.8037
32 29.5747
33 30.2602
34 31.0675
35 31.7354
36 32.3855
37 32.9826
38 33.8224
39 34.2855
40 35.1455
41 35.2281
42 36.5979
43 37.0039
44 37.8473
45 38.3569
46 38.5782
47 39.2743
48 37.8186
49 38.1638
50 38.7473
51 39.5812
52 39.7793
53 40.1786
54 40.4759
55 41.0495
56 40.6663
57 40.7818
58 40.8663
59 41.2832
60 41.1499
61 40.4594
62 40.7237
63 41.0789
64 38.7628
