# cores avg_runtime_seconds
1 39.8026
2 19.6710
3 13.1648
4 9.8852
5 7.9104
6 6.5893
7 5.6569
8 4.9625
9 4.4183
10 3.9799
11 3.6268
12 3.3797
13 3.1315
14 2.9167
15 2.7205
16 2.5569
17 2.4144
18 2.2824
19 2.1657
20 2.0762
21 1.9760
22 1.8918
23 1.8193
24 1.7542
25 1.6867
26 1.6258
27 1.5735
28 1.5233
29 1.4837
30 1.4357
31 1.3934
32 1.3601
33 1.3244
34 1.2921
35 1.2690
36 1.2343
37 1.2090
38 1.1910
39 1.1617
40 1.1448
41 1.1256
42 1.1018
43 1.1008
44 1.0771
45 1.0460
46 1.0294
47 1.0191
48 1.0492
49 1.0403
50 1.0289
51 1.0174
52 1.0105
53 1.0038
54 0.9957
55 0.9908
56 0.9947
57 0.9922
58 0.9959
59 0.9963
60 0.9852
61 0.9826
62 0.9832
63 0.9930
64 0.9948
