timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5055.43,47,262144,64,24458,1611422216,112,4,603,516218,7,3164,69,5,127985460,1208,1,68,4054,1569146,4,394876,603,16120,92623992,8091584,28220188,524612876,603,1922,2,1,4,4,955,1,522149900,474456523,46055794,36278816,36278816,2,1,1596267904,73389,73389,4,4,4,36278816,29,1,3,289433,17147321,3417871,21712,3986,522149900,494506,4671814,10608
10175.11,47,262144,64,29295,1930278012,113,4,603,591483,7,4538,69,5,128250912,1208,1,68,4762,1737409,4,394876,603,18956,93968440,10131129,34548685,617982333,603,1922,2,1,4,4,955,1,615079948,567706783,84934926,43513623,43530007,2,1,1914599412,73389,73389,4,4,4,43513623,29,1,3,302970,20199073,3556764,24416,4695,615079948,567067,6572597,10608
15353.73,47,262144,64,33911,2234384900,114,4,603,673444,7,5800,69,5,128250912,1208,1,68,5442,1878170,4,394876,603,21676,95254200,11822510,40163795,707539436,603,1922,2,1,4,4,955,1,704208908,656583028,112352415,50422909,50439293,2,1,2218607996,73389,73389,4,4,4,50422909,29,1,3,313128,23377580,3654250,36600,5375,704208908,636844,8166143,10608
20373.65,47,262144,64,38889,2562215820,114,4,603,757318,7,7185,69,5,128250912,1208,1,68,6173,2077871,4,394876,603,24596,96635704,13961948,45867199,803678841,603,1922,2,1,4,4,955,1,799891468,752371089,164230398,57881059,57897443,2,1,2546766596,73389,73389,4,4,4,57881059,29,1,3,322190,26232560,3797502,41591,6105,799891468,715727,10163071,10608
25421.76,47,262144,64,43395,2859379200,115,4,603,828293,7,8494,69,5,128516364,1208,1,68,6835,2258810,4,394876,603,27244,97893624,15336878,52148104,890861540,603,1922,2,1,4,4,955,1,886661132,839294931,191592075,64640730,64640730,2,1,2844192120,73389,73389,4,4,4,64640730,29,1,3,333294,29212526,3906843,44066,6767,886661132,784227,11428803,10608
30450.54,47,262144,64,49209,3242263668,116,4,603,913280,7,10136,69,5,128516364,1208,1,68,7689,2367677,4,394876,603,30660,99514808,18367713,59652127,1003320716,603,1922,2,1,4,4,955,1,998596620,951309076,239847648,73341905,73358289,2,1,3227043820,73389,73389,4,4,4,73341905,29,1,3,341616,32141699,4027413,47104,7621,998596620,866176,14339028,10608
35486.33,47,262144,64,54578,3596250068,117,4,603,993137,7,11654,69,5,128769750,1208,1,68,8478,2494549,4,394876,603,33816,101007416,21379187,67060887,1107221121,603,1922,2,1,4,4,955,1,1102012428,1054706334,281530513,81385561,81401945,2,1,3580964684,73389,73389,4,4,4,81385561,29,1,3,350739,34893747,4137194,49756,8411,1102012428,943381,17240718,10608
40520.45,47,262144,64,58748,3871127900,118,4,603,1058987,7,12845,69,5,129035202,1208,1,68,9093,2879170,4,394876,603,36276,102173816,23022562,72844835,1188223713,603,1922,2,1,4,4,955,1,1182621708,1135149049,325595387,87639487,87639487,2,1,3856137428,73389,73389,4,4,4,87639487,29,1,3,358795,38168413,4224848,52144,9025,1182621708,1006843,18796711,10608
45590.58,47,262144,64,63637,4193126116,118,4,603,1134821,7,14180,69,5,129035202,1208,1,68,9809,2985936,4,394876,603,39144,103532984,27647941,84175022,1282645351,603,1922,2,1,4,4,955,1,1276600332,1229235393,428455055,94950181,94966565,2,1,4177807964,73389,73389,4,4,4,94950181,29,1,3,369203,41169856,4360570,54887,9742,1276600332,1079934,23286730,10608
50634.39,47,262144,64,68797,4533150040,119,5,603,1217035,7,15639,69,5,129035202,1208,1,68,10569,3140207,4,394876,603,42184,122472024,29682672,90557193,1382595880,603,1922,2,1,4,4,955,1,1376083980,1328677210,471109796,102684700,102684700,2,1,4518126800,73389,73389,4,4,4,102684700,29,1,3,376704,44360043,4464259,57705,10501,1376083980,1159330,25217881,10608
