timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5267.25,13,262144,64,22291,1468609348,112,0,603,1093915,8,2573,58,68,119937,127985460,1208,1,67,3735,3569385,3,120393,603,14840,112458848,4494789,28396335,482554394,603,1898,2,1,4,4,551,1,480337932,432728142,37320684,33016685,33033069,2,1,1452734140,73389,73389,4,4,4,33016685,11,3,102327,24130438,1251626,14571,3667,480337932,1079344,3243560,8281
10302.49,13,262144,64,25971,1711109088,112,0,603,1156690,8,3578,58,68,119937,127985460,1208,1,67,4275,3644170,3,120393,603,17000,113483360,5845149,34109761,553676581,603,1898,2,1,4,4,551,1,551116812,503559563,58848365,38535490,38551874,2,1,1695561560,73389,73389,4,4,4,38535490,11,3,108257,27363259,1311125,16595,4207,551116812,1140095,4533866,8281
15395.39,13,262144,64,30325,1998045544,113,0,603,1236838,8,4820,58,68,119937,128250912,1208,1,67,4916,3760520,3,120393,603,19564,114699616,7795605,40729887,638101004,603,1898,2,1,4,4,551,1,635133964,587520457,98855232,45059752,45076136,2,1,1982629088,73389,73389,4,4,4,45059752,11,3,109733,30401013,1378177,29806,4848,635133964,1207032,6417449,8281
20779.64,13,262144,64,35457,2336234460,114,0,603,1317143,8,6273,58,68,119937,128250912,1208,1,67,5667,3951901,3,120393,603,22568,116125472,10314308,48121774,737003153,603,1898,2,1,4,4,551,1,733569036,686300895,161934645,52745119,52761503,2,1,2320785236,73389,73389,4,4,4,52745119,11,3,120067,33834115,1496573,32504,5599,733569036,1284639,8816822,8281
26180.67,13,262144,64,39275,2587778168,114,0,603,1381622,8,7312,58,68,119937,128250912,1208,1,67,6229,4116224,3,120393,603,24820,117193696,12790193,56413541,811155051,603,1898,2,1,4,4,551,1,807362572,759866567,201052261,58460532,58476916,2,1,2572263408,73389,73389,4,4,4,58460532,11,3,128605,37356930,1590415,34625,6162,807362572,1346997,11198759,8281
31210.91,13,262144,64,44187,2911549164,115,0,603,1458440,8,8706,58,68,119937,128516364,1208,1,67,6949,4299873,3,120393,603,27696,118558176,14626912,62087933,905845543,603,1898,2,1,4,4,551,1,901603340,854552133,237704674,65826411,65826411,2,1,2895641188,73389,73389,4,4,4,65810027,11,3,133216,40550601,1660090,37479,6881,901603340,1420961,12965942,8281
37192.68,13,262144,64,48859,3219326068,116,0,603,1530545,8,10040,58,68,119937,128516364,1208,1,67,7639,4484208,3,120393,603,30460,136844040,17806553,72392705,996717567,603,1898,2,1,4,4,551,1,992043020,944556987,336274065,72817617,72834001,2,1,3203975148,73389,73389,4,4,4,72817617,11,3,147365,43949514,1801938,39982,7571,992043020,1490563,16003798,8281
42397.70,13,262144,64,52835,3481224464,117,0,603,1593893,8,11179,58,68,119937,128769750,1208,1,67,8223,4732951,3,120393,603,32796,137951240,19700480,79558571,1073634566,603,1898,2,1,4,4,551,1,1068589068,1021152248,385461008,78778790,78778790,2,1,3466266760,73389,73389,4,4,4,78778790,11,3,150918,47547627,1879540,42230,8155,1068589068,1551663,17820455,8281
47440.00,13,262144,64,57901,3815353456,118,0,603,1672926,8,12594,58,68,119937,129035202,1208,1,67,8969,4976231,3,120393,603,35780,139365832,22453609,88842049,1171867535,603,1898,2,1,4,4,551,1,1166368780,1118824892,445550350,86371886,86371886,2,1,3800362984,73389,73389,4,4,4,86371886,11,3,153597,50820862,1984976,44936,8901,1166368780,1627990,20467282,8281
52509.59,13,262144,64,62340,4107860472,118,0,603,1746539,8,13826,58,68,119937,129035202,1208,1,67,9620,5119069,3,120393,603,38388,140597960,24173174,95412545,1257736757,603,1898,2,1,4,4,551,1,1251827724,1204307632,473258957,93010836,93027220,2,1,4092476784,73389,73389,4,4,4,93010836,11,3,160254,53820768,2063570,47299,9553,1251827724,1699240,22108100,8281
