timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5139.99,28,262144,64,24248,1597659656,112,0,603,588613,24,3107,59,68,104747,127985460,1208,1,67,4024,1833990,3,244657,603,15984,66468742,5568006,32273052,520636241,603,2297,2,1,4,4,951,1,518217740,470468721,44785191,35951136,35967520,2,1,1581849984,73389,73389,4,4,4,35951136,24,1,3,93900,23703375,1347644,55981,3956,518217740,532632,4222187,34424
10247.01,28,262144,64,29136,1919857788,113,0,603,662040,24,4494,59,68,104747,128250912,1208,1,67,4741,2014712,3,244657,603,18856,67830278,7334996,38709510,615186010,603,2297,2,1,4,4,951,1,612327436,564640147,71544911,43284247,43300631,2,1,1904506868,73389,73389,4,4,4,43284247,24,1,3,97893,27005977,1424943,58794,4674,612327436,603246,5912091,34424
15318.68,28,262144,64,34088,2245984772,114,0,603,737302,24,5901,59,68,104747,128250912,1208,1,67,5468,2165159,3,244657,603,21760,69209798,9799860,47393709,710790720,603,2297,2,1,4,4,951,1,707485708,659977663,112570475,50701437,50717821,2,1,2230863228,73389,73389,4,4,4,50701437,24,1,3,101186,30083722,1542730,62125,5400,707485708,675177,8259062,34424
20511.95,28,262144,64,39202,2582994040,114,0,603,813400,24,7297,59,68,104747,128250912,1208,1,67,6219,2403374,3,244657,603,24764,70628934,12676400,54812140,809692340,603,2297,2,1,4,4,951,1,805920780,758463210,150789908,58362228,58362228,2,1,2567938032,73389,73389,4,4,4,58362228,24,1,3,106742,33341891,1614146,64811,6151,805920780,748589,11064335,34424
25561.92,28,262144,64,44252,2915809004,115,0,603,894784,24,8728,59,68,104747,128516364,1208,1,67,6961,2506841,3,244657,603,27732,72038086,15435489,62204109,907412759,603,2297,2,1,4,4,951,1,903176204,855786934,195049404,65924715,65924715,2,1,2900687460,73389,73389,4,4,4,65924715,24,1,3,114091,36416013,1744037,67757,6893,903176204,827027,13694158,34424
30744.66,28,262144,64,48138,3171809160,116,0,603,959145,24,9842,59,68,104747,128516364,1208,1,67,7534,2881713,3,244657,603,30024,73122502,16898850,68373036,982876260,603,2297,2,1,4,4,951,1,978280460,930718244,239981956,71730240,71746624,2,1,3156130560,73389,73389,4,4,4,71730240,24,1,3,119076,39793666,1824410,69942,7466,978280460,889203,15077263,34424
35779.58,28,262144,64,51939,3422238756,117,0,603,1023231,24,10924,59,68,104747,128516364,1208,1,67,8092,3167199,3,244657,603,32260,74181254,19309411,74915424,1056496529,603,2297,2,1,4,4,951,1,1051549708,1003860572,293372945,77429269,77445653,2,1,3406887836,73389,73389,4,4,4,77429269,24,1,3,125373,43041242,1916550,72240,8025,1051549708,950991,17395178,34424
41984.96,28,262144,64,56572,3727459756,117,0,603,1097732,24,12197,59,68,104747,128769750,1208,1,67,8773,3367681,3,244657,603,34980,75470086,20972211,82612748,1146058847,603,2297,2,1,4,4,951,1,1140678668,1093139843,324342868,84363131,84379515,2,1,3711977764,73389,73389,4,4,4,84363131,24,1,3,131144,46860558,1992826,75069,8705,1140678668,1022663,18981753,34424
47031.59,28,262144,64,60386,3979006772,118,0,603,1156341,24,13294,59,68,104747,129035202,1208,1,67,9333,3666615,3,244657,603,37220,76533126,23044463,89698751,1219820545,603,2297,2,1,4,4,951,1,1214078988,1166660103,373946642,90092769,90092769,2,1,3964081836,73389,73389,4,4,4,90092769,24,1,3,137966,49998013,2073390,77324,9265,1214078988,1079017,20974129,34424
52316.50,28,262144,64,64012,4217702116,119,0,603,1212373,24,14336,59,68,104747,129035202,1208,1,67,9866,3824029,3,244657,603,39356,77549190,24762538,96998974,1290144900,603,2297,2,1,4,4,951,1,1284071436,1236521615,419222308,95499045,95515429,2,1,4201957980,73389,73389,4,4,4,95499045,24,1,3,140506,53244552,2141318,79316,9799,1284071436,1133057,22624547,34424
57402.50,28,262144,64,68625,4521612396,119,0,603,1289996,24,15588,59,68,104747,129035202,1208,1,67,10544,3990099,3,244657,603,42064,78833414,26734848,103506170,1379304285,603,2297,2,1,4,4,951,1,1372807180,1325337369,477502228,102416523,102432907,2,1,4506327012,73389,73389,4,4,4,102416523,24,1,3,150532,56574297,2230906,81968,10476,1372807180,1208028,24506940,34424
62706.83,28,262144,64,73752,4859739084,120,0,603,1367268,24,17020,59,68,104747,129300654,1208,1,67,11295,4084235,3,244657,603,45068,80265414,29240585,111897518,1478200312,603,2297,2,1,4,4,951,1,1471242252,1424080224,544289353,110099731,110116115,2,1,4844388164,73389,73389,4,4,4,110099731,24,1,3,155202,59976065,2302248,84792,11227,1471242252,1282476,26941720,34424
68919.98,28,262144,64,78092,5145492584,121,1,603,1451561,24,18287,59,68,104747,129300654,1208,1,67,11933,4456193,3,244657,603,47624,81482310,33006115,125938946,1562362512,603,2297,2,1,4,4,951,1,1554997260,1507658060,719150987,116593384,116609768,2,1,5130108896,73389,73389,4,4,4,116593384,24,1,3,172190,64037527,2432770,100652,11866,1554997260,1350909,30576908,34424
74151.68,28,262144,64,82456,5433084400,122,1,603,1530661,24,19510,59,68,104747,129566106,1208,1,67,12574,4671609,3,244657,603,50184,82700038,34884276,134213712,1646652405,603,2297,2,1,4,4,951,1,1638883340,1591742699,740678815,123134030,123150414,2,1,5417897320,73389,73389,4,4,4,123134030,24,1,3,178258,67448322,2549880,106685,12506,1638883340,1423976,32338671,34424
79220.79,28,262144,64,87256,5749515364,122,1,603,1604561,24,20840,59,68,104747,129566106,1208,1,67,13280,4812797,3,244657,603,53008,84039302,37200722,142371463,1739627695,603,2297,2,1,4,4,951,1,1731420172,1684245845,789164528,130319685,130336069,2,1,5734066140,73389,73389,4,4,4,130319685,24,1,3,180338,70683234,2633359,109018,13212,1731420172,1495543,34571861,34424
84303.62,28,262144,64,92458,6092026348,123,1,603,1693369,24,22315,59,68,104747,129566106,1208,1,67,14045,5041950,3,244657,603,56072,102267550,38846716,147916271,1840372952,603,2297,2,1,4,4,951,1,1831690252,1784353483,814699261,138113707,138113707,2,1,6077003108,73389,73389,4,4,4,138113707,24,1,3,184615,73758986,2717863,111750,13977,1831690252,1581619,36133405,34424
89325.91,28,262144,64,98802,6510175800,124,1,603,1789851,24,24096,59,68,104747,129831558,1208,1,67,14976,5170744,3,244657,603,59796,104027870,42957677,157402551,1962960287,603,2297,2,1,4,4,951,1,1953718284,1906595146,899818908,147605188,147621572,2,1,6494628272,73389,73389,4,4,4,147605188,24,1,3,197186,76747303,2875981,114962,14909,1953718284,1674897,40085646,34424
94343.94,28,262144,64,114532,7546631572,127,1,603,2008542,24,28531,59,68,104747,130362462,1208,1,67,17287,5231727,3,244657,603,69036,108307358,50880362,163706608,2267019939,603,2297,2,1,4,4,951,1,2256494604,2209562187,950757450,171161001,171177385,2,1,7531084044,73389,73389,4,4,4,171161001,24,1,3,232709,78533750,3209428,121018,17219,2256494604,1887524,47675652,34424
99356.99,28,262144,64,136548,8997435708,131,1,603,2341750,24,34771,59,68,104747,130893366,1208,1,67,20521,5243013,3,244657,603,81976,114256926,61457084,165341692,2692763154,603,2297,2,1,4,4,951,1,2680512524,2633700016,990267732,204142759,204142759,2,1,8981560500,73389,73389,4,4,4,204126375,24,1,3,259612,79495195,3644019,128592,20453,2680512524,2213158,57818798,34424
104367.74,28,262144,64,159961,10540071154,135,1,603,2692156,24,41329,59,68,104747,131424270,1208,1,67,23961,5248701,3,244657,603,95740,137521774,72600032,166412220,3145466260,603,2297,2,1,4,4,951,1,3131400204,3084637192,1024395539,239203126,239203126,2,1,10524216648,73389,73389,4,4,4,239186742,24,1,3,296416,80396975,4093486,136365,23893,3131400204,2555791,68513273,34424
109380.42,28,262144,64,183005,12057999528,139,2,603,3056836,24,47831,59,68,104747,132220626,1208,1,67,27346,5256825,3,244657,603,109292,194318782,83283768,167345321,3590382752,603,2297,2,1,4,4,951,1,3574486558,3528311182,1050077233,273690053,273706437,2,1,12042362332,73389,73389,4,4,4,273690053,24,1,3,314695,81340868,4461018,144840,27278,3574486558,2911996,78830850,34424
114388.64,28,262144,64,207265,13656650738,143,2,603,3407682,24,54668,59,68,104747,132751530,1208,1,67,30908,5261775,3,244657,603,123548,234500958,94196523,167827067,4059186623,603,2297,2,1,4,4,951,1,4041365022,3995679938,1089973191,310032246,310048630,2,1,13641418824,73389,73389,4,4,4,310032246,24,1,3,337493,82161404,4807358,152555,30840,4041365022,3255127,89398594,34424
119396.52,28,262144,64,230576,15192589446,147,2,603,3765033,24,61294,59,68,104747,133282434,1208,1,67,34333,5268661,3,244657,603,137260,291293790,103911698,168224651,4509923059,603,2297,2,1,4,4,951,1,4490286622,4444624460,1118067874,344945157,344945157,2,1,15176866012,73389,73389,4,4,4,344928773,24,1,3,349405,82951680,5071395,159993,34265,4490286622,3605040,98850139,34424
124404.30,28,262144,64,254748,16785220102,151,2,603,4088053,24,68111,59,68,104747,133813338,1208,1,67,37883,5274013,3,244657,603,151468,331695886,114976293,168610207,4977137536,603,2297,2,1,4,4,951,1,4955592222,4910123940,1148270566,381133861,381150245,2,1,16769889884,73389,73389,4,4,4,381133861,24,1,3,365122,83719839,5356318,167572,37815,4955592222,3920481,109630512,34424
129411.17,28,262144,64,278599,18357079154,155,2,603,4405133,24,74800,59,68,104747,134609694,1208,1,67,41390,5276790,3,244657,603,165496,338002510,126399406,168737007,5438649209,603,2297,2,1,4,4,951,1,5415261726,5369659475,1176403427,416853462,416869846,2,1,18341552328,73389,73389,4,4,4,416853462,24,1,3,376714,84415533,5588485,174606,41322,5415261726,4230527,120820639,34424
134417.38,28,262144,64,303920,20025276126,159,2,603,4748853,24,81929,59,68,104747,135140598,1208,1,67,45111,5280752,3,244657,603,180384,378967206,137141151,168843919,5928213433,603,2297,2,1,4,4,951,1,5902849566,5857367227,1200524652,454768519,454784903,2,1,20009814836,73389,73389,4,4,4,454768519,24,1,3,399614,85150710,5866941,182866,45043,5902849566,4565987,131284290,34424
139424.98,28,262144,64,330897,21802562366,164,3,603,5092582,24,89570,59,68,104747,135936954,1208,1,67,49068,5284321,3,244657,603,196224,420388534,147538598,168918918,6448521960,603,2297,2,1,4,4,951,1,6421030700,6376810547,1245469939,495173500,495173500,2,1,21786913104,73389,73389,4,4,4,495157116,24,1,3,415598,85901584,6106675,191585,49000,6421030700,4900997,141442886,34424
144432.91,28,262144,64,358942,23650353276,169,3,603,5439873,24,97475,59,68,104747,136733310,1208,1,67,53188,5287077,3,244657,603,212712,462310494,157641416,168945412,6990731116,603,2297,2,1,4,4,951,1,6961047340,6916984092,1265345478,537167729,537167729,2,1,23634659180,73389,73389,4,4,4,537151345,24,1,3,430832,86638212,6292224,199384,53120,6961047340,5240489,151359259,34424
149438.03,28,262144,64,387331,25521207408,174,3,603,5784925,24,105474,59,68,104747,137529666,1208,1,67,57359,5288128,3,244657,603,229392,469783710,167708096,168957057,7539524197,603,2297,2,1,4,4,951,1,7507617580,7463860345,1293839937,579673736,579690120,2,1,25505644384,73389,73389,4,4,4,579673736,24,1,3,441185,87344488,6462504,208288,57291,7507617580,5576637,161256338,34424
