timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.41,9,262144,64,53671,3536278012,117,1,603,698178,36,16,11351,69,56,128769750,1208,1,68,8343,32478,4,366,603,33280,118522632,13687572,526372,1088714854,567,2295,36,12,1,2,1,4,4,508,1,1084317708,1037249248,22746754,80030007,80030007,2,1,3520599412,73389,73389,4,4,4,80013623,22,3,216039,1736904,3256914,14319,8275,1084317708,683859,10431736,6597
10030.72,9,262144,64,86375,5691512696,122,1,603,1094155,36,16,20596,69,56,129566106,1208,1,68,13151,42442,4,366,603,52536,212708440,22598977,1215302,1721599209,567,2295,36,12,1,2,1,4,4,508,1,1714642956,1667264190,64417073,129002932,129019316,2,1,5676129008,73389,73389,4,4,4,129002932,22,3,234049,2785930,3482283,21261,13084,1714642956,1072894,19118188,6597
15042.86,9,262144,64,98317,6478125388,124,1,603,1282632,36,16,23966,69,56,129831558,1208,1,68,14906,91424,4,366,603,59556,232982088,28150900,7248003,1952473228,567,2295,36,12,1,2,1,4,4,508,1,1944543244,1897210003,125925599,146878259,146894643,2,1,6462643396,73389,73389,4,4,4,146878259,22,3,255394,5117920,3790254,27046,14838,1944543244,1255586,24362065,6597
20060.33,9,262144,64,105029,6920657540,125,1,603,1405084,36,16,25839,69,56,130097010,1208,1,68,15891,221126,4,366,603,63496,234840904,31137288,12668781,2082171722,567,2295,36,12,1,2,1,4,4,508,1,2073649164,2026493851,148270838,156941021,156957405,2,1,6905404924,73389,73389,4,4,4,156941021,22,3,263156,7737044,3961082,31098,15823,2073649164,1373986,27178404,6597
25080.95,9,262144,64,112002,7380029136,127,1,603,1524057,36,16,27857,69,56,130362462,1208,1,68,16918,297933,4,366,603,67604,236778056,33915768,18289489,2217394519,567,2295,36,12,1,2,1,4,4,508,1,2208260108,2160862695,184642478,167374582,167390966,2,1,7364481608,73389,73389,4,4,4,167374582,22,3,268841,10566931,4090898,35161,16850,2208260108,1488896,29828126,6597
30092.10,9,262144,64,123778,8156028304,129,1,603,1745976,36,16,31162,69,56,130627914,1208,1,68,18645,364879,4,366,603,74512,240028360,39220416,23833564,2444724088,567,2295,36,12,1,2,1,4,4,508,1,2434621452,2387695352,251654002,185010182,185026566,2,1,8140448008,73389,73389,4,4,4,185010182,22,3,291809,12750380,4385987,43889,18577,2434621452,1702087,34838424,6597
35106.12,9,262144,64,152171,10026891194,133,1,603,2077992,36,16,39144,69,56,131158818,1208,1,68,22817,377898,4,366,603,91200,247550664,48669493,26027225,2993796006,567,2295,36,12,1,2,1,4,4,508,1,2981453836,2934662810,286350417,227534732,227534732,2,1,10011528208,73389,73389,4,4,4,227534732,22,3,307372,13952329,4618508,51780,22749,2981453836,2026212,44055788,6597
40122.87,9,262144,64,163944,10802428302,135,1,603,2262499,36,16,42467,69,56,131424270,1208,1,68,24546,418702,4,366,603,98116,250803784,55406904,33086888,3221389616,567,2295,36,12,1,2,1,4,4,508,1,3208077324,3161348539,485944458,245164299,245164299,2,1,10786508260,73389,73389,4,4,4,245147915,22,3,340937,16116040,4994116,57550,24478,3208077324,2204949,50416948,6597
45137.18,9,262144,64,176003,11596974158,137,1,603,2456814,36,16,45866,69,56,131689722,1208,1,68,26319,510283,4,366,603,105208,254146504,60707141,38399100,3454652685,567,2295,36,12,1,2,1,4,4,508,1,3440347494,3393518989,526115763,263225883,263225883,2,1,11581938852,73389,73389,4,4,4,263225883,22,3,354955,18336282,5284208,63376,26251,3440347494,2393438,55427232,6597
50144.26,9,262144,64,206648,13615949574,143,1,603,2832143,36,16,54551,69,56,132751530,1208,1,68,30818,515775,4,366,603,123216,313529904,69616450,39243883,4046263799,567,2295,36,12,1,2,1,4,4,508,1,4029568542,3983732574,552543900,309108709,309108709,2,1,13600062300,73389,73389,4,4,4,309092325,22,3,378888,19113843,5506185,72568,30750,4029568542,2759575,64114913,6597
