timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5243.62,28,262144,64,23144,1524777008,112,0,603,443404,34,2802,68,42162,127985460,1208,1,67,3858,1136422,3,277008,603,15322,23962752,5301408,29293991,498919171,603,2283,2,1,4,4,834,1,496590860,449108553,43753569,34300670,34317054,2,1,1509229480,73389,73389,4,4,4,34300670,22,1,3,127926,21797610,1374603,18526,3791,496590860,424878,3927850,8826
10604.20,28,262144,64,27435,1807584696,112,0,603,516957,34,3975,68,42162,127985460,1208,1,67,4490,1375452,3,277008,603,17854,42007208,7220479,37312989,582158548,603,2283,2,1,4,4,834,1,579428364,531806814,72568298,40726628,40743012,2,1,1791971632,73389,73389,4,4,4,40726628,22,1,3,131602,25281972,1460039,21061,4423,579428364,495896,5762086,8826
16109.81,28,262144,64,31752,2092096320,113,0,603,583439,34,5207,68,42162,128250912,1208,1,67,5124,1502435,3,277008,603,20386,43216232,8635500,44271397,665533056,603,2283,2,1,4,4,834,1,662396940,615000681,99278932,47201738,47201738,2,1,2076876472,73389,73389,4,4,4,47201738,22,1,3,134369,28831535,1529869,23548,5057,662396940,559891,7107897,8826
21788.61,28,262144,64,36709,2418550984,114,0,603,660298,34,6617,68,42162,128250912,1208,1,67,5852,1737473,3,277008,603,23306,61557336,11892068,54489712,761542594,603,2283,2,1,4,4,834,1,757948428,710339410,188487607,54618928,54635312,2,1,2403232832,73389,73389,4,4,4,54618928,22,1,3,142555,32959021,1658013,26890,5785,757948428,633408,10236758,8826
26863.08,28,262144,64,41457,2731574076,115,0,603,745393,34,7964,68,42162,128516364,1208,1,67,6549,1885648,3,277008,603,26094,62884504,14142106,65678019,853328433,603,2283,2,1,4,4,834,1,849305612,801947839,244686488,61722663,61739047,2,1,2715797172,73389,73389,4,4,4,61722663,22,1,3,144799,36095337,1732679,43466,6482,849305612,701927,12412158,8826
32108.62,28,262144,64,45624,3006255300,115,0,603,818686,34,9053,68,42162,128516364,1208,1,67,7164,1981510,3,277008,603,28550,64049880,15827551,71778885,934194555,603,2283,2,1,4,4,834,1,929783820,882244701,277711356,67968397,67984781,2,1,2990609468,73389,73389,4,4,4,67968397,22,1,3,148895,39128969,1811559,46297,7096,929783820,772389,14019362,8826
37157.44,28,262144,64,51308,3380620088,116,0,603,895835,34,10706,68,42162,128516364,1208,1,67,7999,2136523,3,277008,603,31890,65634712,19370599,83579070,1044152599,603,2283,2,1,4,4,834,1,1039228940,991779276,342920243,76489348,76489348,2,1,3365531312,73389,73389,4,4,4,76489348,22,1,3,156047,41999881,1939333,49185,7931,1039228940,846650,17435011,8826
42216.98,28,262144,64,58142,3831147632,118,0,603,1004624,34,12682,68,42162,129035202,1208,1,67,9004,2205124,3,277008,603,35910,67533016,22335321,90079733,1176480779,603,2283,2,1,4,4,834,1,1170956300,1123438289,397383736,86732334,86732334,2,1,3816222696,73389,73389,4,4,4,86732334,22,1,3,165259,44718480,2062001,63698,8936,1170956300,940926,20277400,8826
47236.89,28,262144,64,76811,5061010064,121,0,603,1266304,34,17884,68,42162,129300654,1208,1,67,11744,2245255,3,277008,603,46870,72591128,31986381,94831993,1537112903,603,2283,2,1,4,4,834,1,1530093580,1482996098,486588978,114680774,114680774,2,1,5045954056,73389,73389,4,4,4,114680774,22,1,3,197859,46105604,2457518,71326,11676,1530093580,1194978,29532769,8826
52249.44,28,262144,64,99799,6576046096,125,0,603,1604638,34,24371,68,42162,130097010,1208,1,67,15122,2251537,3,277008,603,60386,96083416,42917967,96034044,1981701094,603,2283,2,1,4,4,834,1,1972854796,1925797086,517814309,149116390,149116390,2,1,6560400264,73389,73389,4,4,4,149100006,22,1,3,229267,47043236,2856340,79800,15054,1972854796,1524838,40064724,8826
57264.22,28,262144,64,123170,8115663578,128,2,603,1958480,34,30959,68,42162,130362462,1208,1,67,18556,2260157,3,277008,603,74122,119165856,52995110,96863567,2433486698,603,2283,2,1,4,4,834,1,2422824972,2375869119,545510168,184096996,184113380,2,1,8100267824,73389,73389,4,4,4,184096996,22,1,3,244749,47970986,3260866,87998,18488,2422824972,1870482,49736920,8826
62274.18,28,262144,64,147308,9706331462,133,2,603,2330216,34,37768,68,42162,131158818,1208,1,67,22102,2270178,3,277008,603,88310,125648800,63305921,97637944,2900286933,603,2283,2,1,4,4,834,1,2887737356,2840978761,569966416,220250773,220250773,2,1,9691034012,73389,73389,4,4,4,220250773,22,1,3,257216,48919017,3616674,96871,22034,2887737356,2233345,59692362,8826
67283.19,28,262144,64,171752,11317053362,137,2,603,2660145,34,44657,68,42162,131689722,1208,1,67,25693,2274342,3,277008,603,102678,149347744,74657615,98430371,3372922176,603,2283,2,1,4,4,834,1,3358416908,3311720558,623280492,256855110,256855110,2,1,11301624840,73389,73389,4,4,4,256855110,22,1,3,284773,49715576,3986731,105873,25625,3358416908,2554272,70675303,8826
72292.78,28,262144,64,195860,12905230878,141,3,603,2989250,34,51498,68,42162,132486078,1208,1,67,29232,2278482,3,277008,603,116838,172733776,84593073,98818038,3838063275,603,2283,2,1,4,4,834,1,3821688350,3775968825,646408129,292959735,292959735,2,1,12890228340,73389,73389,4,4,4,292959735,22,1,3,297485,50514972,4280527,114110,29164,3821688350,2875140,80318616,8826
77300.53,28,262144,64,221688,14606920054,145,3,603,3332852,34,58709,68,42162,133016982,1208,1,67,33028,2282964,3,277008,603,132022,179605904,96347930,99161726,4337665958,603,2283,2,1,4,4,834,1,4319237662,4273417586,673393053,331634489,331634489,2,1,14591196620,73389,73389,4,4,4,331618105,22,1,3,319032,51319935,4627658,122597,32960,4319237662,3210255,91725547,8826
82308.94,28,262144,64,248565,16377887398,150,3,603,3713980,34,66314,68,42162,133813338,1208,1,67,36975,2287006,3,277008,603,147810,186715792,106793941,99310810,4857176761,603,2283,2,1,4,4,834,1,4836578846,4791070982,710620079,371885981,371885981,2,1,16362983164,73389,73389,4,4,4,371885981,22,1,3,331624,52148860,4907748,132092,36907,4836578846,3581888,101892784,8826
87315.65,28,262144,64,276313,18206467502,155,4,603,4096297,34,74156,68,42162,134609694,1208,1,67,41054,2289870,3,277008,603,164138,245192136,117220671,99410822,5394032222,603,2283,2,1,4,4,834,1,5371221534,5325629861,738799929,413443875,413443875,2,1,18191530500,73389,73389,4,4,4,413443875,22,1,3,356181,52958760,5177619,140903,40986,5371221534,3955394,112050891,8826
92321.73,28,262144,64,304137,20039762890,159,4,603,4456818,34,81999,68,42162,135140598,1208,1,67,45142,2293584,3,277008,603,180498,286296456,126928354,99486068,5932050509,603,2283,2,1,4,4,834,1,5907043870,5861541244,763017161,455102232,455118616,2,1,20024498208,73389,73389,4,4,4,455102232,22,1,3,381239,53759101,5459719,151311,45074,5907043870,4305507,121478571,8826
97328.62,28,262144,64,332805,21928401410,165,5,603,4823971,34,90110,68,42162,136202406,1208,1,67,49351,2295905,3,277008,603,197338,310872224,137933857,99528380,6485390881,603,2283,2,1,4,4,834,1,6458124076,6413637303,785767751,498026031,498042415,2,1,21913145364,73389,73389,4,4,4,498026031,22,1,3,399910,54535851,5668404,160141,49283,6458124076,4663830,132274445,8826
102333.52,28,262144,64,363905,23977478674,170,5,603,5195489,34,98881,68,42162,136998762,1208,1,67,53917,2297047,3,277008,603,215606,335891320,147783191,99535066,7086253205,603,2283,2,1,4,4,834,1,7056598828,7012610003,828506208,544599144,544615528,2,1,23962362336,73389,73389,4,4,4,544599144,22,1,3,416325,55278909,5863243,167374,53849,7056598828,5028115,141928623,8826
107338.52,28,262144,64,397690,26203787028,175,5,603,5575395,34,108361,68,42162,137770986,1208,1,67,58883,2297862,3,277008,603,235478,378397328,157023285,99538772,7739842834,603,2283,2,1,4,4,834,1,7707502380,7663400035,849534211,595200118,595200118,2,1,26188084296,73389,73389,4,4,4,595183734,22,1,3,428223,56033120,6012276,174278,58815,7707502380,5401117,151019896,8826
