timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5199.67,33,262144,64,23072,1520058416,112,0,603,1788138,21,2786,54,69,264943,127985460,1208,1,68,3848,1363861,4,276973,603,15294,95848880,5726539,28509222,497541773,603,1872,2,1,4,4,691,1,495280140,447755026,49591070,34185982,34202366,2,1,1504183208,73389,73389,4,4,4,34185982,22,3,140265,20483786,1644846,41959,3781,495280140,1746179,4083262,15183
10797.99,33,262144,64,26717,1760264396,112,0,603,1851263,21,3778,54,69,264943,127985460,1208,1,68,4385,1629935,4,276973,603,17438,96864112,7287652,34965688,568140097,603,1872,2,1,4,4,691,1,565534732,517967251,71742817,39655635,39672019,2,1,1744847940,73389,73389,4,4,4,39655635,22,3,147100,24061882,1729466,44164,4317,565534732,1807099,5558897,15183
15948.30,33,262144,64,31126,2051070784,113,0,603,1923182,21,5038,54,69,264943,128250912,1208,1,68,5033,1756298,4,276973,603,20030,98094064,8686428,40372878,653480922,603,1872,2,1,4,4,691,1,650469388,603028578,99860526,46267850,46267850,2,1,2035785400,73389,73389,4,4,4,46267850,22,3,153535,27172446,1849205,46551,4965,650469388,1876631,6839190,15183
21685.48,33,262144,64,35498,2338921436,114,0,603,1999212,21,6263,54,69,264943,128250912,1208,1,68,5673,1929510,4,276973,603,22590,99308720,11877856,52504831,737769969,603,1872,2,1,4,4,691,1,734355468,687102444,174647650,52810655,52827039,2,1,2323668820,73389,73389,4,4,4,52810655,22,3,171526,30588201,2012642,49132,5605,734355468,1950080,9867521,15183
26709.43,33,262144,64,39428,2597805176,114,0,603,2067159,21,7358,54,69,264943,128250912,1208,1,68,6252,2082867,4,276973,603,24910,100408944,13391541,59791104,814160369,603,1872,2,1,4,4,691,1,810377228,762789098,214712837,58689908,58706292,2,1,2582355952,73389,73389,4,4,4,58689908,22,3,177227,33995053,2085213,51449,6185,810377228,2015710,11308730,15183
31788.49,33,262144,64,43808,2886445568,115,0,603,2135653,21,8606,54,69,264943,128516364,1208,1,68,6894,2205943,4,276973,603,27478,101626800,15204941,66095639,898711192,603,1872,2,1,4,4,691,1,894525452,847201887,242179762,65246938,65263322,2,1,2870865272,73389,73389,4,4,4,65246938,22,3,183657,37090539,2158124,53752,6827,894525452,2081901,13048932,15183
37940.06,33,262144,64,48161,3173316488,116,0,603,2205349,21,9848,54,69,264943,128516364,1208,1,68,7537,2467996,4,276973,603,30046,102849456,18004900,76528031,983268733,603,1872,2,1,4,4,691,1,978673676,931145042,313890707,71779392,71779392,2,1,3157572352,73389,73389,4,4,4,71763008,22,3,188783,41003565,2241053,56161,7469,978673676,2149188,15766117,15183
43047.94,33,262144,64,52154,3436328996,117,0,603,2267927,21,10993,54,69,264943,128516364,1208,1,68,8123,2709945,4,276973,603,32390,103963504,19513072,83283615,1060451159,603,1872,2,1,4,4,691,1,1055481868,1008037040,331916783,77756949,77756949,2,1,3421305756,73389,73389,4,4,4,77756949,22,3,193082,44243268,2312481,58480,8055,1055481868,2209447,17202733,15183
48087.63,33,262144,64,56692,3735589528,117,0,603,2353200,21,12228,54,69,264943,128769750,1208,1,68,8791,2897299,4,276973,603,35066,105237040,20982644,89672602,1148555202,603,1872,2,1,4,4,691,1,1143169036,1095483580,347521795,84549388,84565772,2,1,3720173072,73389,73389,4,4,4,84549388,22,3,195715,47395449,2407090,63822,8724,1143169036,2289378,18578272,15183
53126.55,33,262144,64,61680,4064341260,118,0,603,2451348,21,13644,54,69,264943,129035202,1208,1,68,9522,3051961,4,276973,603,37986,106623920,23571125,98206864,1244686812,603,1872,2,1,4,4,691,1,1238851596,1191587334,522683911,92021763,92038147,2,1,4048957572,73389,73389,4,4,4,92021763,22,3,208804,50196321,2524047,91554,9454,1238851596,2359794,21049696,15183
