timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
11080.19,253952,62,40686,2679745878,113,621,650850,23,7617,71,5694,130770455,1244,1,0,70,70,16,8,6020,621,0,0,0,7460110,8449197,807966878,0,621,3600,2,1,8,8,484,1,834918766,786665718,31669680,60590452,60590452,2,1,2665979888,73389,73389,8,8,8,60590452,10,3,406740,661322,1525782,6381,834918766,650850,5934779,43326
16107.73,253952,62,49729,3275573350,115,621,987541,23,10192,71,5694,131035907,1244,1,0,70,70,16,8,6020,621,0,0,0,10409578,14698136,983906431,0,621,3600,2,1,8,8,484,1,1008720238,960854462,61554311,74122304,74138688,2,1,3261381376,73389,73389,8,8,8,74122304,10,3,412483,1016205,1677022,7707,1008720238,987541,8733186,43326
21134.33,253952,62,59317,3907383394,116,621,1328481,23,12862,71,5694,131301359,1244,1,0,70,70,16,8,6020,621,0,0,0,13586794,22479529,1170858627,0,621,3600,2,1,8,8,484,1,1193400686,1145525163,104469706,88495773,88495773,2,1,3893093116,73389,73389,8,8,8,88479389,10,3,425028,1376239,1843658,9116,1193400686,1328481,11743951,43326
26166.10,253952,62,66671,4391977592,118,621,1688326,23,14975,71,5694,131554745,1244,1,0,70,70,16,8,6020,621,0,0,0,17051375,33140682,1314152181,0,621,3600,2,1,8,8,484,1,1334958446,1287170909,216666517,99508807,99508807,2,1,4377666612,73389,73389,8,8,8,99492423,10,3,445534,1737670,2011407,10196,1334958446,1688326,15040952,43326
31189.14,253952,62,75584,4979550836,119,621,1985760,23,17464,71,5694,131820197,1244,1,0,70,70,16,8,6020,621,0,0,0,19924800,41826843,1486803033,0,621,3600,2,1,8,8,484,1,1506793838,1458921206,287017204,112850084,112866468,2,1,4965403696,73389,73389,8,8,8,112850084,10,3,452705,2036734,2131326,11507,1506793838,1985760,17794628,43326
36217.84,253952,62,85011,5600290746,121,621,2358491,23,20143,71,5694,131820197,1244,1,0,70,70,16,8,6020,621,0,0,0,22368920,49473150,1668381596,0,621,3600,2,1,8,8,484,1,1688197486,1640507854,329113027,126949343,126965727,2,1,5585771092,73389,73389,8,8,8,126949343,10,3,458195,2424340,2239268,12891,1688197486,2358491,20130989,43326
41226.16,253952,62,100235,6603585302,123,621,2740932,23,24398,71,5694,132351101,1244,1,0,70,70,16,8,6020,621,0,0,0,27820706,61471405,1959286268,0,621,3600,2,1,8,8,484,1,1981012334,1933732329,426139935,149751492,149767876,2,1,6589065648,73389,73389,8,8,8,149751492,10,3,480526,2817420,2497268,15125,1981012334,2740932,25324978,43326
46238.11,253952,62,144260,9504469370,130,621,2992138,23,36799,71,5694,133412909,1244,1,0,70,70,16,8,6020,621,0,0,0,37136944,65231296,2804766612,0,621,3600,2,1,8,8,484,1,2828392814,2781692400,475061408,215700783,215700783,2,1,9490113556,73389,73389,8,8,8,215684399,10,3,524990,3075197,2847080,21590,2828392814,2992138,34291731,43326
51249.35,253952,62,163862,10795847262,134,621,3341671,23,42361,71,5694,134209265,1244,1,0,70,70,16,8,6020,621,0,0,0,43516958,75185646,3181778773,0,621,3600,2,1,8,8,484,1,3204689183,3159229090,554452176,245035386,245051770,2,1,10781556984,73389,73389,8,8,8,245035386,10,3,542057,3428021,3099209,24465,3204689183,3341671,40419809,43326
56273.41,253952,62,186504,12287942386,137,621,3678219,23,48700,71,5694,134740169,1244,1,0,70,70,16,8,6020,621,0,0,0,50874475,84620671,3617008037,0,621,3600,2,1,8,8,484,1,3640896799,3595393477,618797265,278940681,278957065,2,1,12273389964,73389,73389,8,8,8,278940681,10,3,566011,3777574,3396946,27793,3640896799,3678219,47479801,43326
