timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
79392.60,0,0,0,0,0,15,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
84424.09,6,253952,62,26034,1714203366,111,621,1901550,23,3506,51,68,327733,130251617,1244,1,0,67,70,2,5,355106,621,0,0,0,3879384,20667843,545159036,0,621,422,2,1,8,8,438,1,552720750,504404601,42947387,38646304,38646304,2,1,1699716480,73389,73389,8,8,8,38629920,11,3,96083,1942958,571028,4228,552720750,1901550,3309356,12168
89471.11,6,253952,62,32888,2165776178,112,621,2287338,23,5434,51,68,327733,130517069,1244,1,0,67,70,2,5,355106,621,0,0,0,5872971,29088631,676376564,0,621,422,2,1,8,8,438,1,684448110,636364350,86351727,48899641,48916025,2,1,2151584204,73389,73389,8,8,8,48899641,11,3,106606,2348733,684205,5233,684448110,2287338,5189920,12168
94518.18,6,253952,62,39863,2625544298,113,621,2577496,23,7393,51,68,327733,130770455,1244,1,0,67,70,2,5,355106,621,0,0,0,7487238,35986854,810999733,0,621,422,2,1,8,8,438,1,819059054,770795929,120015748,59355619,59372003,2,1,2611647236,73389,73389,8,8,8,59355619,11,3,110334,2640406,762334,6260,819059054,2577496,6726201,12168
99540.07,6,253952,62,52049,3428413226,115,621,2912366,23,10821,51,68,327733,131035907,1244,1,0,67,70,2,5,355106,621,0,0,0,11710146,49329383,1043565406,0,621,422,2,1,8,8,438,1,1053284718,1005542273,249452114,77597427,77613811,2,1,3414286788,73389,73389,8,8,8,77597427,11,3,124311,2983717,954750,8047,1053284718,2912366,10756880,12168
104573.16,6,253952,62,61885,4076476198,117,621,3443431,23,13618,51,68,327733,131301359,1244,1,0,67,70,2,5,355106,621,0,0,0,13960515,56418033,1230895672,0,621,422,2,1,8,8,438,1,1242552686,1194915449,323851406,92331344,92347728,2,1,4062579136,73389,73389,8,8,8,92331344,11,3,130843,3521791,1092368,9491,1242552686,3443431,12869797,12168
109615.18,6,253952,62,68238,4495203408,118,621,3756959,23,15400,51,68,327733,131554745,1244,1,0,67,70,2,5,355106,621,0,0,0,15911916,65012201,1354628330,0,621,422,2,1,8,8,438,1,1364973934,1317282114,372702665,101847401,101863785,2,1,4481285644,73389,73389,8,8,8,101847401,11,3,135652,3836575,1198310,10425,1364973934,3756959,14715399,12168
114670.15,6,253952,62,74145,4884713628,119,621,4074594,23,17071,51,68,327733,131820197,1244,1,0,67,70,2,5,355106,621,0,0,0,18331186,75789902,1469441488,0,621,422,2,1,8,8,438,1,1478744430,1431236410,429602105,110691714,110708098,2,1,4870435416,73389,73389,8,8,8,110691714,11,3,141639,4155439,1290879,11293,1478744430,4074594,17042226,12168
119693.14,6,253952,62,82029,5404066038,120,621,4408106,23,19274,51,68,327733,131820197,1244,1,0,67,70,2,5,355106,621,0,0,0,21361172,87601403,1620326368,0,621,422,2,1,8,8,438,1,1630656878,1583036768,530771163,122499372,122515756,2,1,5389972368,73389,73389,8,8,8,122499372,11,3,143893,4496950,1401477,12452,1630656878,4408106,19961778,12168
124713.42,6,253952,62,91483,6026828806,122,621,4750870,23,21964,51,68,327733,132085649,1244,1,0,67,70,2,5,355106,621,0,0,0,24873770,100080504,1803733163,0,621,422,2,1,8,8,438,1,1812584814,1765125881,609572622,136645624,136662008,2,1,6012407456,73389,73389,8,8,8,136645624,11,3,152374,4841698,1550701,13840,1812584814,4750870,23325326,12168
129731.71,6,253952,62,104458,6881671090,124,621,5110924,23,25612,51,68,327733,132351101,1244,1,0,67,70,2,5,355106,621,0,0,0,29105321,112353814,2052421958,0,621,422,2,1,8,8,438,1,2062276974,2014971424,693660664,156089497,156089497,2,1,6867216972,73389,73389,8,8,8,156073113,11,3,161950,5204292,1737983,15745,2062276974,5110924,27369773,12168
134735.86,6,253952,62,151919,10009064114,131,621,5344018,23,38887,51,68,327733,133412909,1244,1,0,67,70,2,5,355106,621,0,0,0,39671947,117388772,2965837318,0,621,422,2,1,8,8,438,1,2976110958,2929248853,750360005,227164377,227164377,2,1,9995232588,73389,73389,8,8,8,227164377,11,3,180645,5441935,2029747,22717,2976110958,5344018,37645035,12168
139739.65,6,253952,62,207700,13684476098,141,621,5560574,23,54646,51,68,327733,135271073,1244,1,0,67,70,2,5,355106,621,0,0,0,49872939,117389547,4036976596,0,621,422,2,1,8,8,438,1,4049186079,4003718938,777008816,310673381,310689765,2,1,13669628764,73389,73389,8,8,8,310673381,11,3,182663,5663339,2267957,30908,4049186079,5560574,47608257,12168
144743.17,6,253952,62,263487,17360441830,150,621,5770282,23,70357,51,68,327733,136598333,1244,1,0,67,70,2,5,355106,621,0,0,0,60107465,117392892,5111142277,0,621,422,2,1,8,8,438,1,5122403615,5078199823,796806110,394241888,394241888,2,1,17346643072,73389,73389,8,8,8,394241888,11,3,197790,5877976,2558787,39096,5122403615,5770282,57552389,12168
149746.51,6,253952,62,319980,21082167064,161,621,5973378,23,86365,51,68,327733,138203111,1244,1,0,67,70,2,5,355106,621,0,0,0,70200109,117393271,6198519386,0,621,422,2,1,8,8,438,1,6208567056,6166248514,816771949,478824044,478824044,2,1,21068257936,73389,73389,8,8,8,478824044,11,3,203402,6085686,2790526,47392,6208567056,5973378,67413735,12168
154749.84,6,253952,62,376426,24801315570,171,621,6165270,23,102343,51,68,327733,140302595,1244,1,0,67,70,2,5,355106,621,0,0,0,80351511,117393928,7285660016,0,621,422,2,1,8,8,438,1,7293704769,7253436085,851509535,563346697,563346697,2,1,24787254668,73389,73389,8,8,8,563346697,11,3,220951,6282064,3030601,55676,7293704769,6165270,77325493,12168
156976.66,6,253952,62,400935,26415466446,178,621,6254298,23,109410,51,75,327733,148439424,1251,1,1038,74,77,2,67,355119,621,319,1038,91,86190719,120736738,7767687640,8,621,422,2,1,8,8,438,1,7763456807,7725180361,4874000478,600037902,600037902,2,1,26401667688,73389,73389,8,8,8,600037902,11,3,235253,6372994,3252960,59276,7763456807,6254298,82942584,12168
