timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
72612.19,5,253952,62,25682,1690869242,111,621,3003743,29,3412,50,68,5968,484651,130251617,1244,1,0,67,70,5,510254,621,0,0,0,3900141,21082240,540430129,0,621,70327,2,1,8,8,629,1,545905006,497588991,38095975,38099599,38115983,2,1,1676382356,73389,73389,8,8,8,38099599,10,3,94605,3009437,578238,4176,545905006,3003743,3322347,2578
77649.12,5,253952,62,31374,2066023770,112,621,3327778,29,5020,50,68,5968,484651,130517069,1244,1,0,67,70,5,510254,621,0,0,0,5571303,29956824,649341011,0,621,70327,2,1,8,8,629,1,655612270,607217274,74453586,46642967,46642967,2,1,2051569652,73389,73389,8,8,8,46626583,10,3,99591,3334678,658022,5013,655612270,3327778,4913855,2578
82701.15,5,253952,62,37769,2487515558,113,621,3695602,29,6820,50,68,5968,484651,130770455,1244,1,0,67,70,5,510254,621,0,0,0,7386274,39201860,772940849,0,621,70327,2,1,8,8,629,1,778688878,730426750,114536145,56224560,56224560,2,1,2473159744,73389,73389,8,8,8,56208176,10,3,102048,3703839,748481,5952,778688878,3695602,6638500,2578
87740.23,5,253952,62,45018,2964975090,114,621,4058271,29,8851,50,68,5968,484651,130770455,1244,1,0,67,70,5,510254,621,0,0,0,9370928,48505997,912149860,0,621,70327,2,1,8,8,629,1,918018414,870047430,192842464,67059529,67075913,2,1,2950619276,73389,73389,8,8,8,67059529,10,3,106878,4084281,834436,7015,918018414,4058271,8537351,2578
92784.71,5,253952,62,52645,3467738134,115,621,4332844,29,10987,50,68,5968,484651,131035907,1244,1,0,67,70,5,510254,621,0,0,0,11664043,58216186,1059885499,0,621,70327,2,1,8,8,629,1,1064950126,1017072421,255908710,78488196,78504580,2,1,3453480624,73389,73389,8,8,8,78488196,10,3,112587,4360417,945193,8136,1064950126,4332844,10719868,2578
97808.08,5,253952,62,62824,4138545406,117,621,4714117,29,13869,50,68,5968,484651,131301359,1244,1,0,67,70,5,510254,621,0,0,0,14305041,66727348,1255746374,0,621,70327,2,1,8,8,629,1,1260771694,1213080083,301920060,93736050,93752434,2,1,4124386200,73389,73389,8,8,8,93736050,10,3,132691,4743803,1129889,9630,1260771694,4714117,13176345,2578
102853.10,5,253952,62,73712,4856071088,119,621,5149274,29,16952,50,68,5968,484651,131820197,1244,1,0,67,70,5,510254,621,0,0,0,18402545,80479375,1464188889,0,621,70327,2,1,8,8,629,1,1470355822,1422811322,406213986,110046705,110063089,2,1,4842055020,73389,73389,8,8,8,110046705,10,3,153201,5185116,1348102,11229,1470355822,5149274,17055349,2578
107926.84,5,253952,62,81772,5386957834,120,621,5588794,29,19204,50,68,5968,484651,131820197,1244,1,0,67,70,5,510254,621,0,0,0,20826385,89067992,1619527807,0,621,70327,2,1,8,8,629,1,1625676142,1578099237,487219834,122116507,122116507,2,1,5372405412,73389,73389,8,8,8,122100123,10,3,168109,5629420,1512864,12414,1625676142,5588794,19314583,2578
112961.86,5,253952,62,87654,5774564202,121,621,6058340,29,20857,50,68,5968,484651,131820197,1244,1,0,67,70,5,510254,621,0,0,0,23246754,100325090,1734469625,0,621,70327,2,1,8,8,629,1,1739053422,1691450943,550671832,130922019,130922019,2,1,5759847940,73389,73389,8,8,8,130905635,10,3,180976,6100219,1644477,13279,1739053422,6058340,21603467,2578
117985.45,5,253952,62,94203,6206148534,122,621,6472265,29,22705,50,68,5968,484651,132085649,1244,1,0,67,70,5,510254,621,0,0,0,24553102,106555967,1860953774,0,621,70327,2,1,8,8,629,1,1865144686,1817564503,579527447,140732988,140749372,2,1,6192251472,73389,73389,8,8,8,140732988,10,3,182186,6515483,1732860,14241,1865144686,6472265,22822019,2578
123029.41,5,253952,62,102805,6773074630,123,621,7004744,29,25108,50,68,5968,484651,132351101,1244,1,0,67,70,5,510254,621,0,0,0,28110471,121499359,2026661217,0,621,70327,2,1,8,8,629,1,2030557550,1983235919,668535690,153609480,153625864,2,1,6758817120,73389,73389,8,8,8,153609480,10,3,192920,7049790,1899088,15503,2030557550,7004744,26213328,2578
128053.21,5,253952,62,114694,7556479366,125,621,7403137,29,28457,50,68,5968,484651,132616553,1244,1,0,67,70,5,510254,621,0,0,0,31669811,133221949,2254115187,0,621,70327,2,1,8,8,629,1,2259671406,2212265858,777735732,171425304,171441688,2,1,7542713376,73389,73389,8,8,8,171425304,10,3,213117,7450416,2109325,17251,2259671406,7403137,29562608,2578
133057.13,5,253952,62,148166,9761780246,131,621,7748117,29,37864,50,68,5968,484651,133412909,1244,1,0,67,70,5,510254,621,0,0,0,39343075,139716933,2897831699,0,621,70327,2,1,8,8,629,1,2903497070,2856964558,825492549,221530884,221547268,2,1,9747358896,73389,73389,8,8,8,221530884,10,3,246427,7799397,2392161,22163,2903497070,7748117,36953330,2578
138061.23,5,253952,62,202367,13333114446,140,621,7955383,29,53137,50,68,5968,484651,135005621,1244,1,0,67,70,5,510254,621,0,0,0,49809800,139717248,3939866748,0,621,70327,2,1,8,8,629,1,3946163487,3900944610,850999347,302709486,302709486,2,1,13318496488,73389,73389,8,8,8,302693102,10,3,275961,8012017,2715086,30122,3946163487,7955383,47097570,2578
143065.02,5,253952,62,256728,16914841552,149,621,8154517,29,68459,50,68,5968,484651,136332881,1244,1,0,67,70,5,510254,621,0,0,0,60219318,139718869,4988336788,0,621,70327,2,1,8,8,629,1,4992380191,4947981945,870312949,384113590,384113590,2,1,16900997960,73389,73389,8,8,8,384113590,10,3,303521,8216382,3011476,38104,4992380191,8154517,57211127,2578
148068.55,5,253952,62,311210,20504644838,159,621,8352736,29,83863,50,68,5968,484651,137925593,1244,1,0,67,70,5,510254,621,0,0,0,70577202,139719839,6036927913,0,621,70327,2,1,8,8,629,1,6040421831,5997488732,890833566,465693600,465693600,2,1,20489797504,73389,73389,8,8,8,465677216,10,3,317653,8419648,3285149,46104,6040421831,8352736,67295773,2578
153072.06,5,253952,62,366739,24163017462,169,621,8540166,29,99556,50,68,5968,484651,139783757,1244,1,0,67,70,5,510254,621,0,0,0,80690568,139720092,7102101680,0,621,70327,2,1,8,8,629,1,7107527650,7066808211,921227782,548825772,548842156,2,1,24148333968,73389,73389,8,8,8,548825772,10,3,350276,8611712,3566418,54255,7107527650,8540166,77128294,2578
156298.57,5,253952,62,400935,26415466446,178,621,8661518,29,109410,50,75,5968,484651,148439424,1251,1,1038,74,77,67,510277,621,400,1038,95,90353286,148514675,7767924361,8,621,70327,2,1,8,8,629,1,7763456807,7725180361,5565015601,600037902,600037902,2,1,26401667688,73389,73389,8,8,8,600037902,10,3,409506,8736100,3881969,59276,7763456807,8661518,86476785,2578
