timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
97087.12,1,253952,62,28827,1898041770,111,621,1547483,15,4270,65,13697,130251617,1244,1,0,64,70,2,36374,621,0,0,0,4562015,19644699,596187900,0,621,13793,2,1,8,8,446,0,1,606460270,558176437,33285036,42809555,42825939,2,1,0,1883620420,73389,73389,8,8,8,42809555,10,3,181907,1580250,837625,4638,606460270,1547483,3725005,4557
102125.06,1,253952,62,39697,2614665322,113,621,1810083,15,7348,65,13697,130770455,1244,1,0,64,70,2,36374,621,0,0,0,6848706,26542761,805943670,0,621,13793,2,1,8,8,446,0,1,815651182,767584594,68011034,59109859,59126243,2,1,0,2600833796,73389,73389,8,8,8,59109859,10,3,202384,1844880,985776,6234,815651182,1810083,5863724,4557
107311.99,1,253952,62,48919,3222223738,115,621,2149881,15,9970,65,13697,131035907,1244,1,0,64,70,2,36374,621,0,0,0,10273745,38066382,983312356,0,621,13793,2,1,8,8,446,0,1,993122670,945263386,154546184,72920239,72920239,2,1,0,3207769620,73389,73389,8,8,8,72903855,10,3,231305,2203458,1170938,7588,993122670,2149881,9103759,4557
112356.21,1,253952,62,55200,3636244422,116,621,2521190,15,11740,65,13697,131301359,1244,1,0,64,70,2,36374,621,0,0,0,11953568,45644901,1104688925,0,621,13793,2,1,8,8,446,0,1,1113971054,1066267914,211562504,82321608,82337992,2,1,0,3622150752,73389,73389,8,8,8,82321608,10,3,238477,2603110,1264198,8510,1113971054,2521190,10690458,4557
117383.97,1,253952,62,61671,4062451494,117,621,2814979,15,13556,65,13697,131301359,1244,1,0,64,70,2,36374,621,0,0,0,13245694,51742996,1229734813,0,621,13793,2,1,8,8,446,0,1,1238358382,1190867775,242506931,92003664,92020048,2,1,0,4048161216,73389,73389,8,8,8,92003664,10,3,245804,2911239,1346824,9459,1238358382,2814979,11900087,4557
122413.17,1,253952,62,71036,4679634944,118,621,3192943,15,16168,65,13697,131554745,1244,1,0,64,70,2,36374,621,0,0,0,16993199,66319762,1409210137,0,621,13793,2,1,8,8,446,0,1,1419106670,1371227432,347078752,106033069,106049453,2,1,0,4665455036,73389,73389,8,8,8,106033069,10,3,263620,3295268,1519901,10838,1419106670,3192943,15474684,4557
127427.53,1,253952,62,83658,5511355086,120,621,3532834,15,19720,65,13697,131820197,1244,1,0,64,70,2,36374,621,0,0,0,21274613,80174131,1650692121,0,621,13793,2,1,8,8,446,0,1,1662114158,1614407473,432197521,124936270,124952654,2,1,0,5497195880,73389,73389,8,8,8,124936270,10,3,299602,3637492,1741848,12692,1662114158,3532834,19534331,4557
132432.01,1,253952,62,115439,7605569138,125,621,3862731,15,28609,65,13697,132616553,1244,1,0,64,70,2,36374,621,0,0,0,29340251,89948618,2260054285,0,621,13793,2,1,8,8,446,0,1,2273958254,2226616577,550637360,172529065,172545449,2,1,0,7591278860,73389,73389,8,8,8,172529065,10,3,340958,3972727,2087707,17360,2273958254,3862731,27254386,4557
137436.29,1,253952,62,174522,11498442802,136,621,4086528,15,45322,65,13697,134474717,1244,1,0,64,70,2,36374,621,0,0,0,39931432,89982558,3394237927,0,621,13793,2,1,8,8,446,0,1,3410210079,3364657998,569964050,261010169,261010169,2,1,0,11484447436,73389,73389,8,8,8,261010169,10,3,352964,4201721,2388686,26033,3410210079,4086528,37545014,4557
142440.18,1,253952,62,234164,15428280546,145,621,4313508,15,62083,65,13697,135801977,1244,1,0,64,70,2,36374,621,0,0,0,50524654,89984493,4542988400,0,621,13793,2,1,8,8,446,0,1,4558138655,4513411168,598796216,350304440,350326857,2,1,0,15413395360,73389,73389,8,8,8,350304440,10,3,365157,4433871,2651832,34791,4558138655,4313508,47875518,4557
