timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
205.53,0,0,0,0,9,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
5208.60,253952,62,77028,5074450272,119,0,621,446986,18,17803,71,123,131820197,1244,1,0,70,70,35,8,619,621,0,0,0,12959748,114185,1482184732,0,621,132,2,1,8,8,300,1,1534581102,1486697256,23033441,115018805,115018805,2,1,5060827420,73389,73389,8,8,8,115018805,4,3,415215,454397,2051396,11719,1534581102,446986,10909055,2132
10282.30,253952,62,105767,6967988618,124,0,621,736135,18,25951,71,123,132351101,1244,1,0,70,70,35,8,619,621,0,0,0,19560625,5676754,2037761499,0,621,132,2,1,8,8,300,1,2087704942,2040226738,87498887,158034875,158051259,2,1,6953534500,73389,73389,8,8,8,158034875,4,3,481613,754260,2454186,15939,2087704942,736135,17107376,2132
15299.36,253952,62,115964,7640240990,126,0,621,1147991,18,28861,71,123,132882005,1244,1,0,70,70,35,8,619,621,0,0,0,23112997,13399481,2238090919,0,621,132,2,1,8,8,300,1,2283788654,2236741458,134019873,173329722,173329722,2,1,7625786872,73389,73389,8,8,8,173313338,4,3,498134,1174293,2678519,17435,2283788654,1147991,20435608,2132
20336.96,253952,62,125658,8278732398,127,0,621,1476077,18,31555,71,123,132882005,1244,1,0,70,70,35,8,619,621,0,0,0,26058477,20444471,2425307373,0,621,132,2,1,8,8,300,1,2470041966,2423419899,165832021,187836422,187852806,2,1,8264802568,73389,73389,8,8,8,187836422,4,3,503782,1513270,2825114,18856,2470041966,1476077,23234675,2132
25374.72,253952,62,133384,8787718054,128,0,621,1907717,18,33716,71,123,132882005,1244,1,0,70,70,35,8,619,621,0,0,0,28205795,28174505,2573308988,0,621,132,2,1,8,8,300,1,2619201902,2572163486,236125600,199406512,199422896,2,1,8773886528,73389,73389,8,8,8,199406512,4,3,516739,1956393,2957661,19994,2619201902,1907717,25249608,2132
30406.56,253952,62,140449,9253384414,130,0,621,2206642,18,35715,71,123,133147457,1244,1,0,70,70,35,8,619,621,0,0,0,30452542,36583670,2710958813,0,621,132,2,1,8,8,300,1,2755123566,2708248592,278741100,209985370,210001754,2,1,9239356280,73389,73389,8,8,8,209985370,4,3,530867,2256922,3106522,21031,2755123566,2206642,27347650,2132
35422.90,253952,62,150462,9913047258,131,0,621,2582562,18,38545,71,123,133412909,1244,1,0,70,70,35,8,619,621,0,0,0,32910231,44432302,2903411142,0,621,132,2,1,8,8,300,1,2947930478,2901167084,321333277,224973239,224989623,2,1,9898822516,73389,73389,8,8,8,224973239,4,3,545143,2634861,3261476,22502,2947930478,2582562,29650550,2132
40440.13,253952,62,164151,10815052618,134,0,621,2882579,18,42439,71,123,134209265,1244,1,0,70,70,35,8,619,621,0,0,0,37418133,55680042,3163496163,0,621,132,2,1,8,8,300,1,3210456351,3164872044,411351165,245467403,245483787,2,1,10800565732,73389,73389,8,8,8,245467403,4,3,562885,2940961,3469037,24509,3210456351,2882579,33950080,2132
45458.47,253952,62,207544,13674252482,141,0,621,3154416,18,54652,71,123,135271073,1244,1,0,70,70,35,8,619,621,0,0,0,48076724,63215962,3998755892,0,621,132,2,1,8,8,300,1,4046040351,4000715949,516026562,310444005,310460389,2,1,13659536220,73389,73389,8,8,8,310444005,4,3,617935,3218265,3885290,30884,4046040351,3154416,44193752,2132
