timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
79595.21,2,253952,62,25979,1710598886,111,621,1944766,2,3493,56,65,144182,130251617,1244,1,0,64,70,1,2,173591,621,0,0,0,3740799,22251886,544366472,0,621,21445,2,1,8,8,18680,1,551803246,503330943,43463951,38564384,38564384,2,1,1696832896,73389,73389,8,8,8,38564384,12,1,3,57102,1987039,459224,4221,551803246,1944766,3282325,177506
84627.13,2,253952,62,32966,2170887986,112,621,2533449,2,5455,56,65,144182,130517069,1244,1,0,64,70,1,2,173591,621,0,0,0,5288328,29342858,678986480,0,621,21445,2,1,8,8,18680,1,686283118,637889190,81348157,49014329,49030713,2,1,2156630476,73389,73389,8,8,8,49014329,12,1,3,59214,2577247,567627,5247,686283118,2533449,4721595,177506
89678.13,2,253952,62,40197,2647445388,113,621,2795434,2,7477,56,65,144182,130770455,1244,1,0,64,70,1,2,173591,621,0,0,0,7703841,40341931,818981706,0,621,21445,2,1,8,8,18680,1,825612654,777194453,150728626,59847139,59863523,2,1,2633274116,73389,73389,8,8,8,59847139,12,1,3,60711,2862723,658083,6310,825612654,2795434,7046802,177506
94715.23,2,253952,62,48331,3183423118,115,621,3202162,2,9807,56,65,144182,131035907,1244,1,0,64,70,1,2,173591,621,0,0,0,10017777,50454312,975501287,0,621,21445,2,1,8,8,18680,1,981719406,933902510,205672936,72029470,72045854,2,1,3169296680,73389,73389,8,8,8,72029470,12,1,3,64527,3271113,764840,7501,981719406,3202162,9254131,177506
99730.11,2,253952,62,59745,3935698254,116,621,3677292,2,12977,56,65,144182,131301359,1244,1,0,64,70,1,2,173591,621,0,0,0,13184916,60358525,1194695085,0,621,21445,2,1,8,8,18680,1,1201658222,1153824656,292091939,89124398,89140782,2,1,3921473512,73389,73389,8,8,8,89124398,12,1,3,74872,3763599,931371,9179,1201658222,3677292,12254911,177506
104751.73,2,253952,62,68692,4525222204,118,621,4056544,2,15527,56,65,144182,131554745,1244,1,0,64,70,1,2,173591,621,0,0,0,16450728,70691567,1368005765,0,621,21445,2,1,8,8,18680,1,1373886830,1326117455,349947358,102525178,102541562,2,1,4511107832,73389,73389,8,8,8,102525178,12,1,3,81405,4144665,1051577,10493,1373886830,4056544,15400687,177506
109801.16,2,253952,62,76003,5007010420,119,621,4448196,2,17578,56,65,144182,131820197,1244,1,0,64,70,1,2,173591,621,0,0,0,18989285,80606113,1507741779,0,621,21445,2,1,8,8,18680,1,1514658158,1466961304,412033720,113472676,113489060,2,1,4992797744,73389,73389,8,8,8,113472676,12,1,3,84988,4537830,1136121,11567,1514658158,4448196,17854845,177506
114848.01,2,253952,62,82129,5410619638,120,621,4795640,2,19297,56,65,144182,131820197,1244,1,0,64,70,1,2,173591,621,0,0,0,21101214,90793935,1625307115,0,621,21445,2,1,8,8,18680,1,1632491886,1584954153,512931363,122646828,122663212,2,1,5396460432,73389,73389,8,8,8,122646828,12,1,3,92549,4886581,1222999,12466,1632491886,4795640,19880028,177506
119872.62,2,253952,62,89613,5903480130,121,621,5100918,2,21397,56,65,144182,131820197,1244,1,0,64,70,1,2,173591,621,0,0,0,23485860,101677126,1770026313,0,621,21445,2,1,8,8,18680,1,1776671086,1729148874,614650545,133850437,133850437,2,1,5888698332,73389,73389,8,8,8,133834053,12,1,3,94856,5193352,1321853,13566,1776671086,5100918,22165975,177506
124891.40,2,253952,62,99080,6527625770,123,621,5393789,2,24093,56,65,144182,132351101,1244,1,0,64,70,1,2,173591,621,0,0,0,27748488,118129052,1951993860,0,621,21445,2,1,8,8,18680,1,1958992238,1911475025,725145621,148041523,148041523,2,1,6513827012,73389,73389,8,8,8,148041523,12,1,3,102519,5498088,1455881,14957,1958992238,5393789,26294762,177506
129914.14,2,253952,62,113296,7464329134,125,621,5787512,2,28074,56,65,144182,132616553,1244,1,0,64,70,1,2,173591,621,0,0,0,31806355,128417062,2225327421,0,621,21445,2,1,8,8,18680,1,2232408430,2185297486,840413704,169332470,169332470,2,1,7449907784,73389,73389,8,8,8,169316086,12,1,3,117633,5894364,1662076,17043,2232408430,5787512,30146619,177506
134918.21,2,253952,62,161402,10633832346,133,621,6022648,2,41581,56,65,144182,133943813,1244,1,0,64,70,1,2,173591,621,0,0,0,42355941,132945113,3150398130,0,621,21445,2,1,8,8,18680,1,3157896479,3111845988,888452266,241363655,241363655,2,1,10619279924,73389,73389,8,8,8,241347271,12,1,3,136627,6134150,1941330,24108,3157896479,6022648,40417335,177506
139922.10,2,253952,62,216720,14278796242,142,621,6203234,2,57160,56,65,144182,135271073,1244,1,0,64,70,1,2,173591,621,0,0,0,52565929,132946306,4215778900,0,621,21445,2,1,8,8,18680,1,4222594335,4177445336,914603738,324197041,324197041,2,1,14264669804,73389,73389,8,8,8,324197041,12,1,3,144068,6319575,2167281,32231,4222594335,6203234,50401815,177506
144925.84,2,253952,62,271706,17902002186,151,621,6392472,2,72655,56,65,144182,136863785,1244,1,0,64,70,1,2,173591,621,0,0,0,62896232,132947842,5274602709,0,621,21445,2,1,8,8,18680,1,5280738591,5236519212,934712524,406538907,406555291,2,1,17887711908,73389,73389,8,8,8,406538907,12,1,3,157246,6513921,2418541,40304,5280738591,6392472,60481291,177506
149929.27,2,253952,62,325926,21474221122,162,621,6582027,2,88042,56,65,144182,138721949,1244,1,0,64,70,1,2,173591,621,0,0,0,73081025,132948194,6317271530,0,621,21445,2,1,8,8,18680,1,6322992912,6280825268,955204162,487733893,487733893,2,1,21459570396,73389,73389,8,8,8,487717509,12,1,3,171647,6708501,2706188,48265,6322992912,6582027,70378857,177506
154932.72,2,253952,62,380505,25070229626,172,621,6775836,2,103510,56,65,144182,140568047,1244,1,0,64,70,1,2,173591,621,0,0,0,83181025,132948672,7366386598,0,621,21445,2,1,8,8,18680,1,7371823681,7331995789,973912434,569444975,569461359,2,1,25055578900,73389,73389,8,8,8,569444975,12,1,3,185181,6907247,2974235,56272,7371823681,6775836,80211240,177506
156869.69,2,253952,62,400935,26415466446,178,621,6848339,2,109410,56,72,144182,148439424,1251,1,1038,71,77,1,64,173605,621,351,1038,77,88663151,137589705,7767806578,8,621,21445,2,1,8,8,18680,1,7763456807,7725180361,5177795673,600037902,600037902,2,1,26401667688,73389,73389,8,8,8,600037902,12,1,3,197045,6981625,3116027,59276,7763456807,6848339,85551800,177506
