timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
54757.45,1,253952,62,39515,2602737770,113,0,621,2331729,4,7255,47,57,1,333974,130770455,1244,1,56,59,3,5,338619,621,7983364,13433604,797423248,621,608,2,1,8,8,6519,1,812112238,764126884,45845230,58831331,58847715,2,1,2588578564,73389,73389,8,8,8,58831331,10,3,387139,2353411,1430139,6207,812112238,2331729,6553723,12570
59782.80,1,253952,62,57052,3758147998,116,0,621,2656749,4,12222,47,57,1,333974,131301359,1244,1,56,59,3,5,338619,621,13211953,21558474,1137482533,621,608,2,1,8,8,6519,1,1149753710,1101916575,102949586,85102570,85102570,2,1,3744513080,73389,73389,8,8,8,85102570,10,3,425195,2685227,1718981,8783,1149753710,2656749,11493657,12570
64796.92,1,253952,62,65389,4307441602,117,0,621,2961674,4,14572,47,57,1,333974,131301359,1244,1,56,59,3,5,338619,621,15770531,29647957,1299125296,621,608,2,1,8,8,6519,1,1310316910,1262474562,135942725,97588005,97588005,2,1,4293151324,73389,73389,8,8,8,97571621,10,3,437195,2991789,1871357,10008,1310316910,2961674,13900027,12570
69833.93,1,253952,62,72002,4743208172,118,0,621,3350645,4,16432,47,57,1,333974,131554745,1244,1,56,59,3,5,338619,621,17265955,36173941,1427455801,621,608,2,1,8,8,6519,1,1437456750,1389817197,169720159,107480894,107497278,2,1,4729159336,73389,73389,8,8,8,107480894,10,3,446457,3382096,1998141,10978,1437456750,3350645,15268804,12570
74914.33,1,253952,62,78679,5183193178,120,0,621,3634947,4,18325,47,57,1,333974,131820197,1244,1,56,59,3,5,338619,621,19357454,45873891,1555124383,621,608,2,1,8,8,6519,1,1566300526,1518485999,227820832,117488471,117488471,2,1,5168771828,73389,73389,8,8,8,117472087,10,3,452416,3667753,2101155,11961,1566300526,3634947,17257427,12570
79950.46,1,253952,62,85428,5627884710,121,2,621,3959960,4,20257,47,57,1,333974,131820197,1244,1,56,59,3,5,338619,621,20774373,52685731,1685941317,621,608,2,1,8,8,6519,1,1696192878,1648554609,313456045,127577968,127594352,2,1,5613430592,73389,73389,8,8,8,127577968,10,3,456404,3994021,2190795,12952,1696192878,3959960,18584851,12570
84965.74,1,253952,62,92311,6081358066,122,2,621,4276332,4,22189,47,57,1,333974,132085649,1244,1,56,59,3,5,338619,621,23994882,67169850,1820432019,621,608,2,1,8,8,6519,1,1828575598,1781095522,433942246,137896841,137896841,2,1,6066740108,73389,73389,8,8,8,137880457,10,3,464400,4311788,2303069,13962,1828575598,4276332,21693231,12570
90012.16,1,253952,62,98399,6482730302,123,2,621,4762252,4,23905,47,57,1,333974,132351101,1244,1,56,59,3,5,338619,621,25862349,76103774,1937611415,621,608,2,1,8,8,6519,1,1945885038,1898368990,528887528,147019682,147019682,2,1,6468145112,73389,73389,8,8,8,147003298,10,3,468484,4799067,2402631,14857,1945885038,4762252,23461276,12570
95045.26,1,253952,62,106491,7015702134,124,2,621,5186433,4,26163,47,57,1,333974,132351101,1244,1,56,59,3,5,338619,621,27822522,84141754,2093354087,621,608,2,1,8,8,6519,1,2101336430,2054178620,577790209,159122252,159138636,2,1,7001379088,73389,73389,8,8,8,159122252,10,3,479919,5224975,2536470,16043,2101336430,5186433,25287778,12570
100089.18,1,253952,62,117774,7759392054,126,2,621,5667280,4,29350,47,57,1,333974,132882005,1244,1,56,59,3,5,338619,621,32098609,97880580,2310322083,621,608,2,1,8,8,6519,1,2318784878,2271557339,678226958,176028764,176045148,2,1,7745265616,73389,73389,8,8,8,176028764,10,3,488709,5708025,2699682,17702,2318784878,5667280,29400837,12570
105113.05,1,253952,62,126665,8345258054,127,2,621,6052262,4,31834,47,57,1,333974,132882005,1244,1,56,59,3,5,338619,621,34548068,105965332,2483368879,621,608,2,1,8,8,6519,1,2489833838,2442850947,725806500,189339432,189355816,2,1,8330935008,73389,73389,8,8,8,189339432,10,3,505025,6106821,2853483,19007,2489833838,6052262,31696658,12570
110166.20,1,253952,62,133039,8765108134,128,2,621,6467422,4,33628,47,57,1,333974,132882005,1244,1,56,59,3,5,338619,621,36482134,113991397,2604872184,621,608,2,1,8,8,6519,1,2612517230,2565560701,767383109,198882224,198898608,2,1,8750817856,73389,73389,8,8,8,198882224,10,3,517568,6523269,2982214,19943,2612517230,6467422,33502124,12570
115199.65,1,253952,62,139118,9165625094,129,2,621,7050174,4,35337,47,57,1,333974,133147457,1244,1,56,59,3,5,338619,621,39148879,126146960,2721654455,621,608,2,1,8,8,6519,1,2729564526,2682614949,895829922,207999032,207999032,2,1,9151236512,73389,73389,8,8,8,207982648,10,3,524698,7107362,3114223,20836,2729564526,7050174,36036877,12570
120236.17,1,253952,62,148100,9757454870,131,2,621,7403901,4,37900,47,57,1,333974,133412909,1244,1,56,59,3,5,338619,621,41866904,136855981,2893515874,621,608,2,1,8,8,6519,1,2902186350,2855685418,982299457,221432580,221448964,2,1,9743033520,73389,73389,8,8,8,221432580,10,3,530600,7480929,3241697,22153,2902186350,7403901,38627597,12570
125257.61,1,253952,62,157521,10378320402,132,2,621,7751537,4,40525,47,57,1,333974,133678361,1244,1,56,59,3,5,338619,621,44893020,147746782,3075387377,621,608,2,1,8,8,6519,1,3083753560,3037172696,1098881038,235543905,235560289,2,1,10363931820,73389,73389,8,8,8,235543905,10,3,537964,7830416,3375753,23539,3083753560,7751537,41519833,12570
130281.14,1,253952,62,171878,11324103810,135,2,621,8076145,4,44602,47,57,1,333974,134209265,1244,1,56,59,3,5,338619,621,50287799,163837982,3349331176,621,608,2,1,8,8,6519,1,3359091999,3313680488,1262868086,257045685,257062069,2,1,11310010140,73389,73389,8,8,8,257045685,10,3,545992,8165835,3552727,25643,3359091999,8076145,46737941,12570
135284.79,1,253952,62,222203,14640253746,143,2,621,8313300,4,58711,47,57,1,333974,135536525,1244,1,56,59,3,5,338619,621,61337775,167127365,4319001852,621,608,2,1,8,8,6519,1,4327976223,4283109313,1300535170,332412729,332412729,2,1,14626160076,73389,73389,8,8,8,332412729,10,3,558956,8408057,3853419,33035,4327976223,8313300,57487640,12570
140289.21,1,253952,62,276510,18218429842,152,2,621,8498885,4,74017,47,57,1,333974,136863785,1244,1,56,59,3,5,338619,621,71631704,167130251,5363402249,621,608,2,1,8,8,6519,1,5373275423,5329118459,1327923886,413734913,413734913,2,1,18203615276,73389,73389,8,8,8,413718529,10,3,569462,8598498,4071341,41010,5373275423,8498885,67564071,12570
145292.65,1,253952,62,330986,21807691446,162,2,621,8677714,4,89422,47,57,1,333974,138721949,1244,1,56,59,3,5,338619,621,81823034,167132888,6413151832,621,608,2,1,8,8,6519,1,6420510480,6378302299,1345534498,495312764,495312764,2,1,21793761616,73389,73389,8,8,8,495312764,10,3,575536,8782124,4272908,49009,6420510480,8677714,77554269,12570
