timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
42952.57,0,0,0,0,26,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
47971.55,253952,62,52944,3487333398,115,621,469760,11,11066,71,754,131035907,1244,1,0,70,70,20,8,1836,621,0,0,0,9089821,4822709,1022537164,0,621,265,2,1,8,8,308,1,1070717294,1022793674,39029762,78930564,78946948,2,1,3472944816,73389,73389,8,8,8,78930564,4,3,316464,480713,1314298,8180,1070717294,469760,7775937,25584
52997.18,253952,62,68058,4483406928,118,621,841447,11,15320,71,754,131554745,1244,1,0,70,70,20,8,1836,621,0,0,0,13497864,11264494,1313307719,0,621,265,2,1,8,8,308,1,1361434990,1313906648,72705674,101585257,101601641,2,1,4469751308,73389,73389,8,8,8,101585257,4,3,325886,855315,1542060,10398,1361434990,841447,11956403,25584
58018.19,253952,62,89553,5899547970,121,621,1142113,11,21382,71,754,131820197,1244,1,0,70,70,20,8,1836,621,0,0,0,20624476,20939547,1726513041,0,621,265,2,1,8,8,308,1,1775753582,1727959192,140706405,133752133,133768517,2,1,5885093852,73389,73389,8,8,8,133752133,4,3,361494,1162534,1841037,13559,1775753582,1142113,18784244,25584
63056.11,253952,62,100325,6609495608,123,621,1399683,11,24430,71,754,132351101,1244,1,0,70,70,20,8,1836,621,0,0,0,22704814,26056116,1934171721,0,621,265,2,1,8,8,308,1,1983109486,1935451033,160717379,149882564,149898948,2,1,6594832816,73389,73389,8,8,8,149882564,4,3,368553,1450240,1968987,15141,1983109486,1399683,20736806,25584
68237.06,253952,62,107308,7069510498,124,621,1747053,11,26389,71,754,132351101,1244,1,0,70,70,20,8,1836,621,0,0,0,25175741,34382847,2068404974,0,621,265,2,1,8,8,308,1,2117065070,2069902312,203954055,160357085,160357085,2,1,7054990844,73389,73389,8,8,8,160340701,4,3,372032,1798999,2063204,16163,2117065070,1747053,23113656,25584
73298.19,253952,62,113137,7453908910,125,621,2018791,11,28034,71,754,132616553,1244,1,0,70,70,20,8,1836,621,0,0,0,27573833,43565879,2184663112,0,621,265,2,1,8,8,308,1,2229524846,2182233790,266727919,169086710,169103094,2,1,7439815240,73389,73389,8,8,8,169086710,4,3,379773,2071925,2158456,17021,2229524846,2018791,25416629,25584
78340.15,253952,62,119968,7903974394,126,621,2540145,11,29949,71,754,132882005,1244,1,0,70,70,20,8,1836,621,0,0,0,29624387,53419328,2319539510,0,621,265,2,1,8,8,308,1,2360990062,2313839090,382480558,179307279,179323663,2,1,7889520276,73389,73389,8,8,8,179307279,4,3,386564,2594690,2281024,18024,2360990062,2540145,27344755,25584
83362.26,253952,62,126098,8307833690,127,621,3032468,11,31679,71,754,132882005,1244,1,0,70,70,20,8,1836,621,0,0,0,31457761,62795423,2436587714,0,621,265,2,1,8,8,308,1,2478823790,2431918810,437879466,188497815,188514199,2,1,8293903860,73389,73389,8,8,8,188497815,4,3,388281,3088325,2363119,18923,2478823790,3032468,29096173,25584
88403.09,253952,62,132468,8727421626,128,621,3474983,11,33470,71,754,132882005,1244,1,0,70,70,20,8,1836,621,0,0,0,33285175,71452928,2560713746,0,621,265,2,1,8,8,308,1,2601507182,2554544525,472946456,198040607,198040607,2,1,8713065812,73389,73389,8,8,8,198024223,4,3,390474,3532110,2453891,19859,2601507182,3474983,30832958,25584
93439.17,253952,62,139825,9212224498,129,621,3819809,11,35536,71,754,133147457,1244,1,0,70,70,20,8,1836,621,0,0,0,36599940,85247383,2704125002,0,621,265,2,1,8,8,308,1,2743196014,2696245818,625956374,209053641,209070025,2,1,9198360204,73389,73389,8,8,8,209053641,4,3,401064,3893456,2583948,20940,2743196014,3819809,34017804,25584
98467.10,253952,62,149597,9856093166,131,621,4195111,11,38308,71,754,133412909,1244,1,0,70,70,20,8,1836,621,0,0,0,39886989,96124557,2893299862,0,621,265,2,1,8,8,308,1,2931415406,2884512652,818031111,223689254,223689254,2,1,9842327176,73389,73389,8,8,8,223689254,4,3,413758,4270677,2740678,22376,2931415406,4195111,37148293,25584
103505.08,253952,62,158396,10435929854,132,621,4591464,11,40762,71,754,133678361,1244,1,0,70,70,20,8,1836,621,0,0,0,42206483,103774306,3063626015,0,621,265,2,1,8,8,308,1,3100530776,3054070434,905791284,236860658,236860658,2,1,10421868952,73389,73389,8,8,8,236860658,4,3,421314,4675903,2865452,23667,3100530776,4591464,39343174,25584
108561.15,253952,62,165934,10932434210,134,621,5064076,11,42925,71,754,134209265,1244,1,0,70,70,20,8,1836,621,0,0,0,44037228,110901026,3207125745,0,621,265,2,1,8,8,308,1,3244666143,3199175795,950181557,248133677,248150061,2,1,10917881788,73389,73389,8,8,8,248133677,4,3,432647,5150012,3008348,24770,3244666143,5064076,41031174,25584
113607.08,253952,62,172062,11336162434,135,621,5396450,11,44650,71,754,134209265,1244,1,0,70,70,20,8,1836,621,0,0,0,45774150,119148679,3325616838,0,621,265,2,1,8,8,308,1,3362630943,3317216087,1060383815,257307829,257324213,2,1,11321544476,73389,73389,8,8,8,257307829,4,3,435926,5483525,3098904,25670,3362630943,5396450,42677131,25584
118630.16,253952,62,179251,11809955258,136,621,5807513,11,46664,71,754,134474717,1244,1,0,70,70,20,8,1836,621,0,0,0,47927302,128574630,3463777552,0,621,265,2,1,8,8,308,1,3501305119,3455714146,1159170318,268091487,268091487,2,1,11795304532,73389,73389,8,8,8,268075103,4,3,448360,5909092,3226221,26728,3501305119,5807513,44703664,25584
123661.86,253952,62,188163,12397197514,138,621,6148679,11,49207,71,754,134740169,1244,1,0,70,70,20,8,1836,621,0,0,0,51609588,143168784,3636693058,0,621,265,2,1,8,8,308,1,3672616223,3627298049,1242885353,281426731,281443115,2,1,12382776164,73389,73389,8,8,8,281426731,4,3,459430,6251935,3385768,28035,3672616223,6148679,48226562,25584
128684.86,253952,62,200858,13233689718,140,621,6490943,11,52772,71,754,135005621,1244,1,0,70,70,20,8,1836,621,0,0,0,56723923,158936965,3881058381,0,621,265,2,1,8,8,308,1,3916934431,3871840827,1399663212,300452812,300452812,2,1,13219923728,73389,73389,8,8,8,300452812,4,3,483119,6596592,3617098,29899,3916934431,6490943,53109744,25584
133690.16,253952,62,239746,15796057190,146,621,6745487,11,63661,71,754,136067429,1244,1,0,70,70,20,8,1836,621,0,0,0,65876987,165941633,4626519479,0,621,265,2,1,8,8,308,1,4665486623,4620959781,1450290734,358683968,358683968,2,1,15782094592,73389,73389,8,8,8,358683968,4,3,509452,6857057,3890506,35610,4665486623,6745487,61989743,25584
138694.73,253952,62,293295,19324556998,155,621,6935097,11,78762,71,754,137394689,1244,1,0,70,70,20,8,1836,621,0,0,0,76032692,165942007,5655845459,0,621,265,2,1,8,8,308,1,5696236831,5652478493,1470016082,438875656,438892040,2,1,19310528864,73389,73389,8,8,8,438875656,4,3,521720,7051433,4145491,43474,5696236831,6935097,71890876,25584
143698.86,253952,62,346303,22816556562,166,621,7126815,11,93799,71,754,139252853,1244,1,0,70,70,20,8,1836,621,0,0,0,86090937,165944054,6674730165,0,621,265,2,1,8,8,308,1,6714573794,6673271970,1492659076,518237793,518237793,2,1,22802462892,73389,73389,8,8,8,518237793,4,3,528581,7247885,4409724,51257,6714573794,7126815,81685307,25584
148702.38,253952,62,400313,26375009630,176,621,7305498,11,109097,71,754,141098951,1244,1,0,70,70,20,8,1836,621,0,0,0,96088920,165944585,7714865022,0,621,265,2,1,8,8,308,1,7752627412,7713404100,1521138619,599115450,599115450,2,1,26361079800,73389,73389,8,8,8,599115450,4,3,541650,7431153,4631426,59182,7752627412,7305498,91462026,25584
148834.27,253952,62,400935,26415466446,178,621,7307907,11,109410,78,754,148439424,1251,1,1039,77,77,20,70,1858,621,470,1039,99,99650779,177106199,7767939362,8,621,265,2,1,8,8,308,1,7763456807,7725180361,6670004327,600037902,600037902,2,1,26401667688,73389,73389,8,8,8,600037902,4,3,584569,7433621,4873689,59276,7763456807,7307907,94781695,25584
