timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
18093.21,3,253952,62,27901,1837089982,111,0,621,3133072,30,4016,53,64,1,346556,130251617,1244,1,63,67,10,4,356928,621,5291848,15666714,582301182,621,4167,2,1,8,8,437,1,588765550,540346007,36604856,41427266,41443650,2,1,1822799704,73389,73389,8,8,8,41427266,10,3,278649,3146807,1226270,4503,588765550,3133072,4066386,3907
23136.26,3,253952,62,34928,2300265974,112,0,621,3587018,30,5989,53,64,1,346556,130517069,1244,1,63,67,10,4,356928,621,6882840,21229309,717188377,621,4167,2,1,8,8,437,1,724031854,675717603,57204714,51965164,51965164,2,1,2285746320,73389,73389,8,8,8,51948780,10,3,291966,3602251,1349498,5535,724031854,3587018,5534298,3907
28175.42,3,253952,62,42149,2776155950,114,0,621,3886575,30,8068,53,64,1,346556,130770455,1244,1,63,67,10,4,356928,621,8811290,29028111,855620916,621,4167,2,1,8,8,437,1,862837102,814864841,117548960,62781590,62781590,2,1,2761403612,73389,73389,8,8,8,62759173,10,3,310696,3915588,1488931,6594,862837102,3886575,7323395,3907
33206.87,3,253952,62,50801,3346358846,115,0,621,4198086,30,10475,53,64,1,346556,131035907,1244,1,63,67,10,4,356928,621,11349593,37605925,1021582506,621,4167,2,1,8,8,437,1,1029691758,981585803,182117791,75740002,75740002,2,1,3331839192,73389,73389,8,8,8,75723618,10,3,339549,4228922,1679443,7867,1029691758,4198086,9671351,3907
38235.20,3,253952,62,63047,4153159934,117,0,621,4587214,30,13935,53,64,1,346556,131301359,1244,1,63,67,10,4,356928,621,15907073,51075491,1257822621,621,4167,2,1,8,8,437,1,1265097070,1217397872,314958673,94080114,94080114,2,1,4139525016,73389,73389,8,8,8,94080114,10,3,371024,4620413,1939935,9663,1265097070,4587214,13968527,3907
43238.34,3,253952,62,96839,6379697786,122,0,621,4935959,30,23371,53,64,1,346556,132085649,1244,1,63,67,10,4,356928,621,24498999,61264597,1905852185,621,4167,2,1,8,8,437,1,1915607406,1868306298,397589870,144666863,144683247,2,1,6365341972,73389,73389,8,8,8,144666863,10,3,430451,4972953,2303551,14626,1915607406,4935959,22197129,3907
48258.58,3,253952,62,127443,8396510514,127,0,621,5211859,30,32047,53,64,1,346556,132882005,1244,1,63,67,10,4,356928,621,31631451,66657886,2494220481,621,4167,2,1,8,8,437,1,2504907118,2457815729,444427323,190508729,190525113,2,1,8382384076,73389,73389,8,8,8,190508729,10,3,461694,5256246,2617122,19122,2504907118,5211896,29016266,3907
53273.93,3,253952,62,143996,9487167866,130,0,621,5526021,30,36713,53,64,1,346556,133412909,1244,1,63,67,10,4,356928,621,37116076,76411252,2814085937,621,4167,2,1,8,8,437,1,2823412078,2776629648,518068868,215307567,215307567,2,1,9472812052,73389,73389,8,8,8,215291183,10,3,498669,5582291,2883977,21552,2823412078,5526021,34234312,3907
58300.70,3,253952,62,163779,10790407774,134,0,621,5846871,30,42336,53,64,1,346556,134209265,1244,1,63,67,10,4,356928,621,43165335,85031576,3194639074,621,4167,2,1,8,8,437,1,3203116319,3157663143,570592820,244920698,244920698,2,1,10775789816,73389,73389,8,8,8,244904314,10,3,526117,5911813,3158934,24453,3203116319,5846871,40008808,3907
63916.21,3,253952,62,174582,11502374962,136,0,621,6404758,30,45394,53,64,1,346556,134474717,1244,1,63,67,10,4,356928,621,46610206,93792905,3404671759,621,4167,2,1,8,8,437,1,3411389727,3365772058,640574842,261092089,261108473,2,1,11488051916,73389,73389,8,8,8,261092089,10,3,540282,6471860,3333704,26042,3411389727,6404758,43278111,3907
68949.33,3,253952,62,180734,11907676050,137,0,621,6747127,30,47081,53,64,1,346556,134474717,1244,1,63,67,10,4,356928,621,48712659,102426254,3523685192,621,4167,2,1,8,8,437,1,3529616671,3484197882,682243470,270307201,270323585,2,1,11893516844,73389,73389,8,8,8,270307201,10,3,551769,6824544,3441356,26944,3529616671,6747127,45274051,3907
