timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
42200.51,2,253952,62,43346,2854867994,114,621,1080402,17,8341,71,11488,130770455,1244,1,70,70,5534,8,34591,621,7845559,15041440,874600370,621,435,2,1,8,8,12730,1,885774702,837850009,53834974,64557095,64573479,2,1,2840512180,73389,73389,8,8,8,64557095,14,3,231734,1093951,1026383,6769,885774702,1080402,6819819,17370
47210.28,2,253952,62,82212,5416059126,120,621,1338099,17,19326,71,11488,131820197,1244,1,70,70,5534,8,34591,621,17260486,20841259,1625684136,621,435,2,1,8,8,12730,1,1634195822,1586601159,117538832,122777900,122777900,2,1,5402227600,73389,73389,8,8,8,122777900,14,3,296828,1356086,1449593,12479,1634195822,1338099,15811840,17370
52226.98,2,253952,62,98565,6493609278,123,621,1625791,17,23950,71,11488,132351101,1244,1,70,70,5534,8,34591,621,20834569,26463732,1939389687,621,435,2,1,8,8,12730,1,1949030766,1901580868,164146386,147265442,147265442,2,1,6479679448,73389,73389,8,8,8,147265442,14,3,315349,1647576,1642662,14881,1949030766,1625791,19193036,17370
57244.56,2,253952,62,118780,7825852174,126,621,2038245,17,29629,71,11488,132882005,1244,1,70,70,5534,8,34591,621,28074442,36434135,2327424144,621,435,2,1,8,8,12730,1,2338052462,2290992800,229084292,177531774,177548158,2,1,7811398056,73389,73389,8,8,8,177531774,14,3,348605,2069145,1994617,17849,2338052462,2038245,26081147,17370
62273.53,2,253952,62,130434,8593325046,128,621,2407910,17,32915,71,11488,132882005,1244,1,70,70,5534,8,34591,621,32225935,45453564,2551858997,621,435,2,1,8,8,12730,1,2562316654,2515379863,290902431,194991468,194991468,2,1,8578903696,73389,73389,8,8,8,194975084,14,3,371986,2455506,2178952,19560,2562316654,2407910,30047931,17370
67306.59,2,253952,62,137480,9057746222,129,621,2716225,17,34892,71,11488,133147457,1244,1,70,70,5534,8,34591,621,34519219,53833597,2689112620,621,435,2,1,8,8,12730,1,2698107246,2651114034,329139576,205545750,205545750,2,1,9044013000,73389,73389,8,8,8,205545750,14,3,379098,2765290,2274218,20596,2698107246,2716225,32246655,17370
72348.10,2,253952,62,143248,9437881486,130,621,3084554,17,36525,71,11488,133412909,1244,1,70,70,5534,8,34591,621,36135607,61341496,2801184428,621,435,2,1,8,8,12730,1,2808994158,2762221220,394051014,214187422,214187422,2,1,9424246568,73389,73389,8,8,8,214187422,14,3,384404,3134989,2378042,21442,2808994158,3084554,33759362,17370
77378.87,2,253952,62,150069,9887291610,131,621,3531260,17,38437,71,11488,133412909,1244,1,70,70,5534,8,34591,621,38380727,71922194,2932524236,621,435,2,1,8,8,12730,1,2940459374,2893659669,477772404,224383415,224399799,2,1,9872870260,73389,73389,8,8,8,224383415,14,3,388994,3597195,2483915,22445,2940459374,3531260,35898747,17370
82426.24,2,253952,62,157001,10343976230,132,621,3835625,17,40380,71,11488,133678361,1244,1,70,70,5534,8,34591,621,40711609,82141422,3064785462,621,435,2,1,8,8,12730,1,3073628526,3027170193,559218495,234767824,234784208,2,1,10329784256,73389,73389,8,8,8,234767824,14,3,394317,3915110,2588326,23461,3073628526,3835625,38125359,17370
87461.37,2,253952,62,164242,10821016394,134,621,4157014,17,42464,71,11488,134209265,1244,1,70,70,5534,8,34591,621,42528496,90146894,3205556945,621,435,2,1,8,8,12730,1,3212291359,3166618049,618889999,245614859,245631243,2,1,10807053796,73389,73389,8,8,8,245614859,14,3,398865,4258790,2691606,24523,3212291359,4157014,39839117,17370
