event,value,description
RecomputeWeight,708,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,7423029,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,380,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,197,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,197,"Same as Query, but only for SELECT queries."
InitialQuery,197,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,490,Count queries with all subqueries
SelectQueriesWithSubqueries,490,Count SELECT queries with all subqueries
QueryTimeMicroseconds,14368940350,Total time of all queries.
SelectQueryTimeMicroseconds,14368940350,Total time of SELECT queries.
FileOpen,1268,Number of files opened.
Seek,14097,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,150922,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,1690389680742,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,60,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,1671957360956,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,83225976,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,5482953883999,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,186676,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,1181,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,498003,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,377539,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,39188107180,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,12177,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,50360320,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,28225895,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
TableFunctionExecute,2,Number of table function calls.
MarkCacheHits,187291,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,143,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,2421,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,2519,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,187877,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,1373376790,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,8,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,592330415,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,46340,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,207665,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,487346,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,1396,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,1225936,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,1029904,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,11592,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,8286601,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,10807,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,10759,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,2889584,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,1950013,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,24486,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,237038707340,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,13682643,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,136457,Total time spent analyzing index of patch parts
CompileFunction,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,87792,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,16384,Number of bytes used for expressions compilation.
JoinBuildTableRowCount,384,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,56793537504,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,227174150016,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,1695,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,525714,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,803344,Total time spent executing query plan optimizations.
SelectedParts,2470,Number of data parts selected to read from a MergeTree table.
SelectedPartsTotal,2470,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,2470,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedMarks,13943910,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,13943910,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
SelectedRows,114007222882,Number of rows SELECTed from all tables.
SelectedBytes,5477147347684,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,114007201380,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,114007201380,Number of rows read from MergeTree tables (in total) by prewhere readers.
LoadedDataParts,34,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,37340,Microseconds spent by MergeTree tables for loading data parts during initialization.
FilteringMarksWithPrimaryKeyMicroseconds,13665,Time spent filtering parts by PK.
WaitMarksLoadMicroseconds,3680365,Time spent loading marks
LoadedMarksFiles,143,Number of mark files loaded.
LoadedMarksCount,807422,Number of marks loaded (total across columns).
LoadedMarksMemoryBytes,3661568,Size of in-memory representations of loaded marks.
MergingSortedMilliseconds,185539,Total time spent while merging sorted columns
CommonBackgroundExecutorTaskExecuteStepMicroseconds,21919,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,219,Time spent resetting task for Common executor.
ContextLock,333752,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,21139,Context lock wait time in microseconds
RWLockAcquiredReadLocks,1029,Number of times a read lock was acquired (in a heavy RWLock).
RWLockReadersWaitMilliseconds,3,Total time spent waiting for a read lock to be acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,30148,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,17,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,283,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,48081,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,353,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,14511,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,265751093734,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,72758626842,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,2510580248,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
SoftPageFaults,216957512,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
OSCPUWaitMicroseconds,17063141705,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSCPUVirtualTimeMicroseconds,75267221760,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSReadChars,1691823020381,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,1568,"Number of bytes written to filesystem, including page cache, as well as network and other files."
ThreadPoolReaderPageCacheHit,13546133,Number of times the read inside ThreadPoolReader was done from the page cache.
ThreadPoolReaderPageCacheHitBytes,1689969168948,Number of bytes read inside ThreadPoolReader when it was done from the page cache.
ThreadPoolReaderPageCacheHitElapsedMicroseconds,1352404787,Time spent reading data from page cache in ThreadPoolReader.
SynchronousReadWaitMicroseconds,1385474396,Time spent in waiting for synchronous reads in asynchronous local read.
MainConfigLoads,1,Number of times the main configuration was reloaded.
ServerStartupMilliseconds,105,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,35691,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,2902,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorSelectPartsForMergeElapsedMicroseconds,6074,Time spent to select parts from ranges which can be merged.
MergerMutatorRangesForMergeCount,312,Amount of candidate ranges for merge
MergerMutatorPartsInRangesForMergeCount,1337,Amount of candidate parts for merge
AsyncLoaderWaitMicroseconds,467,Total time a query was waiting for async loader jobs.
LogDebug,1,Number of log messages with level Debug
LogInfo,48,Number of log messages with level Info
LogWarning,2,Number of log messages with level Warning
LoggerElapsedNanoseconds,1895394,Cumulative time spend in logging
InterfaceHTTPSendBytes,257762,Number of bytes sent through HTTP interfaces
InterfaceHTTPReceiveBytes,206384,Number of bytes received through HTTP interfaces
InterfaceNativeSendBytes,229584,Number of bytes sent through native interfaces
InterfaceNativeReceiveBytes,1281,Number of bytes received through native interfaces
HTTPServerConnectionsCreated,79,Number of created server HTTP connections
HTTPServerConnectionsReused,148,Number of reused server HTTP connections
HTTPServerConnectionsPreserved,190,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsExpired,45,Number of expired server HTTP connections.
HTTPServerConnectionsReset,3,Number of reset server HTTP connections. Server closes connection
ConcurrencyControlSlotsAcquired,20554,Total number of CPU slots acquired
ConcurrencyControlWaitMicroseconds,14043934974,Total time a query was waiting on resource requests for CPU slots.
ConcurrencyControlPreemptedMicroseconds,35980356283,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,649969,Total number of CPU preemptions
