event,value,description
RecomputeWeight,355,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,3737672,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,190,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,101,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,101,"Same as Query, but only for SELECT queries."
InitialQuery,101,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,251,Count queries with all subqueries
SelectQueriesWithSubqueries,251,Count SELECT queries with all subqueries
QueryTimeMicroseconds,7330976890,Total time of all queries.
SelectQueryTimeMicroseconds,7330976890,Total time of SELECT queries.
FileOpen,864,Number of files opened.
Seek,7166,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,75969,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,845348040276,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,60,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,836010402096,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,41613944,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,2741535997967,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,93331,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,782,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,234675,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,189074,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,19607151985,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,6097,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,25456640,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,14112957,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
TableFunctionExecute,2,Number of table function calls.
MarkCacheHits,93547,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,143,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,1186,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,1284,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,94133,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,708723645,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,8,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,241962709,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,26518,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,104723,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,363017,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,1396,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,1225936,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,852392,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,6074,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,5383546,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,5385,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,5337,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,2092399,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,973584,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,12495,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,118203131809,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,6794576,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,72007,Total time spent analyzing index of patch parts
CompileFunction,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,87792,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,16384,Number of bytes used for expressions compilation.
JoinBuildTableRowCount,192,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,28396768752,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,113587075008,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,830,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,311832,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,467631,Total time spent executing query plan optimizations.
