event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,25924,36170,10246,Total time spent analyzing index of patch parts
ArenaAllocBytes,216875008,298647552,81772544,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,52948,72912,19964,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,150,150,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,26256,28427,2171,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,229,236,7,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,59649,59649,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,376011615,516776674,140765059,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,24771402409081,34044941537739,9273539128658,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,41277,52792,11515,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,68269612588,95910480351,27640867763,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptionResumes,1451008,1976689,525681,Total number of CPU preemption resumed
ConcurrencyControlPreemptions,1478481,2012560,534079,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,41277,52792,11515,Total number of CPU slots acquired
ConcurrencyControlUpscales,41277,52792,11515,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,48211942291,74212886465,26000944174,Total time a query was waiting on resource requests for CPU slots.
ContextLock,3589223,5415512,1826289,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,340605,537192,196587,Context lock wait time in microseconds
CreatedReadBufferOrdinary,1046719,1443133,396414,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,2939180572,3878159829,938979257,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,10,10,0,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,15218253,20189524,4971271,Number of dequeues invoked at all FairPolicyNodes
FileOpen,6434,7479,1045,Number of files opened.
FilterTransformPassedBytes,1124089244,1943487957,819398713,Number of bytes that passed the filter in the query
