event,value,description
RecomputeWeight,3364,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,15218253,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,1708,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,24374,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,24374,"Same as Query, but only for SELECT queries."
InitialQuery,24374,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,25677,Count queries with all subqueries
SelectQueriesWithSubqueries,25677,Count SELECT queries with all subqueries
QueryTimeMicroseconds,48394797064,Total time of all queries.
SelectQueryTimeMicroseconds,48394797064,Total time of SELECT queries.
FileOpen,6434,Number of files opened.
Seek,138190,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,1094424,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,7812325710984,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,60,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,7578214182580,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,376011615,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,24771402409081,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,1040457,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,6242,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,870949,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,2477527,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,362078665642,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,52948,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,216875008,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,128139128,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
MarkCacheHits,1046087,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,154,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,11904,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,12008,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,1046719,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,2939180572,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,10,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,228820,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,9636208,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,7678869,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,82422061,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,1086,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,200665,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,993264,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,152197,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,26968143,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,127235,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,127187,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,11031694,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,3574082,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,153203,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,336348961734,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,28055772,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,25924,Total time spent analyzing index of patch parts
CompileFunction,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,59649,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,16384,Number of bytes used for expressions compilation.
JoinBuildTableRowCount,1796,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,265628107701,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,1062512430804,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,3393,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,949628,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,5557009,Total time spent executing query plan optimizations.
SelectedParts,11956,Number of data parts selected to read from a MergeTree table.
SelectedPartsTotal,11956,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,11956,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedMarks,62674206,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,62674206,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
SelectedRows,512432832539,Number of rows SELECTed from all tables.
SelectedBytes,24704171010630,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,512432368308,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,512432368308,Number of rows read from MergeTree tables (in total) by prewhere readers.
LoadedDataParts,37,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,19156,Microseconds spent by MergeTree tables for loading data parts during initialization.
FilteringMarksWithPrimaryKeyMicroseconds,24953,Time spent filtering parts by PK.
WaitMarksLoadMicroseconds,4524229,Time spent loading marks
LoadedMarksFiles,154,Number of mark files loaded.
LoadedMarksCount,807433,Number of marks loaded (total across columns).
LoadedMarksMemoryBytes,3662208,Size of in-memory representations of loaded marks.
MergingSortedMilliseconds,223409,Total time spent while merging sorted columns
CommonBackgroundExecutorTaskExecuteStepMicroseconds,26256,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,229,Time spent resetting task for Common executor.
ContextLock,3589223,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,340605,Context lock wait time in microseconds
RWLockAcquiredReadLocks,25693,Number of times a read lock was acquired (in a heavy RWLock).
RWLockReadersWaitMilliseconds,65,Total time spent waiting for a read lock to be acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,16177,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,1,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,363,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,96731,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,310,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,116999,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,432995454001,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,149086813646,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,4369014477,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
SoftPageFaults,519718160,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
OSCPUWaitMicroseconds,10079728700,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSCPUVirtualTimeMicroseconds,153450245131,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSReadChars,7815171310421,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,194984,"Number of bytes written to filesystem, including page cache, as well as network and other files."
ThreadPoolReaderPageCacheHit,62730764,Number of times the read inside ThreadPoolReader was done from the page cache.
ThreadPoolReaderPageCacheHitBytes,7809676780642,Number of bytes read inside ThreadPoolReader when it was done from the page cache.
ThreadPoolReaderPageCacheHitElapsedMicroseconds,2870575129,Time spent reading data from page cache in ThreadPoolReader.
SynchronousReadWaitMicroseconds,2936226118,Time spent in waiting for synchronous reads in asynchronous local read.
MainConfigLoads,1,Number of times the main configuration was reloaded.
ServerStartupMilliseconds,90,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,17817,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,2565,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorSelectPartsForMergeElapsedMicroseconds,4379,Time spent to select parts from ranges which can be merged.
MergerMutatorRangesForMergeCount,405,Amount of candidate ranges for merge
MergerMutatorPartsInRangesForMergeCount,1873,Amount of candidate parts for merge
AsyncLoaderWaitMicroseconds,150,Total time a query was waiting for async loader jobs.
LogDebug,1,Number of log messages with level Debug
LogInfo,48,Number of log messages with level Info
LogWarning,2,Number of log messages with level Warning
LoggerElapsedNanoseconds,1149228,Cumulative time spend in logging
InterfaceHTTPSendBytes,82422061,Number of bytes sent through HTTP interfaces
InterfaceHTTPReceiveBytes,7678869,Number of bytes received through HTTP interfaces
HTTPServerConnectionsCreated,23834,Number of created server HTTP connections
HTTPServerConnectionsReused,663,Number of reused server HTTP connections
HTTPServerConnectionsPreserved,854,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsExpired,23710,Number of expired server HTTP connections.
HTTPServerConnectionsReset,23519,Number of reset server HTTP connections. Server closes connection
ConcurrencyControlSlotsAcquired,41277,Total number of CPU slots acquired
ConcurrencyControlWaitMicroseconds,48211942291,Total time a query was waiting on resource requests for CPU slots.
ConcurrencyControlPreemptedMicroseconds,68269612588,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,1478481,Total number of CPU preemptions
ConcurrencyControlPreemptionResumes,1451008,Total number of CPU preemption resumed
ConcurrencyControlUpscales,41277,Total number of CPU upscaling events
ConcurrencyControlDownscales,41277,Total number of CPU downscaling events
MemoryWorkerRun,138190,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,13736077,Total time spent by MemoryWorker for background work
FilterTransformPassedRows,23296,Number of rows that passed the filter in the query
FilterTransformPassedBytes,1124089244,Number of bytes that passed the filter in the query
AsyncLoggingConsoleTotalMessages,52,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingFileLogTotalMessages,52,How many messages (accepted or dropped) have been sent to the async queue for the file log
AsyncLoggingErrorFileLogTotalMessages,2,How many messages (accepted or dropped) have been sent to the async queue for the error file log
