timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5016.66,1,8192,2,17012,1120738376,53,27,231552,6,4531,5,7455504,56,1,4,2518,60504,2,5755,27,3474805,2551596,330641073,27,54,2,1,2,2,949,1,329294236,327721119,7172461,25446006,25462390,2,1,1119624264,73389,73389,2,2,2,25446006,13,3,22134,2203049,249740,9809,2514,329294236,221743,3224116,298
10020.56,1,8192,2,47988,3161665044,53,27,533332,6,12979,5,7455504,56,1,4,7071,83302,2,5755,27,6945975,3682094,929712912,27,54,2,1,2,2,949,1,926065052,924377826,12547205,71847087,71847087,2,1,3160550932,73389,73389,2,2,2,71830703,13,3,23696,3653138,379525,19337,7067,926065052,513995,6565287,298
15024.99,1,8192,2,92284,6080574820,53,27,908529,6,25060,5,7455504,56,1,4,13581,83424,2,5755,27,11346872,3682306,1786209584,27,54,2,1,2,2,949,1,1779343772,1777664078,17999641,138171051,138187435,2,1,6079526244,73389,73389,2,2,2,138171051,13,3,24154,4309360,456656,26167,13577,1779343772,882362,10888493,298
20028.92,1,8192,2,136594,9000402100,53,27,1296703,6,37144,5,7455504,56,1,4,20094,83547,2,5755,27,15733573,3682406,2643101436,27,54,2,1,2,2,949,1,2633015708,2631179985,23460221,204544167,204544167,2,1,8999222452,73389,73389,2,2,2,204527783,13,3,24154,4977499,521283,32958,20090,2633015708,1263745,15210175,298
25032.25,1,8192,2,181673,11970626564,53,27,1684530,6,49438,5,7455504,56,1,4,26717,83704,2,5755,27,20128848,3682664,3514461512,27,54,2,1,2,2,949,1,3501105564,3499422511,28930265,272047779,272064163,2,1,11970102276,73389,73389,2,2,2,272047779,13,3,25530,5648736,586834,39887,26713,3501105564,1644643,19540296,298
30034.93,1,8192,2,227603,14997418520,54,27,2075653,6,62020,5,7720956,56,1,4,33467,83834,2,5755,27,44984030,4249582,4402528643,27,54,2,1,2,2,949,1,4385841564,4384221960,59645881,340839250,340839250,2,1,14996206104,73389,73389,2,2,2,340822866,13,3,33489,6314960,775159,46867,33463,4385841564,2028786,44206516,298
35060.51,1,8192,2,243516,16045867380,54,27,2376155,6,66361,5,7720956,56,1,4,35803,194711,2,5755,27,51801005,7351718,4710089504,27,54,2,1,2,2,949,1,4692156828,4690714117,72220694,364657207,364673591,2,1,16044917108,73389,73389,2,2,2,364657207,13,3,34834,8684046,917298,55099,35800,4692156828,2321056,50880655,298
40075.26,1,8192,2,250209,16486888896,54,27,2476767,6,68185,5,7720956,56,1,4,36789,364080,2,5755,27,54233750,12128134,4839784318,27,54,2,1,2,2,949,1,4821262748,4819654412,82320034,374689360,374689360,2,1,16486331840,73389,73389,2,2,2,374689360,13,3,38095,11488979,997072,59965,36785,4821262748,2416802,53233915,298
45100.08,1,8192,2,257595,16973592312,54,27,2589015,6,70191,5,7720956,56,1,4,37875,563423,2,5755,27,56846820,17180037,4982769215,27,54,2,1,2,2,949,1,4963606940,4961874901,92868810,385743354,385759738,2,1,16972707576,73389,73389,2,2,2,385743354,13,3,42252,14372120,1090842,66118,37871,4963606940,2522897,55752503,298
50103.45,1,8192,2,283329,18669386556,54,27,2842897,6,77218,5,7720956,56,1,4,41657,616941,2,5755,27,61154875,19458489,5480415946,27,54,2,1,2,2,949,1,5459321244,5457638015,101239140,424276685,424293069,2,1,18668174140,73389,73389,2,2,2,424276685,13,3,43139,16161222,1210879,79621,41653,5459321244,2763276,59940964,298
55106.50,1,8192,2,332292,21895745556,54,27,3193330,6,90571,5,7720956,56,1,4,48854,617009,2,5755,27,65553541,19458732,6427277053,27,54,2,1,2,2,949,1,6402646428,6400799002,106660980,497616431,497616431,2,1,21894402068,73389,73389,2,2,2,497600047,13,3,43144,16808562,1284700,87011,48850,6402646428,3106319,64265759,298
60120.31,1,8192,2,355123,23399961532,54,27,3467188,6,96799,5,7720956,56,1,4,52206,655470,2,5755,27,77739100,21463535,6868370023,27,54,2,1,2,2,949,1,6841999772,6840499134,122622064,531794221,531810605,2,1,23398945724,73389,73389,2,2,2,531794221,13,3,46265,18769770,1464121,98600,52202,6841999772,3368588,76270869,298
