timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5018.34,8192,2,9258,609652260,53,1,27,137690,7,2416,5,7455504,56,1,4,1379,213800,2,46,27,2822906,4455192,180791161,27,70,2,1,2,2,668,1,180003228,178356027,9386725,13845307,13845307,2,1,608472612,73389,73389,2,2,2,13828923,9,3,20081,2854328,215614,6007,1375,180003228,131683,2607129,291
10028.60,8192,2,24280,1599443092,53,1,27,331300,7,6514,5,7455504,56,1,4,3587,317179,2,46,27,7675374,8108913,471387234,27,70,2,1,2,2,668,1,469410204,467689288,19903254,36330127,36346511,2,1,1598525588,73389,73389,2,2,2,36330127,9,3,24617,5337721,386924,17823,3583,469410204,313477,7288510,291
15039.57,8192,2,48011,3163172372,53,1,27,587041,7,12987,5,7455504,56,1,4,7077,375903,2,46,27,13852523,10406969,930627268,27,70,2,1,2,2,668,1,926851484,924830075,30003694,71879855,71879855,2,1,3162713620,73389,73389,2,2,2,71879855,9,3,28029,7285754,547646,28557,7073,926851484,558484,13304231,291
20054.63,8192,2,63572,4188552560,53,1,27,793222,7,17230,5,7455504,56,1,4,9360,464833,2,46,27,18468882,13827672,1231088443,27,70,2,1,2,2,668,1,1226088860,1224563763,39520622,95173524,95189908,2,1,4187635056,73389,73389,2,2,2,95173524,9,3,31566,9667751,703903,50325,9356,1226088860,742897,17764037,291
25059.64,8192,2,85455,5630640408,53,1,27,1035780,7,23197,5,7455504,56,1,4,12578,514735,2,46,27,23975399,16474142,1654550904,27,70,2,1,2,2,668,1,1647878556,1646104043,49520408,127958674,127958674,2,1,5629460760,73389,73389,2,2,2,127942290,9,3,33935,11827113,856965,60131,12574,1647878556,975649,23117470,291
30064.73,8192,2,148704,9798290292,53,1,27,1528046,7,40393,5,7455504,56,1,4,21873,514905,2,46,27,34364529,16605560,2877524076,27,70,2,1,2,2,668,1,2866192796,2864362721,61962090,222679479,222679479,2,1,9797897076,73389,73389,2,2,2,222679479,9,3,40853,12729761,971409,70394,21869,2866192796,1457652,33392291,291
35068.30,8192,2,207508,13673305396,54,1,27,1990343,7,56514,5,7720956,56,1,4,30515,515145,2,46,27,43278275,16606079,4014610530,27,70,2,1,2,2,668,1,3998917020,3997169634,72358398,310742791,310759175,2,1,13672682804,73389,73389,2,2,2,310742791,9,3,43361,13582382,1076170,80156,30511,3998917020,1910187,42200902,291
40073.30,8192,2,252554,16641367172,54,1,27,2367810,7,68827,5,7720956,56,1,4,37133,515266,2,46,27,47662685,16606197,4885306486,27,70,2,1,2,2,668,1,4866351516,4864790169,77812843,378197251,378213635,2,1,16640679044,73389,73389,2,2,2,378197251,9,3,43381,14261304,1150175,87360,37129,4866351516,2280450,46510974,291
45086.90,8192,2,288522,19011573168,54,1,27,2705449,7,78636,5,7720956,56,1,4,42420,532099,2,46,27,51350732,17410036,5581055514,27,70,2,1,2,2,668,1,5559460252,5557679573,83228848,432068548,432068548,2,1,19011016112,73389,73389,2,2,2,432068548,9,3,43737,15517695,1247614,95135,42417,5559460252,2610314,50100514,291
50102.79,8192,2,303432,19994023968,54,1,27,2896887,7,82700,5,7720956,56,1,4,44610,600118,2,46,27,64511026,21089961,5869152788,27,70,2,1,2,2,668,1,5846376860,5844815916,103467215,454389528,454405912,2,1,19993139232,73389,73389,2,2,2,454389528,9,3,47430,18037711,1410814,103258,44606,5846376860,2793629,63098587,291
55119.83,8192,2,314655,20733516276,54,1,27,3045540,7,85762,5,7720956,56,1,4,46261,684031,2,46,27,67271869,24724667,6086474017,27,70,2,1,2,2,668,1,6062776732,6061047502,110919517,471191703,471208087,2,1,20732434932,73389,73389,2,2,2,471191703,9,3,49022,20555757,1515057,110374,46257,6062776732,2935166,65755367,291
60131.02,8192,2,325235,21430603484,54,1,27,3195295,7,88642,5,7720956,56,1,4,47815,808468,2,46,27,70492541,28786441,6291161047,27,70,2,1,2,2,668,1,6266593692,6264795635,121466186,487037573,487053957,2,1,21429653212,73389,73389,2,2,2,487037573,9,3,54633,23225714,1629050,124193,47812,6266593692,3071102,68862403,291
65140.29,8192,2,334039,22010767852,54,1,27,3326475,7,91048,5,7720956,56,1,4,49110,977190,2,46,27,74197973,33392573,6461512646,27,70,2,1,2,2,668,1,6436200860,6434382720,132807711,500233553,500233553,2,1,22010276332,73389,73389,2,2,2,500233553,9,3,60664,25995242,1763335,139108,49106,6436200860,3187367,72433583,291
70157.22,8192,2,342186,22547609616,54,1,27,3439361,7,93271,5,7720956,56,1,4,50305,1123195,2,46,27,77221064,38654998,6618709099,27,70,2,1,2,2,668,1,6592700828,6591304134,143700439,512424076,512440460,2,1,22546659344,73389,73389,2,2,2,512424076,9,3,71531,28773525,1904245,144428,50301,6592700828,3294933,75314583,291
75173.77,8192,2,348613,22971198556,54,1,27,3531983,7,95023,5,7720956,56,1,4,51250,1319898,2,46,27,79476755,44046050,6743394268,27,70,2,1,2,2,668,1,6716826012,6715177642,153769129,522046629,522063013,2,1,22970051676,73389,73389,2,2,2,522046629,9,3,76013,31722313,1976278,150282,51247,6716826012,3381701,77498115,291
80183.57,8192,2,355935,23453442216,54,1,27,3635588,7,97019,5,7720956,56,1,4,52327,1479051,2,46,27,82020489,49010780,6885059524,27,70,2,1,2,2,668,1,6857859484,6856103465,164370793,533012670,533029054,2,1,23452557480,73389,73389,2,2,2,533012670,9,3,80975,34604114,2086270,155116,52323,6857859484,3480472,79931976,291
85193.51,8192,2,367531,24217644904,54,1,27,3790100,7,100183,5,7720956,56,1,4,54031,1619818,2,46,27,85365286,53385257,7109354505,27,70,2,1,2,2,668,1,7081206172,7079513800,174175015,550377934,550394318,2,1,24216629096,73389,73389,2,2,2,550377934,9,3,84767,37437742,2199200,161770,54027,7081206172,3628330,83164264,291
