timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5028.83,1,8192,2,8319,547848504,53,27,122123,11,2161,5,7455504,56,1,4,1242,183686,2,12997,27,2457932,5126061,162768268,27,105,2,1,2,2,964,1,162046364,160261265,9110813,12430250,12446634,2,1,546931000,73389,73389,2,2,2,12430250,14,3,12649,3196697,140862,5915,1238,162046364,116208,2317363,432
10032.80,1,8192,2,29194,1923345160,53,27,326990,11,7855,5,7455504,56,1,4,4310,291829,2,12997,27,7412766,8079291,566366768,27,105,2,1,2,2,964,1,564044188,562315434,19619355,43696006,43712390,2,1,1922624264,73389,73389,2,2,2,43696006,14,3,19433,5176364,266223,13041,4306,564044188,313949,7146945,432
15037.27,1,8192,2,80139,5280392868,53,27,729909,11,21694,5,7455504,56,1,4,11798,292024,2,12997,27,16790558,8079705,1551571417,27,105,2,1,2,2,964,1,1545642396,1543740265,30885843,119986587,120002971,2,1,5279409828,73389,73389,2,2,2,119986587,14,3,23232,5906561,386065,21278,11794,1545642396,708631,16404900,432
20041.02,1,8192,2,129960,8563247208,53,27,1152817,11,35335,5,7455504,56,1,4,19120,292237,2,12997,27,22410553,8079927,2515049077,27,105,2,1,2,2,964,1,2505351580,2503370815,37739458,194610318,194610318,2,1,8562133096,73389,73389,2,2,2,194593934,14,3,23728,6657688,457113,29009,19116,2505351580,1123808,21954091,432
25045.88,1,8192,2,172808,11386464500,53,27,1508936,11,47023,5,7455504,56,1,4,25416,292418,2,12997,27,26812053,8080119,3343389368,27,105,2,1,2,2,964,1,3330580892,3328612551,43162858,258769879,258786263,2,1,11385874676,73389,73389,2,2,2,258769879,14,3,23728,7304443,533204,35547,25412,3330580892,1473389,26279004,432
30061.35,1,8192,2,207105,13646628936,54,27,1819316,11,56431,5,7720956,56,1,4,30453,315056,2,12997,27,40335185,8934222,4006120964,27,105,2,1,2,2,964,1,3990790556,3989323311,60499251,310130550,310146934,2,1,13645744200,73389,73389,2,2,2,310130550,14,3,24583,8550650,684502,42858,30449,3990790556,1776458,39650652,432
35076.03,1,8192,2,215459,14197036652,54,27,1935434,11,58706,5,7720956,56,1,4,31683,493568,2,12997,27,43916751,13518343,4168051545,27,105,2,1,2,2,964,1,4152009116,4150240336,70810196,322648753,322648753,2,1,14196545132,73389,73389,2,2,2,322648753,14,3,28132,11334538,787665,48294,31679,4152009116,1887140,43129240,432
40094.28,1,8192,2,221867,14619380408,54,27,2040161,11,60455,5,7720956,56,1,4,32622,802387,2,12997,27,45407204,17778435,4291821338,27,105,2,1,2,2,964,1,4275216796,4273688338,78059911,332238538,332254922,2,1,14618495672,73389,73389,2,2,2,332238538,14,3,33630,14758210,878927,64343,32619,4275216796,1975818,44528242,432
45113.94,1,8192,2,227862,15014392344,54,27,2126710,11,62092,5,7720956,56,1,4,33505,941384,2,12997,27,48676003,26426968,4407959427,27,105,2,1,2,2,964,1,4390822300,4389163846,92563661,341216082,341232466,2,1,15013507608,73389,73389,2,2,2,341216082,14,3,48447,18062703,1019260,68529,33501,4390822300,2058181,47657029,432
50133.10,1,8192,2,235549,15520822096,54,27,2251469,11,64183,5,7720956,56,1,4,34635,1048471,2,12997,27,51346073,31533071,4556731604,27,105,2,1,2,2,964,1,4538933660,4537256780,102810940,352728828,352745212,2,1,15520068432,73389,73389,2,2,2,352728828,14,3,52776,21052283,1113605,84677,34631,4538933660,2166792,50232478,432
55136.24,1,8192,2,277631,18293838812,54,27,2616954,11,75610,5,7720956,56,1,4,40817,1103976,2,12997,27,58327153,33246761,5370164249,27,105,2,1,2,2,964,1,5349220764,5347844936,113390069,415757893,415757893,2,1,18293347292,73389,73389,2,2,2,415757893,14,3,62420,22659821,1255936,94036,40813,5349220764,2522918,57071703,432
60139.43,1,8192,2,341400,22495832868,54,27,3127814,11,93001,5,7720956,56,1,4,50191,1104213,2,12997,27,67238650,33247025,6603557727,27,105,2,1,2,2,964,1,6577889692,6576214956,124006001,511238395,511254779,2,1,22494489380,73389,73389,2,2,2,511238395,14,3,62892,23580985,1373364,104502,50187,6577889692,3023312,65865710,432
