timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5017.04,8192,2,10096,664836880,53,1,27,143962,7,2645,5,7455504,56,1,4,1501,70679,2,12301,27,2652436,4213205,196846707,27,79,2,1,2,2,785,1,195994012,194447992,8939835,15096524,15112908,2,1,664247056,73389,73389,2,2,2,15096524,19,3,11863,2758371,134656,11360,1497,195994012,132602,2517844,426
10028.55,8192,2,20693,1363303652,53,1,27,299768,7,5536,5,7455504,56,1,4,3061,170729,2,12301,27,6800970,8490369,402327322,27,79,2,1,2,2,785,1,400597404,398631810,20082077,30964811,30981195,2,1,1362451684,73389,73389,2,2,2,30964811,19,3,13826,5537847,265822,33984,3058,400597404,265784,6534794,426
15033.11,8192,2,42102,2773796532,53,1,27,524203,7,11374,5,7455504,56,1,4,6209,243585,2,12301,27,11926924,11173184,816320735,27,79,2,1,2,2,785,1,812949916,811032857,29356901,63016999,63033383,2,1,2772747956,73389,73389,2,2,2,63016999,19,3,15525,7647289,420704,42347,6205,812949916,481856,11505166,426
20051.98,8192,2,61957,4082181016,53,1,27,736806,7,16783,5,7455504,56,1,4,9125,288047,2,12301,27,18572068,14041536,1200183209,27,79,2,1,2,2,785,1,1195286940,1193467485,40891564,92753010,92769394,2,1,4081132440,73389,73389,2,2,2,92753010,19,3,19330,9838877,577355,50523,9121,1195286940,686283,17994361,426
25060.81,8192,2,71325,4699573140,53,1,27,865769,7,19343,5,7455504,56,1,4,10502,382825,2,12301,27,21437833,18400225,1381324833,27,79,2,1,2,2,785,1,1375642012,1373903052,50589172,106790607,106806991,2,1,4698786708,73389,73389,2,2,2,106790607,19,3,22504,12404261,682085,57207,10498,1375642012,808562,20754751,426
30064.72,8192,2,103868,6843991076,53,1,27,1166371,7,28165,5,7455504,56,1,4,15284,436965,2,12301,27,28815132,20306014,2010684017,27,79,2,1,2,2,785,1,2002559388,2000797889,61508725,155536315,155536315,2,1,6843597860,73389,73389,2,2,2,155536315,19,3,31174,14078430,841493,67531,15280,2002559388,1098840,27972248,426
35080.09,8192,2,136768,9011805364,53,1,27,1453239,7,37190,5,7455504,56,1,4,20119,455185,2,12301,27,32837063,21413583,2646871337,27,79,2,1,2,2,785,1,2636292508,2634522160,67467357,204789927,204806311,2,1,9010756788,73389,73389,2,2,2,204789927,19,3,31195,15480563,949942,76082,20115,2636292508,1377157,31886519,426
40085.19,8192,2,162936,10736042232,53,1,27,1732228,7,44329,5,7455504,56,1,4,23963,511366,2,12301,27,39986355,23280909,3152680462,27,79,2,1,2,2,785,1,3140133276,3138496932,78157512,243978618,243995002,2,1,10735059192,73389,73389,2,2,2,243978618,19,3,32334,17219215,1105096,86354,23959,3140133276,1645874,38881180,426
45096.20,8192,2,183898,12117240520,53,1,27,1957491,7,50047,5,7455504,56,1,4,27045,549587,2,12301,27,42647935,25353614,3558253657,27,79,2,1,2,2,785,1,3544097180,3542198090,83454636,275375446,275391830,2,1,12116519624,73389,73389,2,2,2,275375446,19,3,35156,19270316,1234426,96255,27041,3544097180,1861236,41412876,426
50100.47,8192,2,222489,14660409252,54,1,27,2298275,7,60571,5,7720956,56,1,4,32716,577676,2,12301,27,57406189,27027645,4304457912,27,79,2,1,2,2,785,1,4287406492,4285726955,103013611,333178459,333178459,2,1,14659852196,73389,73389,2,2,2,333178459,19,3,40840,20551458,1406658,105571,32712,4287406492,2192704,55998102,426
55104.46,8192,2,269759,17775019448,54,1,27,2682698,7,73517,5,7720956,56,1,4,39661,577766,2,12301,27,62881150,27027866,5218209457,27,79,2,1,2,2,785,1,5197701532,5196189968,109622306,403960586,403976970,2,1,17774265784,73389,73389,2,2,2,403960586,19,3,41894,21252079,1478883,113037,39657,5197701532,2569661,61400743,426
60108.91,8192,2,314956,20753242612,54,1,27,3062115,7,85843,5,7720956,56,1,4,46304,577870,2,12301,27,67275266,27028083,6092200041,27,79,2,1,2,2,785,1,6068412828,6066844524,115079710,471650455,471650455,2,1,20751899124,73389,73389,2,2,2,471634071,19,3,41894,21923725,1556161,120034,46300,6068412828,2942081,65717799,426
65113.73,8192,2,359711,23702498864,54,1,27,3431639,7,98050,5,7720956,56,1,4,52880,577921,2,12301,27,71674934,27028270,6957377767,27,79,2,1,2,2,785,1,6930342300,6928913496,120513535,538668580,538684964,2,1,23701417520,73389,73389,2,2,2,538668580,19,3,41924,22577069,1632192,127003,52876,6930342300,3304636,70041236,426
