timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5025.75,2,8192,2,8696,572555576,53,27,134467,17,2263,5,7455504,56,1,4,1296,154708,2,7917,27,2926078,5012963,169874139,27,104,2,1,2,2,599,1,169124252,167484485,10126902,12987306,13003690,2,1,571441464,73389,73389,2,2,2,12987306,9,3,15987,2942209,192309,12429,1292,169124252,122038,2734077,555
10030.45,2,8192,2,36667,2415750208,53,27,395151,17,9892,5,7455504,56,1,4,5407,179683,2,7917,27,5952751,6642997,710799342,27,104,2,1,2,2,599,1,707961244,706354156,15457737,54881072,54897456,2,1,2414767168,73389,73389,2,2,2,54881072,9,3,16886,4693304,320275,22298,5403,707961244,372853,5632719,555
15033.65,2,8192,2,84163,5545436992,53,27,746872,17,22846,5,7455504,56,1,4,12389,179856,2,7917,27,10351094,6643151,1629241244,27,104,2,1,2,2,599,1,1622974876,1621181674,20891623,126013296,126029680,2,1,5544585024,73389,73389,2,2,2,126013296,9,3,17283,5357049,390001,29758,12385,1622974876,717114,9961389,555
20038.30,2,8192,2,130673,8610239828,53,27,1119247,17,35530,5,7455504,56,1,4,19224,180026,2,7917,27,14734773,6643358,2528610144,27,104,2,1,2,2,599,1,2518983068,2517150274,26339496,195664927,195681311,2,1,8609256788,73389,73389,2,2,2,195664927,9,3,17738,6036052,465314,36817,19220,2518983068,1082430,14269529,555
25043.60,2,8192,2,176703,11643319932,53,27,1471467,17,48085,5,7455504,56,1,4,25987,180176,2,7917,27,19138361,6643565,3418377929,27,104,2,1,2,2,599,1,3405423004,3403692759,31774676,264606013,264622397,2,1,11642664572,73389,73389,2,2,2,264606013,9,3,18068,6694714,524831,44024,25983,3405423004,1427443,18613778,555
30060.97,2,8192,2,217027,14300328004,54,27,1805563,17,59137,5,7720956,56,1,4,31912,190487,2,7917,27,43281026,7680540,4198081642,27,104,2,1,2,2,599,1,4182155676,4180424339,60819477,324987347,325003731,2,1,14299443268,73389,73389,2,2,2,324987347,9,3,25126,7861366,700722,52497,31909,4182155676,1753066,42580106,555
35066.05,2,8192,2,235927,15545860156,54,27,2035493,17,64291,5,7720956,56,1,4,34690,248084,2,7917,27,49671966,10735289,4563400353,27,104,2,1,2,2,599,1,4546142620,4544565985,71928591,353291917,353308301,2,1,15544844348,73389,73389,2,2,2,353291917,9,3,28992,10124638,895220,61540,34686,4546142620,1973953,48776978,555
40073.22,2,8192,2,289105,19049780656,54,27,2486068,17,78739,5,7720956,56,1,4,42504,248466,2,7917,27,59099653,10787860,5591624343,27,104,2,1,2,2,599,1,5570339228,5568873841,83096676,432936900,432936900,2,1,19048502704,73389,73389,2,2,2,432920516,9,3,39518,10929701,1009439,70465,42500,5570339228,2415603,58090811,555
45078.67,2,8192,2,345986,22797973676,54,27,2967025,17,94254,5,7720956,56,1,4,50865,248982,2,7917,27,68063278,10788114,6691759922,27,104,2,1,2,2,599,1,6666232220,6664520942,93698699,518123105,518123105,2,1,22796695724,73389,73389,2,2,2,518106721,9,3,43054,11818452,1125563,80262,50861,6666232220,2886763,66938569,555
50090.96,2,8192,2,382263,25188430296,54,27,3300022,17,104198,5,7720956,56,1,4,56195,286729,2,7917,27,74425342,12066268,7393127214,27,104,2,1,2,2,599,1,7364845980,7363269354,102428758,572453154,572453154,2,1,25187217880,73389,73389,2,2,2,572436770,9,3,43337,13345728,1255306,89260,56191,7364845980,3210762,73170985,555
