timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.51,1,8192,2,20379,1342459896,53,2,27,263979,16,5449,5,7455504,56,1,4,3015,69078,2,10265,27,3077924,2337643,396021306,27,82,2,1,2,2,693,1,394437020,392554666,6245814,30500026,30500026,2,1,1341280248,73389,73389,2,2,2,30483642,16,3,21825,2190848,286229,14121,3011,394437020,249858,2790404,506
10016.37,1,8192,2,65037,4285093704,53,2,27,580298,16,17629,5,7455504,56,1,4,9577,69108,2,10265,27,7526730,2337998,1259351369,27,82,2,1,2,2,693,1,1254531484,1252792047,11634498,97364662,97381046,2,1,4284045128,73389,73389,2,2,2,97364662,16,3,21980,2791361,342052,20874,9573,1254531484,559424,7183240,506
15020.63,1,8192,2,109896,7241165700,53,2,27,898054,16,29863,5,7455504,56,1,4,16171,69144,2,10265,27,11971160,2338151,2126889942,27,82,2,1,2,2,693,1,2118820252,2116906501,17014535,164546627,164563011,2,1,7240051588,73389,73389,2,2,2,164546627,16,3,22048,3389539,399583,27588,16167,2118820252,870466,11570446,506
20031.83,1,8192,2,143388,9448042752,53,2,27,1229083,16,38988,5,7455504,56,1,4,21091,76510,2,10265,27,15818723,2981674,2774235229,27,82,2,1,2,2,693,1,2763694492,2761996462,22452104,214707392,214723776,2,1,9447125248,73389,73389,2,2,2,214707392,16,3,23624,4548364,552780,38712,21087,2763694492,1190371,15263435,506
25036.74,1,8192,2,184889,12182717600,53,2,27,1627716,16,50262,5,7455504,56,1,4,27191,90209,2,10265,27,40309979,4211338,3576734123,27,82,2,1,2,2,693,1,3563102620,3561344800,52037384,276862072,276878456,2,1,12181931168,73389,73389,2,2,2,276862072,16,3,33134,5908638,800735,51187,27187,3563102620,1576529,39507297,506
30047.67,1,8192,2,227714,15004693016,54,2,27,2027524,16,62052,5,7720956,56,1,4,33483,103963,2,10265,27,46331112,4923272,4404764037,27,82,2,1,2,2,693,1,4387938716,4386361589,59976642,341003090,341003090,2,1,15004135960,73389,73389,2,2,2,341003090,16,3,34624,7197795,970808,63450,33479,4387938716,1964074,45358765,506
35056.14,1,8192,2,268794,17711511756,54,2,27,2431231,16,73207,5,7720956,56,1,4,39521,110942,2,10265,27,57074136,5852787,5199241044,27,82,2,1,2,2,693,1,5179351452,5177590694,73068346,402512761,402529145,2,1,17710561484,73389,73389,2,2,2,402512761,16,3,40810,8518329,1165426,76418,39517,5179351452,2354813,55906359,506
40064.48,1,8192,2,292378,19265607244,54,2,27,2741022,16,79685,5,7720956,56,1,4,42986,131451,2,10265,27,60397867,7223895,5655200765,27,82,2,1,2,2,693,1,5633515932,5631913815,78480537,437833113,437849497,2,1,19264656972,73389,73389,2,2,2,437833113,16,3,44618,10104029,1391540,90834,42982,5633515932,2650188,59002824,506
45080.90,1,8192,2,313183,20636516380,54,2,27,3008031,16,85362,5,7720956,56,1,4,46042,194773,2,10265,27,63260145,9063354,6057349976,27,82,2,1,2,2,693,1,6034071964,6032674698,83835778,469000565,469000565,2,1,20636024860,73389,73389,2,2,2,469000565,16,3,47269,12031265,1575782,102227,46038,6034071964,2905804,61680927,506
50093.93,1,8192,2,325009,21415792348,54,2,27,3171561,16,88585,5,7720956,56,1,4,47782,337729,2,10265,27,75234822,13526286,6286375294,27,82,2,1,2,2,693,1,6262137244,6260494598,103195710,486709893,486709893,2,1,21414514396,73389,73389,2,2,2,486693509,16,3,53237,14722899,1715071,110105,47778,6262137244,3061456,73514894,506
55110.70,1,8192,2,341846,22525073990,54,2,27,3398191,16,93178,5,7720956,56,1,4,50255,403627,2,10265,27,81584567,16528722,6611963005,27,82,2,1,2,2,693,1,6586409372,6584732305,114324107,511910139,511926523,2,1,22524046116,73389,73389,2,2,2,511910139,16,3,57509,16752750,1895267,123464,50252,6586409372,3274727,79684787,506
60120.86,1,8192,2,350947,23124955936,54,2,27,3525137,16,95659,5,7720956,56,1,4,51595,552821,2,10265,27,84587905,20997766,6788367873,27,82,2,1,2,2,693,1,6762045852,6760129692,124074455,525538136,525554520,2,1,23123677984,73389,73389,2,2,2,525538136,16,3,64999,19474155,2016024,129449,51592,6762045852,3395688,82567190,506
