timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5022.24,8192,2,9356,616074788,53,27,132321,10,2443,5,7455504,56,1,4,1394,178467,2,10517,27,2826138,4659599,182764314,27,70,2,1,2,2,1134,1,181969308,180205490,9341956,13992763,13992763,2,1,615681572,73389,73389,2,2,2,13992763,25,1,3,10580,2960350,163346,5988,1390,181969308,126333,2662753,421
10036.79,8192,2,16453,1083838300,53,27,227835,10,4380,5,7455504,56,1,4,2437,384843,2,10517,27,5366179,10081653,320084787,27,70,2,1,2,2,1134,1,318677404,316978271,19559865,24620773,24620773,2,1,1083314012,73389,73389,2,2,2,24620773,25,1,3,13134,5924534,248633,10555,2433,318677404,217280,5117807,421
15049.44,8192,2,23426,1543209896,53,27,328917,10,6282,5,7455504,56,1,4,3462,624992,2,10517,27,7818229,16262689,455037638,27,70,2,1,2,2,1134,1,453026204,451264746,30254218,35062526,35062526,2,1,1542751144,73389,73389,2,2,2,35062526,25,1,3,19645,9040341,329200,15235,3458,453026204,313682,7489550,421
20059.26,8192,2,32249,2124619448,53,27,450396,10,8686,5,7455504,56,1,4,4761,767296,2,10517,27,10596873,21107610,626049088,27,70,2,1,2,2,1134,1,623288732,621258503,39867626,48274890,48274890,2,1,2124095160,73389,73389,2,2,2,48274890,25,1,3,25475,11797633,442733,25553,4757,623288732,424843,10154782,421
25064.43,8192,2,66775,4399791628,53,27,757615,10,18103,5,7455504,56,1,4,9833,801648,2,10517,27,15126502,22876509,1293381724,27,70,2,1,2,2,1134,1,1288085916,1286298136,47499644,99971433,99987817,2,1,4398743052,73389,73389,2,2,2,99971433,25,1,3,26037,13244355,548943,33972,9829,1288085916,723643,14578269,421
30068.79,8192,2,116976,7707549648,53,27,1185916,10,31795,5,7455504,56,1,4,17212,801896,2,10517,27,19447552,22876704,2264175672,27,70,2,1,2,2,1134,1,2255266204,2253241453,53011184,175152220,175168604,2,1,7706697680,73389,73389,2,2,2,175152220,25,1,3,26071,13991207,624060,41703,17208,2255266204,1144213,18823208,421
35073.07,8192,2,165535,10907432104,53,27,1593827,10,45037,5,7455504,56,1,4,24346,802067,2,10517,27,23790803,22876899,3202744014,27,70,2,1,2,2,1134,1,3190333852,3188583614,58503135,247885758,247885758,2,1,10906252456,73389,73389,2,2,2,247869374,25,1,3,26129,14719771,696181,49222,24342,3190333852,1544605,23094532,421
40076.79,8192,2,215834,14221878104,54,27,2027297,10,58776,5,7720956,56,1,4,31737,802246,2,10517,27,45245968,22986567,4175158385,27,70,2,1,2,2,1134,1,4159087004,4157509334,82404023,323211842,323211842,2,1,14220600152,73389,73389,2,2,2,323195458,25,1,3,32890,15498739,828129,57225,31733,4159087004,1970072,44417340,421
45086.12,8192,2,241285,15898860208,54,27,2274321,10,65752,5,7720956,56,1,4,35476,854276,2,10517,27,51058321,25523811,4667137410,27,70,2,1,2,2,1134,1,4649165212,4647740418,92494198,361313156,361329540,2,1,15897778864,73389,73389,2,2,2,361313156,25,1,3,34330,17451731,941870,65200,35472,4649165212,2209121,50115846,421
50096.86,8192,2,248282,16359804668,54,27,2376741,10,67650,5,7720956,56,1,4,36505,1034408,2,10517,27,53607341,30904091,4802619197,27,70,2,1,2,2,1134,1,4784038300,4782483185,102965757,371787677,371804061,2,1,16358657788,73389,73389,2,2,2,371787677,25,1,3,38467,20362270,1044781,69959,36501,4784038300,2306782,52562382,421
