timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5023.87,8192,2,33028,2175937444,53,27,301499,6,8899,5,7455504,56,1,4,4873,23620,2,3382,27,7218092,1213214,640419988,27,63,2,1,2,2,1095,1,637968796,636223467,9791458,49444187,49444187,2,1,2174823332,73389,73389,2,2,2,49427803,16,1,3,20945,1416185,206309,8859,4869,637968796,292640,7011130,321
10040.13,8192,2,43435,2861686924,53,27,437933,6,11737,5,7455504,56,1,4,6402,186283,2,3382,27,11023044,5396590,841686774,27,63,2,1,2,2,1095,1,838377884,836697705,20148011,65027913,65027913,2,1,2860507276,73389,73389,2,2,2,65011529,16,1,3,23351,3952721,340016,15096,6398,838377884,422837,10682603,321
15074.59,8192,2,52014,3427105692,53,27,559852,6,14077,5,7455504,56,1,4,7663,283845,2,3382,27,13505248,9720865,1007828527,27,63,2,1,2,2,1095,1,1003790748,1001971755,28985469,77863445,77879829,2,1,3425991580,73389,73389,2,2,2,77863445,16,1,3,26581,6603331,430068,20522,7660,1003790748,539330,13075357,321
20099.83,8192,2,64887,4275263304,53,27,723671,6,17588,5,7455504,56,1,4,9556,365109,2,3382,27,17771974,13519144,1256856296,27,63,2,1,2,2,1095,1,1251778972,1249909926,40114375,97151670,97168054,2,1,4274673480,73389,73389,2,2,2,97151670,16,1,3,29353,9013329,572384,27616,9552,1251778972,696055,17199690,321
25119.20,8192,2,88820,5852230856,53,27,973447,6,24113,5,7455504,56,1,4,13072,418971,2,3382,27,24600060,15746242,1719518534,27,63,2,1,2,2,1095,1,1712628124,1710886922,50808014,132996310,132996310,2,1,5851837640,73389,73389,2,2,2,132996310,16,1,3,32591,10953480,728909,36777,13069,1712628124,936670,23870679,321
30130.05,8192,2,104008,6853166116,53,27,1171875,6,28258,5,7455504,56,1,4,15305,517845,2,3382,27,26684023,18475762,2013274104,27,63,2,1,2,2,1095,1,2005180828,2003496436,56082315,155732923,155749307,2,1,6852248612,73389,73389,2,2,2,155732923,16,1,3,33613,13506562,861689,46539,15301,2005180828,1125336,25821800,321
35140.12,8192,2,121936,8034466372,53,27,1400939,6,33146,5,7455504,56,1,4,17939,578316,2,3382,27,35219899,21934828,2360051273,27,63,2,1,2,2,1095,1,2350555548,2348784336,71044461,182583635,182600019,2,1,8033679940,73389,73389,2,2,2,182583635,16,1,3,37573,15836349,1066571,59339,17935,2350555548,1341600,34152501,321
40145.74,8192,2,164630,10847591120,53,27,1753253,6,44791,5,7455504,56,1,4,24214,578564,2,3382,27,39606040,21969716,3185629375,27,63,2,1,2,2,1095,1,3173032348,3171096939,76464164,246513820,246530204,2,1,10846608080,73389,73389,2,2,2,246513820,16,1,3,39004,16497707,1146586,65947,24210,3173032348,1687306,38458825,321
45150.25,8192,2,207627,13681104180,54,27,2100220,6,56572,5,7720956,56,1,4,30532,578720,2,3382,27,52285263,22077699,4016865034,27,63,2,1,2,2,1095,1,4001145244,3999412144,92043396,310923015,310923015,2,1,13679891764,73389,73389,2,2,2,310906631,16,1,3,40502,17124783,1239334,72354,30528,4001145244,2027866,51045362,321
50154.66,8192,2,250743,16522150572,54,27,2466147,6,68332,5,7720956,56,1,4,36866,578838,2,3382,27,56684960,22077872,4850204265,27,63,2,1,2,2,1095,1,4831355292,4829925560,97473414,375481825,375498209,2,1,16521200300,73389,73389,2,2,2,375481825,16,1,3,42254,17775956,1311474,78876,36862,4831355292,2387271,55372770,321
55165.07,8192,2,289514,19076850332,54,27,2823387,6,78907,5,7720956,56,1,4,42565,591271,2,3382,27,60758125,22448945,5599885571,27,63,2,1,2,2,1095,1,5578203548,5576763331,102904538,433549141,433565525,2,1,19076162204,73389,73389,2,2,2,433549141,16,1,3,42292,18740435,1397568,85945,42561,5578203548,2737442,59360212,321
60179.95,8192,2,304978,20095873528,54,27,3017147,6,83124,5,7720956,56,1,4,44840,649103,2,3382,27,74610485,25720158,5899430467,27,63,2,1,2,2,1095,1,5876523420,5874641942,123417570,456711738,456711738,2,1,20095316472,73389,73389,2,2,2,456711738,16,1,3,45165,20974818,1597991,94272,44836,5876523420,2922875,73012405,321
65197.11,8192,2,315660,20799645408,54,27,3165400,6,86035,5,7720956,56,1,4,46408,730289,2,3382,27,78238575,29733397,6105826211,27,63,2,1,2,2,1095,1,6082044316,6080409804,133912293,472688680,472705064,2,1,20798301920,73389,73389,2,2,2,472688680,16,1,3,47699,23551944,1725038,105803,46404,6082044316,3059597,76514644,321
70213.10,8192,2,324822,21403537116,54,27,3294024,6,88536,5,7720956,56,1,4,47756,858887,2,3382,27,80785685,33893630,6283280410,27,63,2,1,2,2,1095,1,6258729372,6256889955,142416910,486431365,486431365,2,1,21402980060,73389,73389,2,2,2,486431365,16,1,3,52127,26229939,1831162,111769,47752,6258729372,3182255,78955742,321
75227.16,8192,2,334370,22032460268,54,27,3422262,6,91136,5,7720956,56,1,4,49158,965947,2,3382,27,84727989,38453086,6467839341,27,63,2,1,2,2,1095,1,6442492316,6440740033,154629483,500725073,500725073,2,1,22031182316,73389,73389,2,2,2,500708689,16,1,3,55723,28855585,1945388,118851,49154,6442492316,3303411,82784335,321
80237.79,8192,2,342218,22549706768,54,27,3531108,6,93280,5,7720956,56,1,4,50309,1124663,2,3382,27,87180293,42982297,6619504711,27,63,2,1,2,2,1095,1,6593487260,6591900494,164023794,512473228,512489612,2,1,22548822032,73389,73389,2,2,2,512473228,16,1,3,60529,31856650,2047387,125252,50306,6593487260,3405856,85134799,321
85258.78,8192,2,348714,22977817692,54,27,3628092,6,95040,5,7720956,56,1,4,51266,1273181,2,3382,27,89207698,48109073,6745378264,27,63,2,1,2,2,1095,1,6718792092,6717085379,173240590,522210469,522210469,2,1,22977260636,73389,73389,2,2,2,522210469,16,1,3,69911,34946142,2137493,131966,51262,6718792092,3496126,87071897,321
90276.86,8192,2,355388,23417594024,54,27,3727351,6,96871,5,7720956,56,1,4,52246,1494225,2,3382,27,91823285,54607956,6874545219,27,63,2,1,2,2,1095,1,6847373724,6845670022,184504358,532193470,532209854,2,1,23416512680,73389,73389,2,2,2,532193470,16,1,3,77905,38152680,2226924,142222,52243,6847373724,3585129,89598105,321
95290.78,8192,2,365264,24068278436,54,27,3859957,6,99565,5,7720956,56,1,4,53698,1584085,2,3382,27,94609327,58631126,7065552739,27,63,2,1,2,2,1095,1,7037559196,7035830578,193973804,546984731,547001115,2,1,24067328164,73389,73389,2,2,2,546984731,16,1,3,80090,40769367,2315197,148501,53694,7037559196,3711456,92295319,321
