timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5017.79,1,8192,2,15803,1040974448,53,27,205584,8,4201,5,7455504,56,1,4,2343,43018,2,8174,27,2242830,2784182,307622251,27,40,2,1,2,2,793,1,306356636,304420544,5483105,23631700,23648084,2,1,1039794800,73389,73389,2,2,2,23631700,12,3,19280,2515618,192275,12119,2339,306356636,193465,2051130,231
10027.36,1,8192,2,29498,1943268104,53,27,373337,8,7938,5,7455504,56,1,4,4355,150428,2,8174,27,8972055,6968164,572437539,27,40,2,1,2,2,793,1,570073500,568220892,19388720,44154758,44154758,2,1,1942809352,73389,73389,2,2,2,44154758,12,3,24562,5312602,350886,19725,4351,570073500,353612,8621231,231
15032.02,1,8192,2,62041,4087686040,53,27,667942,8,16791,5,7455504,56,1,4,9137,165606,2,8174,27,16376436,8470322,1201502961,27,40,2,1,2,2,793,1,1196728732,1195026692,30327252,92884082,92900466,2,1,4086899608,73389,73389,2,2,2,92884082,12,3,36355,6696263,496920,29752,9133,1196728732,638190,15879243,231
20035.84,1,8192,2,108199,7129154752,53,27,1064440,8,29393,5,7455504,56,1,4,15920,166216,2,8174,27,25425298,8470699,2094085429,27,40,2,1,2,2,793,1,2085921180,2084173461,41157706,162005392,162021776,2,1,7128237248,73389,73389,2,2,2,162005392,12,3,45807,7454076,617229,38234,15916,2085921180,1026206,24807964,231
25046.48,1,8192,2,124929,8231677428,53,27,1252662,8,33962,5,7455504,56,1,4,18381,275374,2,8174,27,29864179,11794770,2417969844,27,40,2,1,2,2,793,1,2408489372,2406444023,50519914,187064215,187080599,2,1,8230825460,73389,73389,2,2,2,187064215,12,3,46323,9877245,742093,45856,18377,2408489372,1206806,29122020,231
30050.68,1,8192,2,154994,10212635348,53,27,1527593,8,42143,5,7455504,56,1,4,22795,309804,2,8174,27,37178642,13649336,2998808842,27,40,2,1,2,2,793,1,2987041180,2985491678,61653232,232083007,232099391,2,1,10211652308,73389,73389,2,2,2,232083007,12,3,57192,11383622,883885,54581,22791,2987041180,1473012,36295150,231
35054.87,1,8192,2,200041,13181028112,53,27,1889169,8,54448,5,7455504,56,1,4,29417,310876,2,8174,27,45215077,13649680,3870091131,27,40,2,1,2,2,793,1,3854999964,3853244642,71070430,299543500,299559884,2,1,13179914000,73389,73389,2,2,2,299543500,12,3,69205,12119782,1003573,64698,29413,3854999964,1824471,44212400,231
40060.27,1,8192,2,246800,16262161478,54,27,2270577,8,67201,5,7720956,56,1,4,36287,312065,2,8174,27,55406439,13650337,4774013627,27,40,2,1,2,2,793,1,4755464604,4753973618,82892063,369580155,369580155,2,1,16260805924,73389,73389,2,2,2,369563771,12,3,76929,12881725,1157726,74738,36283,4755464604,2195839,54250212,231
45076.46,1,8192,2,260461,17162480296,54,27,2434789,8,70984,5,7720956,56,1,4,38294,382303,2,8174,27,59463875,17603706,5038180009,27,40,2,1,2,2,793,1,5018526108,5017138278,92875299,390043710,390060094,2,1,17161923240,73389,73389,2,2,2,390043710,12,3,78780,15559241,1273921,81009,38290,5018526108,2353780,58191673,231
50086.53,1,8192,2,269095,17731503544,54,27,2549638,8,73338,5,7720956,56,1,4,39564,558361,2,8174,27,62269903,22352159,5205375166,27,40,2,1,2,2,793,1,5184987548,5183435941,102983348,402977546,402977546,2,1,17731012024,73389,73389,2,2,2,402977546,12,3,82034,18269201,1386154,86526,39560,5184987548,2463112,60884511,231
55091.96,1,8192,2,291460,19205179744,54,27,2764381,8,79383,5,7720956,56,1,4,42851,634052,2,8174,27,67683726,25374287,5637905976,27,40,2,1,2,2,793,1,5615821212,5614291952,113597841,436467208,436467208,2,1,19203836256,73389,73389,2,2,2,436450824,12,3,92311,20304332,1534216,93318,42847,5615821212,2671063,66150374,231
