timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5019.68,1,8192,2,13467,887085996,53,27,177947,3,3565,5,7455504,56,1,4,1999,91296,2,4575,27,4314055,3560838,262363745,27,65,2,1,2,2,575,1,261267868,259432568,9910041,20140193,20156577,2,1,886168492,73389,73389,2,2,2,20140193,10,3,21452,2426290,220707,7768,1995,261267868,170179,4092360,386
10033.92,1,8192,2,29047,1913711368,53,27,372355,3,7813,5,7455504,56,1,4,4288,153804,2,4575,27,7927167,6727696,563623023,27,65,2,1,2,2,575,1,561291676,559551132,18172804,43483014,43483014,2,1,1912531720,73389,73389,2,2,2,43466630,10,3,24949,4875552,376119,16973,4284,561291676,355382,7557788,386
15041.83,1,8192,2,86379,5691461124,53,27,860805,3,23447,5,7455504,56,1,4,12715,161173,2,4575,27,17775410,7482389,1672431423,27,65,2,1,2,2,575,1,1665835420,1663888666,30947304,129340963,129340963,2,1,5691002372,73389,73389,2,2,2,129340963,10,3,34081,6041161,533796,27226,12711,1665835420,833579,17240814,386
20050.83,1,8192,2,100914,6649335924,53,27,1043725,3,27415,5,7455504,56,1,4,14851,287336,2,4575,27,22387613,11102675,1953690544,27,65,2,1,2,2,575,1,1945936284,1943853105,40806426,151104887,151121271,2,1,6648615028,73389,73389,2,2,2,151104887,10,3,35776,8732482,677184,34988,14848,1945936284,1008737,21708687,386
25058.40,1,8192,2,112149,7389614664,53,27,1188783,3,30478,5,7455504,56,1,4,16502,404655,2,4575,27,26019875,15385576,2170877729,27,65,2,1,2,2,575,1,2162336156,2160332251,51205077,167923446,167939830,2,1,7388631624,73389,73389,2,2,2,167923446,10,3,37784,11401480,796284,41522,16499,2162336156,1147261,25222087,386
30070.20,1,8192,2,123831,8159187996,53,27,1342521,3,33664,5,7455504,56,1,4,18217,530482,2,4575,27,29437337,19578267,2396616527,27,65,2,1,2,2,575,1,2386993564,2385289777,60804905,185413749,185430133,2,1,8158204956,73389,73389,2,2,2,185413749,10,3,43924,14118552,926844,48648,18213,2386993564,1293873,28508762,386
35080.01,1,8192,2,150432,9912067404,53,27,1616906,3,40918,5,7455504,56,1,4,22126,565176,2,4575,27,34442149,21644460,2910843855,27,65,2,1,2,2,575,1,2899222940,2897668391,69231149,225247449,225263833,2,1,9910887756,73389,73389,2,2,2,225247449,10,3,48932,15960709,1075362,57677,22122,2899222940,1559229,33363273,386
40089.74,1,8192,2,165905,10931680424,53,27,1816846,3,45137,5,7455504,56,1,4,24400,678053,2,4575,27,41407758,25009278,3210262531,27,65,2,1,2,2,575,1,3197411740,3195669948,81445301,248426430,248442814,2,1,10930762920,73389,73389,2,2,2,248426430,10,3,54370,18427060,1228314,66256,24396,3197411740,1750590,40175469,386
45100.98,1,8192,2,176776,11648104060,53,27,1959441,3,48099,5,7455504,56,1,4,25998,831000,2,4575,27,43833174,28835415,3420608111,27,65,2,1,2,2,575,1,3406864796,3405090100,89267419,264704317,264720701,2,1,11646989948,73389,73389,2,2,2,264704317,10,3,57170,21137572,1365466,76376,25994,3406864796,1883065,42463837,386
50105.14,1,8192,2,210839,13892667620,54,27,2243818,3,57448,5,7720956,56,1,4,31002,853748,2,4575,27,52049316,30650084,4079004067,27,65,2,1,2,2,575,1,4062749084,4061269989,101939522,315731275,315731275,2,1,13891455204,73389,73389,2,2,2,315714891,10,3,65000,22507293,1516745,84710,30998,4062749084,2159108,50528700,386
