timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5024.68,1,8192,2,8946,589205028,53,27,138054,4,2332,5,7455504,56,1,4,1334,91941,2,11943,27,2875307,4529081,174874974,27,84,2,1,2,2,921,1,174104988,172369832,9450250,13370171,13386555,2,1,588287524,73389,73389,2,2,2,13370171,23,3,18836,2795727,223415,6238,1330,174104988,131816,2651635,515
10029.45,1,8192,2,33346,2197043344,53,27,381910,4,8986,5,7455504,56,1,4,4920,112692,2,11943,27,6394297,6592813,646735254,27,84,2,1,2,2,921,1,644129180,642424984,16689081,49908972,49925356,2,1,2195994768,73389,73389,2,2,2,49908972,23,3,21016,4545322,339066,14727,4916,644129180,367183,6054500,515
15034.96,1,8192,2,77219,5087965940,53,27,736625,4,20953,5,7455504,56,1,4,11368,112741,2,11943,27,10823663,6592914,1495070452,27,84,2,1,2,2,921,1,1489281436,1487457072,22117724,115620695,115637079,2,1,5087310580,73389,73389,2,2,2,115620695,23,3,21020,5166020,411461,21407,11364,1489281436,715218,10411173,515
20039.99,1,8192,2,121230,7987932504,53,27,1093532,4,32956,5,7455504,56,1,4,17835,112798,2,11943,27,15249856,6593095,2345904818,27,84,2,1,2,2,921,1,2336924060,2335218569,27548160,181529026,181545410,2,1,7987277144,73389,73389,2,2,2,181529026,23,3,21020,5787943,475315,28043,17831,2336924060,1065489,14773543,515
25044.94,1,8192,2,165235,10887505852,53,27,1459958,4,44956,5,7455504,56,1,4,24303,112860,2,11943,27,19669061,6593239,3196739639,27,84,2,1,2,2,921,1,3184566684,3182783922,32988501,247420973,247437357,2,1,10886522812,73389,73389,2,2,2,247420973,23,3,21020,6419453,542403,34709,24299,3184566684,1425249,19125868,515
30049.41,1,8192,2,210529,13872351460,54,27,1836180,4,57310,5,7720956,56,1,4,30958,112952,2,11943,27,44229005,6796756,4072466404,27,84,2,1,2,2,921,1,4056981916,4055327577,62200184,315256139,315272523,2,1,13871270116,73389,73389,2,2,2,315256139,23,3,29817,7071680,688192,41811,30954,4056981916,1794369,43540014,515
35054.13,1,8192,2,258742,17049293008,54,27,2247222,4,70513,5,7720956,56,1,4,38043,113075,2,11943,27,49621582,6796976,5004624005,27,84,2,1,2,2,921,1,4985627036,4984044170,68766494,387459356,387475740,2,1,17048211664,73389,73389,2,2,2,387459356,23,3,29946,7777588,761401,49283,38039,4985627036,2197939,48858914,515
40058.52,1,8192,2,311250,20509038936,54,27,2688266,4,84781,5,7720956,56,1,4,45757,113206,2,11943,27,62271135,6797313,6019638965,27,84,2,1,2,2,921,1,5996716444,5995414999,83240795,466098882,466115266,2,1,20508350808,73389,73389,2,2,2,466098882,23,3,37865,8545149,880101,57892,45753,5996716444,2630374,61389525,515
45066.91,1,8192,2,335982,22138900656,54,27,2963785,4,91579,5,7720956,56,1,4,49395,193152,2,11943,27,66835735,8848637,6498378935,27,84,2,1,2,2,921,1,6473556380,6471826748,90769292,503135236,503151620,2,1,22137950384,73389,73389,2,2,2,503135236,23,3,37887,10595714,1031135,67604,49391,6473556380,2896181,65804064,515
50076.75,1,8192,2,367769,24233242472,54,27,3264537,4,100249,5,7720956,56,1,4,54065,218311,2,11943,27,72760187,10610110,7112837520,27,84,2,1,2,2,921,1,7085662620,7084081611,99985319,550738382,550754766,2,1,24232488808,73389,73389,2,2,2,550738382,23,3,42758,12182850,1165273,78471,54061,7085662620,3186066,71594476,515
55092.49,1,8192,2,387291,25519803468,54,27,3523174,4,105571,5,7720956,56,1,4,56935,276926,2,11943,27,81517903,13233887,7490524221,27,84,2,1,2,2,921,1,7461839260,7460172150,112920650,579966489,579982873,2,1,25518525516,73389,73389,2,2,2,579966489,23,3,45212,14453816,1364702,89911,56931,7461839260,3433263,80151722,515
