timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.77,8192,2,50705,3340788164,53,27,398560,3,13720,5,7455504,56,1,4,7471,153,2,16,27,6084198,328,982203949,27,7,3,1,2,1,2,2,325,1,978493852,976762573,7267842,75901683,75918067,2,1,3339674052,73389,73389,2,2,2,75901683,5,3,24604,711837,116853,7947,7467,978493852,390613,5967170,72
10011.81,8192,2,99159,6533523888,53,27,778484,3,26935,5,7455504,56,1,4,14591,257,2,16,27,10466346,405,1918929042,27,7,3,1,2,1,2,2,325,1,1911726492,1910047637,12722562,148465348,148481732,2,1,6532475312,73389,73389,2,2,2,148465348,5,3,24604,1385514,183754,15481,14587,1911726492,763003,10282530,72
15023.62,8192,2,142016,9357596456,53,27,1143447,3,38623,5,7455504,56,1,4,20890,15889,2,16,27,14430163,456036,2747659201,27,7,3,1,2,1,2,2,325,1,2737349020,2735547612,18171410,212663710,212663710,2,1,9356482344,73389,73389,2,2,2,212647326,5,3,25253,2402598,274829,24585,20886,2737349020,1118862,14161401,72
20035.07,8192,2,160496,10575338036,53,27,1381441,3,43663,5,7455504,56,1,4,23605,77946,2,16,27,16839862,2825795,3104954495,27,7,3,1,2,1,2,2,325,1,3093209500,3091510831,23484854,240339655,240339655,2,1,10574223924,73389,73389,2,2,2,240323271,5,3,25697,4766424,417380,36536,23601,3093209500,1344905,16423164,72
25043.60,8192,2,192683,12696159704,53,27,1685873,3,52439,5,7455504,56,1,4,28336,103359,2,16,27,20245134,3989719,3727433576,27,7,3,1,2,1,2,2,325,1,3713311132,3711480047,28877084,288538658,288538658,2,1,12695700952,73389,73389,2,2,2,288538658,5,3,27133,6316802,541227,45346,28332,3713311132,1640527,19704297,72
30048.24,8192,2,222742,14676989860,54,27,1982996,3,60640,5,7720956,56,1,4,32752,137645,2,16,27,47376532,6511729,4308507706,27,7,3,1,2,1,2,2,325,1,4292125084,4290558412,62494006,333555291,333555291,2,1,14676432804,73389,73389,2,2,2,333555291,5,3,38093,7995544,777934,58492,32748,4292125084,1924504,46598368,72
35061.78,8192,2,269426,17753195960,54,27,2358326,3,73426,5,7720956,56,1,4,39612,139358,2,16,27,55357676,6859281,5211171472,27,7,3,1,2,1,2,2,325,1,5191279004,5189790461,72014721,403469066,403469066,2,1,17752638904,73389,73389,2,2,2,403469066,5,3,39251,8974622,880119,67878,39608,5191279004,2290448,54478141,72
40065.95,8192,2,289418,19070558876,54,27,2611749,3,78880,5,7720956,56,1,4,42550,189979,2,16,27,59126726,8955522,5597805900,27,7,3,1,2,1,2,2,325,1,5576368540,5574886520,78589191,433401685,433418069,2,1,19069674140,73389,73389,2,2,2,433401685,5,3,40533,11033169,1037898,78303,42546,5576368540,2533446,58088854,72
45070.04,8192,2,344168,22678298324,54,27,3034063,3,93757,5,7720956,56,1,4,50596,190161,2,16,27,71856060,9346070,6656464119,27,7,3,1,2,1,2,2,325,1,6630973852,6629552706,93833792,515391295,515407679,2,1,22677216980,73389,73389,2,2,2,515391295,5,3,52262,11820765,1164259,86960,50592,6630973852,2947103,70692012,72
50074.44,8192,2,400422,26384869368,54,27,3493997,3,109099,5,7720956,56,1,4,58865,190464,2,16,27,80963223,9346209,7744203420,27,7,3,1,2,1,2,2,325,1,7714528031,7713055506,104411917,599631546,599647930,2,1,26383788024,73389,73389,2,2,2,599631546,5,3,55968,12661835,1266345,96056,58861,7714528031,3397941,79696941,72
