timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,RWLockReadersWaitMilliseconds,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5006.97,8192,2,54033,3559953780,53,27,432036,4,14573,5,7455504,56,1,4,7959,363,2,14,27,9051231,491,1046503965,27,4,2,1,2,2,289,1,1,1042456988,1040765431,10520295,80890167,80906551,2,1,3559167348,73389,73389,2,2,2,80890167,5,3,21124,805984,136362,9033,7955,1042456988,423003,8915003,60
10014.49,8192,2,73027,4811646316,53,27,664431,4,19810,5,7455504,56,1,4,10751,49122,2,14,27,13842669,2731343,1413934338,27,4,2,1,2,2,289,1,1,1408410012,1406706371,19247633,109342193,109358577,2,1,4811056492,73389,73389,2,2,2,109342193,5,3,21645,3062099,296696,23589,10747,1408410012,640842,13546379,60
15032.53,8192,2,82531,5437951336,53,27,789341,4,22402,5,7455504,56,1,4,12147,219545,2,14,27,17941031,7299606,1597832863,27,4,2,1,2,2,289,1,1,1591517596,1589778560,30644744,123576398,123592782,2,1,5437361512,73389,73389,2,2,2,123576398,5,3,27626,5846771,428547,29145,12144,1591517596,760196,17513598,60
20062.62,8192,2,89718,5911613088,53,27,890252,4,24361,5,7455504,56,1,4,13203,397842,2,14,27,20421440,13146223,1736735231,27,4,2,1,2,2,289,1,1,1729798556,1728216519,40812274,134335480,134351864,2,1,5910761120,73389,73389,2,2,2,134335480,5,3,32289,8989264,532172,34560,13200,1729798556,855692,19891011,60
25096.04,8192,2,96313,6345946624,53,27,982890,4,26160,5,7455504,56,1,4,14173,616979,2,14,27,22385006,18306145,1864452096,27,4,2,1,2,2,289,1,1,1856938396,1855252667,49957131,144214144,144214144,2,1,6345422336,73389,73389,2,2,2,144214144,5,3,34987,12014831,627360,38799,14169,1856938396,944091,21759648,60
30106.27,8192,2,102873,6778251852,53,27,1087210,4,27949,5,7455504,56,1,4,15138,785867,2,14,27,24618898,24230820,1991509307,27,4,2,1,2,2,289,1,1,1983422876,1981550608,60239027,154033305,154049689,2,1,6777465420,73389,73389,2,2,2,154033305,5,3,39641,15270861,725401,56039,15134,1983422876,1031171,23895301,60
35121.05,8192,2,111568,7351272796,53,27,1203885,4,30319,5,7455504,56,1,4,16414,917374,2,14,27,27555867,28927481,2159493838,27,4,2,1,2,2,289,1,1,2150670748,2149090741,70884841,167065445,167065445,2,1,7350879580,73389,73389,2,2,2,167065445,5,3,45568,18042497,844953,61011,16410,2150670748,1142874,26711517,60
40139.70,8192,2,120104,7913608064,53,27,1322620,4,32637,5,7455504,56,1,4,17671,1078906,2,14,27,30463388,33690235,2324977460,27,4,2,1,2,2,289,1,1,2315428252,2313475891,81298839,179845792,179845792,2,1,7913214848,73389,73389,2,2,2,179845792,5,3,49923,20690107,931079,69604,17667,2315428252,1253016,29533520,60
45144.64,8192,2,154755,10196972244,53,27,1648950,4,42043,5,7455504,56,1,4,22760,1119270,2,14,27,37671961,35653541,2994613743,27,4,2,1,2,2,289,1,1,2982453660,2980919015,92316142,231738943,231738943,2,1,10196513492,73389,73389,2,2,2,231738943,5,3,60721,22330659,1085701,77958,22756,2982453660,1570992,36587229,60
50149.37,8192,2,208960,13768994572,54,27,2127341,4,56881,5,7720956,56,1,4,30726,1119726,2,14,27,46600777,35653981,4042737098,27,4,2,1,2,2,289,1,1,4026573212,4025145071,102913651,312917545,312917545,2,1,13768371980,73389,73389,2,2,2,312917545,5,3,64702,23194833,1193165,87085,30722,4026573212,2040256,45408990,60
55159.26,8192,2,259820,17120206268,54,27,2568494,4,70807,5,7720956,56,1,4,38201,1129203,2,14,27,55149734,35865119,5026295019,27,4,2,1,2,2,289,1,1,5006336412,5004793655,113079254,389071021,389087405,2,1,17119124924,73389,73389,2,2,2,389071021,5,3,66638,24179963,1299731,96174,38197,5006336412,2472320,53851533,60
60168.32,8192,2,276077,18191464964,54,27,2766096,4,75241,5,7720956,56,1,4,40591,1195736,2,14,27,60105544,39376506,5340841172,27,4,2,1,2,2,289,1,1,5319598492,5317928718,123118269,413419299,413435683,2,1,18190449156,73389,73389,2,2,2,413419299,5,3,67300,26730462,1453588,105486,40587,5319598492,2660610,58653368,60
65173.09,8192,2,319113,21027268476,54,27,3152185,4,86925,5,7720956,56,1,4,46915,1212137,2,14,27,68572432,40233005,6172961513,27,4,2,1,2,2,289,1,1,6148497820,6146924082,134218176,477879805,477879805,2,1,21025990524,73389,73389,2,2,2,477863421,5,3,79220,27917614,1598497,114715,46911,6148497820,3037470,66975273,60
70177.73,8192,2,371946,24508579056,54,27,3608869,4,101332,5,7720956,56,1,4,54677,1212869,2,14,27,77583812,40233255,7194299457,27,4,2,1,2,2,289,1,1,7165878684,7164553058,144793343,557000500,557000500,2,1,24508022000,73389,73389,2,2,2,557000500,5,3,83083,28778518,1721980,124436,54673,7165878684,3484433,75863736,60
75191.32,8192,2,389519,25666614032,54,27,3816827,4,106174,5,7720956,56,1,4,57263,1292223,2,14,27,81761282,43435476,7534631003,27,4,2,1,2,2,289,1,1,7504830876,7503041273,153377364,583310540,583326924,2,1,25665663760,73389,73389,2,2,2,583310540,5,3,84293,31305646,1858591,132399,57259,7504830876,3684428,79904287,60
