timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5023.54,1,8192,2,21247,1399610596,53,27,273322,5,5686,5,7455504,56,1,4,3142,45996,2,6522,27,6545729,2251861,412732298,27,54,2,1,2,2,828,1,411083164,409297070,9995724,31784011,31800395,2,1,1398496484,73389,73389,2,2,2,31784011,10,3,21891,2017817,294244,12386,3138,411083164,260936,6250195,291
10034.23,1,8192,2,38267,2521138712,53,27,490010,5,10330,5,7455504,56,1,4,5643,117593,2,6522,27,12209736,5254261,741875965,27,54,2,1,2,2,828,1,738894236,737149770,20409493,57285202,57301586,2,1,2520548888,73389,73389,2,2,2,57285202,10,3,24900,4342041,484535,24967,5639,738894236,465043,11724753,291
15037.92,1,8192,2,72903,4803519852,53,27,804772,5,19774,5,7455504,56,1,4,10733,144060,2,6522,27,19030143,6698098,1411457478,27,54,2,1,2,2,828,1,1405919644,1404360813,29999849,109145585,109161969,2,1,4802405740,73389,73389,2,2,2,109145585,10,3,33841,5814365,627399,35057,10729,1405919644,769715,18401001,291
20042.41,1,8192,2,117454,7739141308,53,27,1201448,5,31924,5,7455504,56,1,4,17280,144183,2,6522,27,23406591,6698320,2272952970,27,54,2,1,2,2,828,1,2264179100,2262506532,35465994,175879149,175879149,2,1,7737961660,73389,73389,2,2,2,175862765,10,3,33841,6493146,697855,41858,17276,2264179100,1159590,22706488,291
25046.39,1,8192,2,165868,10929255592,53,27,1635652,5,45128,5,7455504,56,1,4,24395,144310,2,6522,27,27738377,6698491,3209029663,27,54,2,1,2,2,828,1,3196756380,3194983615,40986692,248377278,248393662,2,1,10928600232,73389,73389,2,2,2,248377278,10,3,35512,7235436,792073,49315,24391,3196756380,1586337,26943922,291
30050.59,1,8192,2,215855,14223254360,54,27,2051585,5,58818,5,7720956,56,1,4,31740,144451,2,6522,27,44997879,6698821,4175361622,27,54,2,1,2,2,828,1,4159480220,4157901261,61000775,323244610,323244610,2,1,14222762840,73389,73389,2,2,2,323244610,10,3,42770,7963287,914245,57021,31736,4159480220,1994564,44081930,291
35054.20,1,8192,2,262034,17266099328,54,27,2415463,5,71410,5,7720956,56,1,4,38525,144544,2,6522,27,49411598,6698940,5068030108,27,54,2,1,2,2,828,1,5048803740,5047404280,66434587,392398688,392398688,2,1,17264821376,73389,73389,2,2,2,392382304,10,3,42770,8601251,983961,63939,38521,5048803740,2351524,48426023,291
40072.75,1,8192,2,275912,18180651524,54,27,2696078,5,75196,5,7720956,56,1,4,40565,248291,2,6522,27,59090300,10020573,5336518267,27,54,2,1,2,2,828,1,5316190620,5314739898,82578395,413173539,413189923,2,1,18179635716,73389,73389,2,2,2,413173539,10,3,45303,11137110,1119429,71144,40562,5316190620,2624934,57967948,291
45082.75,1,8192,2,282984,18646511184,54,27,2803049,5,77111,5,7720956,56,1,4,41607,454003,2,6522,27,61825697,15590274,5473710697,27,54,2,1,2,2,828,1,5452767644,5450950671,93412918,423762748,423779132,2,1,18645560912,73389,73389,2,2,2,423762748,10,3,52079,14142868,1209158,79114,41603,5452767644,2723935,60614237,291
50098.65,1,8192,2,290475,19140095880,54,27,2913238,5,79168,5,7720956,56,1,4,42706,649131,2,6522,27,63857676,20106737,5618405529,27,54,2,1,2,2,828,1,5596815772,5595240165,101790028,434980582,434996966,2,1,19139145608,73389,73389,2,2,2,434980582,10,3,55832,16990859,1293732,85966,42702,5596815772,2827272,62562205,291
55102.61,1,8192,2,319079,21025040252,54,27,3204893,5,86968,5,7720956,56,1,4,46910,716674,2,6522,27,67842354,22210920,6171561324,27,54,2,1,2,2,828,1,6147842460,6146243492,110245751,477830653,477830653,2,1,21024548732,73389,73389,2,2,2,477830653,10,3,57599,18790604,1405612,95235,46907,6147842460,3109658,66434966,291
60106.80,1,8192,2,368793,24300882240,54,27,3645014,5,100528,5,7720956,56,1,4,54215,716737,2,6522,27,72164247,22211075,7132629471,27,54,2,1,2,2,828,1,7105323420,7103779258,115772082,552274160,552290544,2,1,24300063040,73389,73389,2,2,2,552274160,10,3,57657,19537830,1475613,102834,54211,7105323420,3542180,70687518,291
65118.17,1,8192,2,389399,25658749712,54,27,3911488,5,106147,5,7720956,56,1,4,57245,776267,2,6522,27,85625249,24633058,7531364955,27,54,2,1,2,2,828,1,7502471580,7500756730,133693071,583130316,583146700,2,1,25657733904,73389,73389,2,2,2,583130316,10,3,65265,21631798,1674124,114142,57241,7502471580,3797346,83948689,291
