timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5022.95,8192,2,15632,1029767792,53,27,200474,9,4156,5,7455504,56,1,4,2318,74735,2,1806,27,4951771,3440392,304336526,27,94,2,1,2,2,726,1,303079836,301112604,9967926,23385940,23402324,2,1,1028981360,73389,73389,2,2,2,23385940,15,1,3,3487,2600738,169880,10062,2314,303079836,190412,4782179,417
10028.21,8192,2,61915,4079428504,53,27,602721,9,16723,5,7455504,56,1,4,9118,86096,2,1806,27,13692786,3735637,1199047916,27,94,2,1,2,2,726,1,1194369436,1192659630,20708753,92703858,92703858,2,1,4078248856,73389,73389,2,2,2,92687474,15,1,3,13446,3517913,281399,18854,9114,1194369436,583867,13411733,417
15047.59,8192,2,98462,6487579844,53,27,919935,9,26746,5,7455504,56,1,4,14490,114930,2,1806,27,21317483,4426578,1905919264,27,94,2,1,2,2,726,1,1898488220,1896600086,30455575,147427123,147443507,2,1,6486793412,73389,73389,2,2,2,147427123,15,1,3,18060,4627597,401414,27487,14486,1898488220,892448,20915945,417
20060.39,8192,2,113732,7493889056,53,27,1106582,9,30910,5,7455504,56,1,4,16732,191620,2,1806,27,26174861,7876666,2201129514,27,94,2,1,2,2,726,1,2192482716,2190792565,40169047,170294808,170311192,2,1,7492971552,73389,73389,2,2,2,170294808,15,1,3,21850,7115395,551922,35050,16729,2192482716,1071532,25621917,417
25065.75,8192,2,152918,10076051708,53,27,1440026,9,41574,5,7455504,56,1,4,22491,201043,2,1806,27,33818153,8608407,2958762266,27,94,2,1,2,2,726,1,2947195292,2945579404,50208102,228990749,228990749,2,1,10074872060,73389,73389,2,2,2,228974365,15,1,3,30227,8134215,658528,47390,22487,2947195292,1392636,33158253,417
30071.37,8192,2,198831,13101210714,53,27,1806307,9,54064,5,7455504,56,1,4,29238,202181,2,1806,27,44335538,8608707,3846475306,27,94,2,1,2,2,726,1,3831538076,3829927189,62285132,297729194,297745578,2,1,13100084536,73389,73389,2,2,2,297729194,15,1,3,38568,8868179,769392,55904,29234,3831538076,1750403,43563759,417
35081.69,8192,2,232158,15297527712,54,27,2088202,9,63258,5,7720956,56,1,4,34138,229600,2,1806,27,52127362,9375583,4491246474,27,94,2,1,2,2,726,1,4473790876,4471967993,72050812,347658424,347658424,2,1,15296970656,73389,73389,2,2,2,347658424,15,1,3,40234,9962516,876469,63951,34134,4473790876,2024251,51248275,417
40100.69,8192,2,242228,15960926108,54,27,2220690,9,66010,5,7720956,56,1,4,35615,348644,2,1806,27,55746136,13619117,4685808731,27,94,2,1,2,2,726,1,4667515292,4665852812,82249977,362728213,362744597,2,1,15960041372,73389,73389,2,2,2,362728213,15,1,3,42435,12711819,971887,69491,35612,4667515292,2151199,54771909,417
45113.58,8192,2,250517,16507098116,54,27,2330665,9,68269,5,7720956,56,1,4,36834,448605,2,1806,27,58211687,18127944,4846164863,27,94,2,1,2,2,726,1,4827160988,4825567246,91773464,375148112,375148112,2,1,16506516928,73389,73389,2,2,2,375148112,15,1,3,46622,15408734,1080457,74391,36830,4827160988,2256274,57128077,417
50118.83,8192,2,281826,18570355044,54,27,2613908,9,76808,5,7720956,56,1,4,41436,466721,2,1806,27,63537000,19916376,5451681689,27,94,2,1,2,2,726,1,5430354332,5428678765,100502476,422036395,422052779,2,1,18569601380,73389,73389,2,2,2,422036395,15,1,3,55632,16772126,1214855,81924,41432,5430354332,2531984,62318706,417
55123.04,8192,2,326043,21483822024,54,27,3006259,9,88815,5,7720956,56,1,4,47932,467375,2,1806,27,74876007,19916732,6306372194,27,94,2,1,2,2,726,1,6281798044,6280397595,113730636,488239638,488256022,2,1,21482544072,73389,73389,2,2,2,488239638,15,1,3,65698,17498928,1358286,89466,47928,6281798044,2916793,73514813,417
60128.09,8192,2,373652,24620914376,54,27,3407296,9,101851,5,7720956,56,1,4,54930,468106,2,1806,27,82617511,19916956,7227181442,27,94,2,1,2,2,726,1,7199039900,7197427168,122938462,559552086,559552086,2,1,24619570888,73389,73389,2,2,2,559535702,15,1,3,72030,18248769,1476943,98342,54926,7199039900,3308954,81137679,417
