timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5022.56,1,8192,2,14501,955115672,53,27,193318,12,3847,5,7455504,56,1,4,2149,91120,2,4581,27,2690756,2935691,282226844,27,70,2,1,2,2,681,1,281059740,279315899,6231931,21686322,21702706,2,1,954198168,73389,73389,2,2,2,21686322,8,3,17278,2555108,215667,8571,2146,281059740,184747,2475376,319
10031.24,1,8192,2,32885,2166565796,53,27,433328,12,8858,5,7455504,56,1,4,4853,161053,2,4581,27,10415680,6105803,637948586,27,70,2,1,2,2,681,1,635347356,633510385,19865816,49214811,49231195,2,1,2165451684,73389,73389,2,2,2,49214811,8,3,22238,4639104,435144,19364,4849,635347356,413964,9979397,319
15035.55,1,8192,2,76469,5038548488,53,27,787428,12,20746,5,7455504,56,1,4,11258,162477,2,4581,27,14787543,6148210,1480634381,27,70,2,1,2,2,681,1,1474863516,1473053073,25295030,114500550,114500550,2,1,5037303304,73389,73389,2,2,2,114484166,8,3,23303,5315976,514044,26186,11254,1474863516,761242,14272531,319
20040.62,1,8192,2,119816,7894733696,53,27,1134789,12,32569,5,7455504,56,1,4,17629,162478,2,4581,27,19178610,6148373,2318848422,27,70,2,1,2,2,681,1,2309923228,2307969836,30735978,179403424,179419808,2,1,7893750656,73389,73389,2,2,2,179403424,8,3,24666,5980192,575705,32750,17625,2309923228,1102039,18602196,319
25043.77,1,8192,2,162608,10714546424,53,27,1477202,12,44239,5,7455504,56,1,4,23913,162478,2,4581,27,23565565,6148584,3145618107,27,70,2,1,2,2,681,1,3133579676,3132194290,36157060,243503482,243503482,2,1,10714153208,73389,73389,2,2,2,243503482,8,3,26320,6635157,651762,39206,23909,3133579676,1437996,22913240,319
30047.12,1,8192,2,206428,13601995612,54,27,1824572,12,56191,5,7720956,56,1,4,30355,162500,2,4581,27,45001014,6216944,3993188220,27,70,2,1,2,2,681,1,3977945500,3976319539,62293703,309108709,309125093,2,1,13600783196,73389,73389,2,2,2,309108709,8,3,36329,7271837,801227,45927,30351,3977945500,1778645,44199479,319
35050.55,1,8192,2,259317,17086976208,54,27,2276569,12,70615,5,7720956,56,1,4,38129,162548,2,4581,27,54111549,6217330,5016118143,27,70,2,1,2,2,681,1,4996899228,4995071337,72825264,388311324,388327708,2,1,17085698256,73389,73389,2,2,2,388311324,8,3,36899,8072682,896575,54914,38125,4996899228,2221655,53214538,319
40079.73,1,8192,2,280231,18465294220,54,27,2509863,12,76374,5,7720956,56,1,4,41201,269443,2,4581,27,58912750,8923742,5420400742,27,70,2,1,2,2,681,1,5399552412,5397944596,82194383,419648649,419648649,2,1,18464540556,73389,73389,2,2,2,419648649,8,3,37073,10294781,1005304,70694,41197,5399552412,2439169,57907295,319
45097.41,1,8192,2,287686,18956519620,54,27,2616491,12,78407,5,7720956,56,1,4,42298,383290,2,4581,27,61408508,13398505,5564836846,27,70,2,1,2,2,681,1,5543338396,5541580642,91565258,430817331,430817331,2,1,18955962564,73389,73389,2,2,2,430817331,8,3,42335,13018802,1140744,75648,42294,5543338396,2540843,60267961,319
50120.34,1,8192,2,293258,19323544376,54,27,2698688,12,79905,5,7720956,56,1,4,43115,691781,2,4581,27,63526296,19221838,5672551830,27,70,2,1,2,2,681,1,5650555292,5648857485,102147093,439149866,439166250,2,1,19322594104,73389,73389,2,2,2,439149866,8,3,49166,16183566,1229011,79750,43112,5650555292,2618938,62297393,319
