timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.93,8192,2,51030,3362087364,53,27,449138,18,5,13810,5,7455504,56,1,4,7519,31,2,10,27,5590033,282,988373670,9,14,18,2,1,2,2,247,1,984654236,982949180,6896265,76393203,76409587,2,1,3361300932,73389,73389,2,2,2,76393203,3,3,11745,779747,166854,8542,7515,984654236,440596,5423291,65
10018.62,8192,2,65429,4311049268,53,27,645799,18,5,17737,5,7455504,56,1,4,9636,104029,2,10,27,12519824,2875065,1267125246,9,14,18,2,1,2,2,247,1,1262264732,1260322804,17900896,97960519,97976903,2,1,4310262836,73389,73389,2,2,2,97960519,3,3,14681,3136611,342059,16887,9632,1262264732,628912,12177214,65
15029.00,8192,2,74263,4893179716,53,27,773466,18,5,20142,5,7455504,56,1,4,10933,161465,2,10,27,16534081,7641415,1437871127,9,14,18,2,1,2,2,247,1,1432265116,1430521190,30438221,111189267,111205651,2,1,4892327748,73389,73389,2,2,2,111189267,3,3,17515,5654275,732043,23568,10929,1432265116,749898,15801752,65
20033.96,8192,2,111019,7315028080,53,27,1109125,18,5,30169,5,7455504,56,1,4,16334,184439,2,10,27,20965305,8512405,2148482853,9,14,18,2,1,2,2,247,1,2140184988,2138510273,37042039,166240212,166240212,2,1,7313848432,73389,73389,2,2,2,166223828,3,3,18007,6820300,859870,31825,16330,2140184988,1077300,20105436,65
25037.81,8192,2,158428,10439013232,53,27,1515609,18,5,43099,5,7455504,56,1,4,23302,184519,2,10,27,25328303,8512610,3065083302,9,14,18,2,1,2,2,247,1,3053363612,3051663122,42525982,237241364,237241364,2,1,10438620016,73389,73389,2,2,2,237241364,3,3,18104,7518264,936950,39115,23298,3053363612,1476494,24390890,65
30042.65,8192,2,206791,13626050632,54,27,1906373,18,5,56344,5,7720956,56,1,4,30407,184591,2,10,27,41704376,8580688,3999967807,9,14,18,2,1,2,2,247,1,3984761244,3983316742,61672888,309671798,309671798,2,1,13624838216,73389,73389,2,2,2,309655414,3,3,25037,8203111,1060823,46624,30403,3984761244,1859749,40643665,65
35047.97,8192,2,250238,16488789440,54,27,2231884,18,5,68194,5,7720956,56,1,4,36791,184644,2,10,27,46169421,8580919,4839883552,9,14,18,2,1,2,2,247,1,4821524892,4820189815,67076691,374722128,374738512,2,1,16487773632,73389,73389,2,2,2,374722128,3,3,25038,8790308,1117879,53174,36787,4821524892,2178710,45051593,65
40052.59,8192,2,293513,19340256056,54,27,2554130,18,5,79996,5,7720956,56,1,4,43153,184753,2,10,27,50627618,8581038,5676773117,9,14,18,2,1,2,2,247,1,5655273884,5653755990,72468772,439526698,439543082,2,1,19339174712,73389,73389,2,2,2,439526698,3,3,25039,9377183,1182974,59711,43149,5655273884,2494419,49444889,65
45056.62,8192,2,336453,22169768112,54,27,2881961,18,5,91708,5,7720956,56,1,4,49464,184833,2,10,27,55075149,8581291,6507217571,9,14,18,2,1,2,2,247,1,6482600348,6480817854,77855466,503839748,503856132,2,1,22168948912,73389,73389,2,2,2,503839748,3,3,25039,9965597,1250108,66177,49460,6482600348,2815784,53825273,65
50068.32,8192,2,376054,24779393656,54,27,3210395,18,5,102506,5,7720956,56,1,4,55283,195838,2,10,27,59236013,8900188,7272814468,9,14,18,2,1,2,2,247,1,7245308316,7243681798,83265824,563147930,563164314,2,1,24778508920,73389,73389,2,2,2,563147930,3,3,26392,10800641,1336402,74481,55280,7245308316,3135914,57899916,65
55085.06,8192,2,393971,25959973016,54,27,3445691,18,5,107395,5,7720956,56,1,4,57916,273232,2,10,27,81661114,11848368,7619324875,9,14,18,2,1,2,2,247,1,7590420892,7588839916,114189171,589982258,589998642,2,1,25959219352,73389,73389,2,2,2,589982258,3,3,29052,13163561,1578848,88588,57912,7590420892,3357103,80082425,65
