timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.82,0,262144,64,49059,3232759050,2,7493568,171,7,7,2619,369,2,576,355835,2,19277,10,105043986,1154,1,4,299,60981715,4,243862120,9,8757,2895,2,69,576,20006524,41602,1054866196,576,222,2,1,3,1,2,2,666,3,1050063982,1020789262,28972458,61949880,61966264,3,1,3221393792,73389,73389,2,2,2,61949884,4,3,38172,888110,279944,14508,8748,1050063982,341327,19728020,1949
10013.22,0,262144,64,87520,5766816868,5,12752720,315,9,9,2619,595,2,576,604372,2,34421,10,110328894,1154,1,4,299,109061092,4,436244368,9,15356,4308,2,69,576,35212270,56463,1858535382,576,222,2,1,3,1,2,2,666,3,1850097310,1818692736,50473676,110697747,110697747,3,1,5756282876,73389,73389,2,2,2,110697751,4,3,47156,1511742,399051,24797,15345,1850097310,579575,34815520,1949
15017.09,0,262144,64,127490,8400082226,5,16473891,464,9,9,2619,868,2,576,867974,2,50177,10,114129684,1154,1,4,299,158893820,4,635445988,9,22307,5947,2,69,576,50785711,66373,2698799684,576,222,2,1,3,1,2,2,666,3,2686548403,2648317421,70849430,161303039,161303039,3,1,8387758060,73389,73389,2,2,2,161303043,4,3,59258,2167737,556732,35928,22296,2686548403,832046,50232013,1949
20020.77,2,262144,64,167673,11048356494,8,22347929,647,11,11,2619,1126,3,576,1119314,2,65951,10,117218580,1154,1,4,299,208758623,4,835034492,9,29568,6942,2,69,576,63787023,67893,3578203108,576,222,2,1,3,1,2,2,666,3,3562070704,3485559910,90730167,211994125,212010509,3,1,11023694532,73389,73389,2,2,2,211994129,4,3,73853,2791346,679145,45728,29555,3562070704,1073586,63111607,1949
25023.98,2,262144,64,205822,13562015344,8,25470966,888,16,16,2619,1368,3,576,1339648,2,80896,12,117508164,1154,1,4,299,256084646,4,1024338584,11,36498,7690,2,86,576,75464954,71137,4417568007,576,222,2,1,3,1,2,2,666,3,4397738107,4280662705,106416167,260078440,260094824,3,1,13524078912,73389,73389,2,2,2,260078444,4,3,88440,3344157,808054,54187,36480,4397738107,1285461,74661331,1949
30026.47,8,262144,64,232710,15335163570,14,33368328,1092,16,16,2619,1562,3,576,1492666,2,91438,12,117508164,1154,1,4,299,289390798,4,1157498676,11,41516,7948,2,86,576,83220271,71665,5019719475,576,222,2,1,3,1,2,2,666,3,4997228955,4842598320,122667621,293942331,293942331,3,1,15285001244,73389,73389,2,2,2,293942335,4,3,91349,3721846,869066,60101,41498,4997228955,1432565,82355735,1949
35032.13,30,262144,64,267976,17659906264,14,37732653,1370,28,28,2619,1778,7,576,1846941,2,105255,18,117508164,1154,1,4,299,333181940,4,1332663008,17,47910,56816,2,139,576,99915844,2086041,5796646890,576,222,2,1,3,1,2,2,666,3,5770575131,5577495276,146720248,338454934,338471318,3,1,17599656600,73389,73389,2,2,2,338454938,4,3,127429,5645876,1307361,76817,47880,5770575131,1770124,98612186,1949
40036.69,31,262144,64,293895,19366437078,31,61874964,1599,37,37,2619,1943,7,576,2016424,2,115418,18,117508164,1154,1,4,299,365398950,4,1461595800,17,52645,60586,2,139,576,108663493,2329195,6370197642,576,222,2,1,3,1,2,2,666,3,6341566199,6117618815,180943144,371103423,371136191,3,1,19297378028,73389,73389,2,2,2,371103427,4,3,152477,6176326,1472734,83984,52606,6341566199,1932440,107195358,1949
45048.01,59,262144,64,337357,22229929672,35,70057608,1839,54,54,2619,2223,10,576,2417125,2,132477,23,117508164,1154,1,4,299,419389776,4,1677341352,22,60582,88337,2,4266,576,127037962,4206884,7329677312,576,222,2,1,3,1,2,2,666,3,7296687435,7023484904,210933889,425863774,425912926,3,1,22144916280,73389,73389,2,2,2,425863778,4,3,204266,8167373,1960780,103438,60526,7296687435,2313687,125080843,1949
50057.00,200,262144,64,447491,29488502840,36,82378261,2491,57,57,2619,2934,31,576,4071671,2,175498,25,117508164,1154,1,4,299,555506973,4,2221769536,24,81917,314293,2,6464,576,194895406,15985819,9907783038,576,222,2,1,3,1,2,2,666,3,9862569233,9330517722,309066358,564044732,564077500,3,1,29329474128,73389,73389,2,2,2,564028352,4,3,269357,18574972,3844464,187951,81858,9862569233,3883720,191053892,1949
