timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.83,0,262144,64,68320,4501635982,4,7346977,254,9,9,1775,480,0,576,457840,0,1,26846,12,108470730,1154,1,4,283,85013333,4,339859668,11,12045,2106,2,45,576,25389763,4326,1457572418,576,98,0,3,1,2,2,639,3,1451054883,1420538546,34580037,86357661,86357661,3,1,4490598404,73389,73389,2,2,2,86357665,2,3,54480,1107558,310677,19219,12034,1451054883,438621,25080196,1373
10013.02,0,262144,64,122867,8095950962,4,10198198,501,9,9,1775,839,0,576,808002,0,1,48362,12,112271520,1154,1,4,283,153094973,4,612250884,11,21501,4020,2,45,576,46592596,15697,2602465992,576,98,0,3,1,2,2,639,3,2590762717,2552758983,60072758,155440170,155440170,3,1,8082888872,73389,73389,2,2,2,155440174,2,3,66539,1977523,504631,33926,21490,2590762717,774076,46089710,1373
15018.33,7,262144,64,182117,11999676284,5,13859571,728,11,11,1775,1228,1,576,1239132,0,1,71640,12,116024046,1154,1,4,283,226824042,4,907231580,11,32111,7183,2,45,576,71327640,82740,3884994309,576,98,0,3,1,2,2,639,3,3867462024,3785778168,90264831,230248443,230248443,3,1,11972919068,73389,73389,2,2,2,230248447,2,3,77479,3063679,735014,51853,32098,3867462024,1187279,70595022,1373
20023.42,8,262144,64,231335,15244038026,7,20493576,892,12,12,1775,1544,1,576,1609230,0,1,90916,12,117218580,1154,1,4,283,287849659,4,1151334180,11,41236,10133,2,45,576,91771752,137762,4988159281,576,98,0,3,1,2,2,639,3,4965644694,4813078032,118793762,292232806,292249190,3,1,15196105944,73389,73389,2,2,2,292232810,2,3,83814,3988747,942573,67205,41222,4965644694,1542025,90832347,1373
25028.33,12,262144,64,270078,17797723266,10,26001069,1031,14,14,1775,1784,1,576,1892867,0,1,106043,12,117508164,1154,1,4,283,335688460,4,1342753840,11,48679,12192,2,45,576,107130089,155185,5891870650,576,98,0,3,1,2,2,639,3,5865328154,5624861103,140892891,340843124,340843124,3,1,17723842480,73389,73389,2,2,2,340843128,2,3,97216,4701275,1097695,78741,48663,5865328154,1814126,106035708,1373
30033.66,14,262144,64,310147,20438309242,10,29665859,1178,14,14,1775,2048,1,576,2189254,0,1,121699,12,117508164,1154,1,4,283,385205869,4,1540629448,11,56465,14064,2,45,576,122702613,167134,6833133051,576,98,0,3,1,2,2,639,3,6802395934,6464542649,161320107,391108226,391108226,3,1,20337627784,73389,73389,2,2,2,391108230,2,3,109212,5440456,1259183,90909,56449,6802395934,2098345,121447493,1373
35038.31,14,262144,64,349920,23059146648,12,34585491,1389,15,15,1775,2298,1,576,2453988,0,1,137220,12,117508164,1154,1,4,283,434317742,4,1737270968,11,64164,15155,2,45,576,135869713,167591,7764607224,576,98,0,3,1,2,2,639,3,7729775376,7297983270,180465302,440953821,440953821,3,1,22929598724,73389,73389,2,2,2,440953825,2,3,121314,6103616,1400043,101602,64147,7729775376,2352386,134474321,1373
40042.54,39,262144,64,385734,25419935796,12,37420250,1615,20,20,1775,2539,1,576,2676080,0,1,151196,12,117508164,1154,1,4,283,478538416,4,1914153664,11,71123,15932,2,45,576,147747375,173113,8605327226,576,98,0,3,1,2,2,639,3,8566791754,8048079468,196082942,485904918,485904918,3,1,25267055768,73389,73389,2,2,2,485904922,2,3,135593,6668238,1535566,111083,71101,8566791754,2564997,146217024,1373
45047.84,39,262144,64,413468,27247646660,18,45258535,1820,20,20,1775,2706,1,585,2841044,2,1,161987,12,118949768,1172,1,4,283,512744145,4,2050911888,11,76512,16203,2,45,585,155550829,173283,9259651730,583,100,2,3,1,2,2,639,3,9218281948,8629448031,212364817,520651830,520651830,3,1,27073043224,73389,73389,2,2,2,520635450,2,3,143091,7073095,1608564,117113,76490,9218281948,2723931,153947490,1388
50056.96,59,262144,64,447809,29509224762,18,48978650,2115,31,31,1775,2928,3,594,3205249,2,1,175363,17,120448152,1190,1,4,283,555037535,4,2219956232,16,83375,54710,2,84,594,171128663,2005480,10088697322,592,126,2,3,1,2,2,639,3,10043565711,9350816049,234778152,563577147,563577147,3,1,29306011676,73389,73389,2,2,2,563577151,2,3,177108,8995897,2057563,134147,83342,10043565711,3071102,169076168,1470
