timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5038.42,2,262144,64,61612,4059896878,11629,1,39,39,1063125,125,585,597698,8,13734,42,33,125546064,1172,1,41,9472,43393,2,25895,585,11339444,1928285,1240689933,585,431,2,1,2,2,565,1,1235919260,1190180931,36037544,91923459,91939843,2,1,4044632196,73389,73389,2,2,2,91923459,9,3,358930,2200436,1569383,15106,9431,1235919260,582592,9770507,4197
10046.31,2,262144,64,79950,5268066894,11629,1,39,39,1460226,128,585,838544,8,18899,42,33,125811516,1172,1,41,12166,98135,2,25895,585,16714282,5476481,1595228456,585,431,2,1,2,2,565,1,1589027228,1543386234,97590590,119380379,119380379,2,1,5252736676,73389,73389,2,2,2,119380379,9,3,382050,3958620,1957218,25282,12125,1589027228,813262,14758046,4197
15051.21,2,262144,64,127589,8407632098,11629,1,39,39,2054228,136,585,1211708,8,32277,42,33,127368030,1172,1,41,19166,113500,2,25895,585,24896810,6744371,2516283313,585,431,2,1,2,2,565,1,2506531228,2461034381,126679599,190737661,190754045,2,1,8392457084,73389,73389,2,2,2,190737661,9,3,397273,5148947,2203513,35613,19125,2506531228,1176095,22693316,4197
20055.98,2,262144,64,178513,11762772646,11629,1,39,39,3362324,144,585,1605879,8,46658,42,33,128417772,1172,1,41,26648,113885,2,25895,585,34117093,6826463,3500520305,585,431,2,1,2,2,565,1,3487080860,3441807311,156175525,266991600,266991600,2,1,11747630400,73389,73389,2,2,2,266991600,9,3,419494,5875024,2389728,43611,26607,3487080860,1562268,31727474,4197
25060.02,2,262144,64,224120,14768131022,11629,1,39,39,4341080,152,585,1979893,8,59480,42,33,129745032,1172,1,41,33348,121779,2,25895,585,44095219,7766727,4382048024,585,431,2,1,2,2,565,1,4365394332,4320349437,239523485,335293710,335293710,2,1,14752923240,73389,73389,2,2,2,335293710,9,3,457328,6898593,2657241,52657,33307,4365394332,1927236,41437893,4197
30064.46,2,262144,64,283295,18667532378,11629,1,39,39,5715512,162,585,2446161,8,76209,42,33,131337744,1172,1,41,42042,122104,2,25895,585,54651041,7952352,5526059692,585,431,2,1,2,2,565,1,5504934300,5460308645,280216353,423922270,423922270,2,1,18652579880,73389,73389,2,2,2,423922270,9,3,479697,7758850,2861141,62460,42001,5504934300,2383701,51790011,4197
35080.60,2,262144,64,321745,21200929630,11629,1,39,39,7092674,168,585,2794559,8,87036,42,33,132134100,1172,1,41,47687,135122,2,25895,585,63154716,9266545,6268787267,585,431,2,1,2,2,565,1,6244835740,6200916386,348230871,481500225,481500225,2,1,21186009900,73389,73389,2,2,2,481500225,9,3,498231,8860013,3067081,71649,47646,6244835740,2722910,60088219,4197
40087.51,2,262144,64,340346,22426601066,11629,1,39,39,7525443,171,585,3037112,8,92276,42,33,132665004,1172,1,41,50421,183597,2,25895,585,68591087,12819078,6628594074,585,431,2,1,2,2,565,1,6603186588,6559168961,445322155,509356394,509356394,2,1,22411681336,73389,73389,2,2,2,509356394,9,3,515502,10596692,3370382,85483,50380,6603186588,2951629,65221431,4197
45104.62,2,262144,64,359323,23676914038,11629,1,39,39,7870332,175,585,3273324,8,97657,42,33,132930456,1172,1,41,53208,237737,2,25895,585,75455863,16672674,6995377288,585,431,2,1,2,2,565,1,6968484252,6924659938,566839961,537769619,537786003,2,1,23661863236,73389,73389,2,2,2,537769619,9,3,534168,12322778,3721944,95403,53167,6968484252,3177921,71734490,4197
50110.96,2,262144,64,379100,24980198780,11629,1,39,39,8189688,178,585,3515806,8,103230,42,33,133726812,1172,1,41,56111,280424,2,25895,585,81244956,20167314,7377548682,585,431,2,1,2,2,565,1,7349117340,7305662884,603324446,567390942,567407326,2,1,24965201448,73389,73389,2,2,2,567390942,9,3,546101,14048488,4018832,105145,56071,7349117340,3410661,77226261,4197
