timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.13,262144,64,74638,4918346950,2268,6,64,64,42399,127,585,716059,1,17384,67,21,125811516,1172,1,66,11411,15370,2,2428,585,12403099,503665,1492362400,585,104,2,1,2,2,246,1,1486659996,1441095478,27676128,111422517,111438901,2,1,4902590748,73389,73389,2,2,2,111422517,4,3,369744,1611032,1881993,13748,11345,1486659996,702311,10522007,3537
10015.55,262144,64,111400,7340829850,2268,6,64,64,183944,133,585,1040114,1,27752,67,21,126837126,1172,1,66,16813,33840,2,2428,585,21366446,2304698,2203269877,585,104,2,1,2,2,246,1,2194842012,2149163486,80449077,166495879,166495879,2,1,7325818676,73389,73389,2,2,2,166495879,4,3,390484,2746730,2137931,23577,16747,2194842012,1016537,19229415,3537
15024.22,262144,64,132301,8718030442,2268,6,64,64,555165,136,585,1298551,1,33615,67,21,127368030,1172,1,66,19883,96334,2,2428,585,27523894,5725451,2607286555,585,104,2,1,2,2,246,1,2597233052,2551759574,116876766,197786211,197802595,2,1,8702593284,73389,73389,2,2,2,197786211,4,3,406120,4401478,2495008,35120,19817,2597233052,1263431,25029152,3537
20034.70,262144,64,161312,10629647966,2268,6,64,64,750612,141,585,1578231,1,41802,67,21,128152320,1172,1,66,24147,121492,2,2428,585,34862219,8572142,3168366888,585,104,2,1,2,2,246,1,3156124060,3110564573,230731212,241234298,241250682,2,1,10614309112,73389,73389,2,2,2,241234298,4,3,440486,5747306,2830783,44303,24081,3156124060,1533928,32031939,3537
25110.29,262144,64,175536,11566610166,2268,6,64,64,2597254,144,585,1746355,1,45846,67,21,128417772,1172,1,66,26233,170114,2,2428,585,39544254,12927262,3442924104,585,104,2,1,2,2,246,1,3429540252,3384403390,271313182,262527404,262543788,2,1,11551205776,73389,73389,2,2,2,262527404,4,3,451127,7971681,3049962,54503,26167,3429540252,1691852,36495472,3537
30140.32,262144,64,183685,12103848454,2268,6,64,64,5398718,145,585,1846798,1,48122,67,21,128683224,1172,1,66,27433,297178,2,2428,585,42702868,18042216,3600908802,585,104,2,1,2,2,246,1,3586826652,3541552443,334140975,274740344,274740344,2,1,12088575136,73389,73389,2,2,2,274740344,4,3,457606,10554620,3196914,59381,27367,3586826652,1787417,39506540,3537
35151.14,262144,64,193967,12781140482,2268,6,64,64,8050040,147,585,1976828,1,51038,67,21,128948676,1172,1,66,28940,369643,2,2428,585,46454390,22849604,3799293311,585,104,2,1,2,2,246,1,3784352156,3739468792,412482587,290137813,290137813,2,1,12766063772,73389,73389,2,2,2,290137813,4,3,471690,12901918,3405555,65316,28874,3784352156,1911512,43050013,3537
40176.67,262144,64,204554,13478686442,2268,6,64,64,10525535,149,585,2115373,1,54035,67,21,129214128,1172,1,66,30497,481917,2,2428,585,49399864,27072935,4004250847,585,104,2,1,2,2,246,1,3988431260,3943381112,520074418,305991875,305991875,2,1,13463642500,73389,73389,2,2,2,305991875,4,3,484161,15225159,3605707,72087,30431,3988431260,2043286,45793960,3537
45180.93,262144,64,244128,16086614910,2268,6,64,64,11486828,155,585,2450057,1,65100,67,21,130275936,1172,1,66,36309,496339,2,2428,585,57548434,29811423,4769038851,585,104,2,1,2,2,246,1,4750221724,4705822797,572358702,365242713,365259097,2,1,16070679372,73389,73389,2,2,2,365242713,4,3,507991,16709521,3884906,83187,36243,4750221724,2366870,53663424,3537
50185.49,262144,64,307803,20282183130,2268,6,64,64,12252224,166,585,2926783,1,83124,67,21,131868648,1172,1,66,45667,496883,2,2428,585,67575234,29811906,6000367325,585,104,2,1,2,2,246,1,5976793500,5932327167,592630472,460602494,460618878,2,1,20266509736,73389,73389,2,2,2,460602494,4,3,522013,17630008,4097006,94067,45601,5976793500,2832716,63478642,3537
