timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.42,262144,64,66477,4380587682,22,22,662717,125,0,585,502412,5,15060,25,17,125546064,1172,1,24,10168,583,2,81,585,8315250,820,1334461125,585,119,2,1,2,2,335,1,1329373596,1283831695,16293454,99207418,99223802,2,1,4365126392,73389,73389,2,2,2,99207418,3,3,68392,958219,401175,10992,10144,1329373596,491420,7914442,2541
10011.50,262144,64,116186,7656089924,22,22,2460311,134,0,585,883471,5,29087,25,17,127102578,1172,1,24,17473,948,2,81,585,18208444,1105,2295595283,585,119,2,1,2,2,335,1,2286854556,2241351754,45806716,173659117,173659117,2,1,7640280252,73389,73389,2,2,2,173642733,3,3,104981,1668579,582543,18655,17449,2286854556,864816,17626242,2541
15024.21,262144,64,158959,10474645402,22,22,2529775,141,0,585,1236806,5,41160,25,17,128152320,1172,1,24,23759,12137,2,81,585,26132497,583157,3122677522,585,119,2,1,2,2,335,1,3110773148,3065204791,68283366,237710023,237726407,2,1,10459241012,73389,73389,2,2,2,237710023,3,3,123640,2603173,746448,27000,23735,3110773148,1209806,25385647,2541
20031.60,262144,64,179995,11860427902,22,22,2844287,144,0,585,1499492,5,47061,25,17,128417772,1172,1,24,26848,45684,2,81,585,32219551,3806607,3529204263,585,119,2,1,2,2,335,1,3515654556,3470376541,141513679,269199122,269215506,2,1,11844761368,73389,73389,2,2,2,269199122,3,3,138460,4332743,1067194,37897,26824,3515654556,1461595,31150413,2541
25048.13,262144,64,199967,13176745550,22,22,3203747,148,0,585,1747730,5,52726,25,17,129214128,1172,1,24,29780,107735,2,81,585,39089550,7683578,3915076714,585,119,2,1,2,2,335,1,3899957660,3855148378,198277436,299121390,299137774,2,1,13161341160,73389,73389,2,2,2,299121390,3,3,155556,6124148,1437796,48336,29756,3899957660,1699394,37648905,2541
30050.86,262144,64,215138,14176301246,22,22,4719452,150,0,585,1931017,5,56973,25,17,129479580,1172,1,24,32011,190242,2,81,585,43908114,11777747,4208716832,585,119,2,1,2,2,335,1,4192379292,4147361364,243770003,321843778,321843778,2,1,14160405336,73389,73389,2,2,2,321827394,3,3,172723,8164807,1703847,57726,31987,4192379292,1873291,42199327,2541
35054.52,262144,64,267570,17631138834,22,22,4727014,159,0,585,2328664,5,71766,25,17,130806840,1172,1,24,39713,190298,2,81,585,54095777,12314583,5222114244,585,119,2,1,2,2,335,1,5201895836,5157312196,274598319,400360424,400360424,2,1,17615137760,73389,73389,2,2,2,400344040,3,3,200493,8898062,1922798,65872,39689,5201895836,2262792,52168184,2541
40060.62,262144,64,311269,20510658166,22,22,4812787,166,0,585,2707054,5,84066,25,17,131868648,1172,1,24,46134,192151,2,81,585,62351305,12807381,6066963778,585,119,2,1,2,2,335,1,6043509148,5999145128,308311294,465810003,465810003,2,1,20495640132,73389,73389,2,2,2,465810003,3,3,229540,9818442,2152295,74994,46110,6043509148,2632060,60194849,2541
45066.07,262144,64,330040,21747470722,22,22,5737051,170,0,585,2932123,5,89403,25,17,132399552,1172,1,24,48891,228678,2,81,585,68659024,17027351,6429808745,585,119,2,1,2,2,335,1,6404874652,6360683638,420356718,493920124,493920124,2,1,21731764560,73389,73389,2,2,2,493903740,3,3,254068,11564442,2539689,84568,48867,6404874652,2847555,66124966,2541
50069.79,262144,64,359260,23672785270,22,22,5893440,175,1,585,3254437,5,97599,25,17,132930456,1172,1,24,53182,254118,2,81,585,75028931,19836434,6994481696,585,119,2,1,2,2,335,1,6967304604,6923425437,456810737,537671315,537687699,2,1,23657537860,73389,73389,2,2,2,537671315,3,3,274929,13056061,2881956,97113,53158,6967304604,3157324,72143637,2541
