timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.22,1,262144,64,60589,3992588098,17,17,252039,124,585,524080,3,13344,20,32,125280612,1172,1,19,9301,959,2,105,585,8656989,785,1221021645,585,174,2,1,2,2,268,1,1216389532,1170484059,16961736,90393714,90393714,2,1,3977323416,73389,73389,2,2,2,90393714,2,3,93479,993726,456680,10440,9282,1216389532,513640,8200241,1401
10012.69,1,262144,64,114508,7545577546,17,17,680017,133,585,967804,3,28599,20,32,126837126,1172,1,19,17222,1684,2,105,585,18240145,4086,2263228448,585,174,2,1,2,2,268,1,2254610844,2209003653,41339418,171140299,171156683,2,1,7530173156,73389,73389,2,2,2,171140299,2,3,119116,1829794,633757,19231,17203,2254610844,948573,17606759,1401
15018.13,1,262144,64,168773,11121266582,17,17,1874670,143,585,1362651,3,43926,20,32,128417772,1172,1,19,25197,2076,2,105,585,29095741,6969,3312522784,585,174,2,1,2,2,268,1,3299910044,3254316758,70458946,252411172,252411172,2,1,11105370672,73389,73389,2,2,2,252394788,2,3,168762,2589161,890240,27970,25178,3299910044,1334681,28206015,1401
20024.41,1,262144,64,194353,12806702830,17,17,2345645,147,585,1640422,3,51143,20,32,128948676,1172,1,19,28954,52648,2,105,585,35461747,2602199,3806924567,585,174,2,1,2,2,268,1,3792347548,3746965982,156807113,290717286,290717286,2,1,12791560584,73389,73389,2,2,2,290717286,2,3,182993,4212011,1190030,39348,28935,3792347548,1601074,34272500,1401
25030.64,1,262144,64,213486,14067504870,17,17,2729226,150,585,1878955,3,56523,20,32,129479580,1172,1,19,31761,96458,2,105,585,41756120,6258035,4176356618,585,174,2,1,2,2,268,1,4160266652,4115548987,242532448,319357728,319374112,2,1,14051740032,73389,73389,2,2,2,319357728,2,3,201245,5960080,1546821,48854,31742,4160266652,1830101,40210784,1401
30043.87,1,262144,64,232298,15307004402,17,17,3223577,153,585,2114874,3,61820,20,32,130010484,1172,1,19,34526,134347,2,105,585,46934968,9731658,4540260264,585,174,2,1,2,2,268,1,4522680732,4477906970,307029684,347541577,347541577,2,1,15291829388,73389,73389,2,2,2,347541577,2,3,222351,7775623,1875994,60499,34507,4522680732,2054375,45060397,1401
35051.57,1,262144,64,252505,16638529954,17,17,3603990,157,585,2365385,3,67548,20,32,130541388,1172,1,19,37496,163739,2,105,585,53025510,13289660,4931133248,585,174,2,1,2,2,268,1,4911964572,4867157837,410905266,377785492,377801876,2,1,16622561648,73389,73389,2,2,2,377785492,2,3,247283,9520165,2238203,70971,37477,4911964572,2294414,50788186,1401
40081.74,1,262144,64,264274,17414070370,17,17,5831179,159,585,2503405,3,70867,20,32,130806840,1172,1,19,39222,257517,2,105,585,57579435,18149968,5158469545,585,174,2,1,2,2,268,1,5138325916,5093777854,494806666,395421092,395437476,2,1,17398528048,73389,73389,2,2,2,395421092,2,3,269615,11714862,2519437,77543,39204,5138325916,2425862,55060365,1401
45086.00,1,262144,64,317226,20902914282,17,17,6095656,167,585,2928890,3,85695,20,32,131868648,1172,1,19,47003,286459,2,105,585,66919879,20202848,6182218899,585,174,2,1,2,2,268,1,6158066076,6113851630,532926148,474724170,474724170,2,1,20887142584,73389,73389,2,2,2,474707786,2,3,293226,12961603,2823062,88146,46984,6158066076,2840744,64096864,1401
50090.18,1,262144,64,387555,25537225632,17,17,6103123,179,585,3426775,3,105534,20,32,133726812,1172,1,19,57334,286517,2,105,585,76664126,20203237,7541485582,585,174,2,1,2,2,268,1,7512039836,7468542165,548519972,580032025,580048409,2,1,25521409100,73389,73389,2,2,2,580032025,2,3,296814,13876592,2993415,99257,57315,7512039836,3327518,73671272,1401
